Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,315715.01,314510.12,316825.98,316870.9,315139.7,313106.07,310767.39,308136.35,310019.73,311768.81,313380.18,314852.45,316203.28,317425.1,318533.85,319533.16,320400.98,321145.18,321773.38,322303.49,322725.73,323021.91,323217.75,323307.75,323293.4,323176.04,322956.9,322637.11
BARROWINFURNESS,246667.53,245767.55,247907.83,248040.22,246656.32,245015.28,243161.65,241094.18,242509.85,243833.64,245035.57,246125.9,247101.41,247979.73,248790.73,249518.33,250154.57,250700.7,251163.63,251532.28,251808.71,251937.67,251992.87,251953.14,251820.39,251596.42,251282.9,250881.39
BLACKBURN WITH DARWEN,347793.52,346036.32,348114.01,347761.71,345531.65,343039.29,340299.67,337316.78,339208.86,340993.72,342677.89,344256.06,345711.38,347061.21,348333.08,349537.43,350644.03,351654.84,352572.0,353384.89,354092.75,354628.89,355079.43,355418.18,355646.27,355764.69,355774.31,355675.91
BLACKPOOL,305387.26,303331.86,304388.66,303612.56,301400.97,299004.33,296437.02,293694.94,295139.07,296506.61,297811.2,299033.57,300170.24,301227.36,302223.75,303155.14,304000.15,304750.88,305416.57,305989.66,306470.13,306873.96,307187.16,307414.72,307557.21,307615.13,307588.9,307478.82
BOLTON,592681.87,589891.55,593250.7,592740.7,589227.93,585236.79,580758.33,575867.78,579190.05,582343.51,585318.83,588100.96,590685.61,593113.68,595428.91,597640.06,599696.52,601598.36,603354.36,604961.94,606402.77,607553.66,608575.8,609418.9,610084.1,610572.34,610884.38,611020.82
BURNLEY,263757.57,263042.11,265246.67,265552.66,264370.58,262936.76,261266.4,259391.91,261286.23,263063.15,264743.65,266340.46,267808.27,269190.71,270501.38,271747.36,272905.42,273977.21,274955.79,275844.98,276638.77,277338.05,277949.25,278470.88,278903.66,279248.2,279505.0,279674.5
BURY,374542.46,373596.73,376692.63,377225.8,375733.06,373947.12,371852.31,369440.12,372267.34,374966.29,377573.21,380059.68,382396.86,384656.38,386827.01,388907.09,390871.52,392713.17,394438.8,396043.22,397518.43,398857.23,400078.02,401174.99,402148.59,402999.16,403726.93,404332.0
CARLISLE,426365.66,424623.34,427779.88,427819.2,425388.15,422539.69,419290.33,415639.12,418085.02,420352.16,422384.73,424204.97,425839.87,427302.2,428625.54,429793.35,430801.71,431661.12,432382.34,432961.36,433391.9,433626.99,433735.13,433697.3,433515.77,433192.66,432729.92,432129.33
CHESHIRE EAST,281628.59,281679.15,284951.31,286156.95,285717.79,284998.7,284026.81,282728.24,285401.41,287953.08,290393.66,292689.68,294825.67,296849.92,298763.93,300605.34,302336.07,303947.42,305454.91,306859.46,308162.4,309347.03,310431.06,311410.57,312286.23,313058.56,313727.99,314294.86
CHORLEY,204669.35,204268.0,205938.5,206281.39,205559.93,204635.26,203523.99,202213.85,203755.8,205213.73,206584.7,207870.88,209070.33,210209.0,211299.1,212315.51,213262.45,214138.56,214952.68,215702.94,216384.93,217009.69,217568.48,218064.06,218496.6,218866.18,219172.82,219416.49
COPELAND,142258.27,141515.64,142347.18,142157.68,141186.33,140102.17,138890.81,137566.36,138168.76,138709.93,139199.1,139621.37,139985.33,140309.21,140594.87,140835.17,141027.69,141178.33,141288.73,141356.08,141375.54,141316.25,141222.7,141081.6,140893.93,140660.6,140382.47,140060.36
CRAVEN,52052.53,51936.21,52379.44,52475.53,52276.97,52036.72,51741.03,51403.84,51808.11,52194.34,52558.93,52899.12,53211.36,53506.16,53778.86,54038.22,54277.07,54494.88,54694.01,54873.35,55032.83,55178.66,55304.49,55412.47,55502.76,55575.46,55630.68,55668.48
DERBYSHIRE DALES,174.55,174.3,176.14,176.64,176.1,175.39,174.5,173.44,175.01,176.49,177.91,179.23,180.46,181.61,182.7,183.72,184.68,185.58,186.4,187.17,187.86,188.49,189.05,189.55,189.99,190.36,190.66,190.91
EDEN,245322.03,244226.12,245828.74,245734.43,244292.9,242635.83,240739.19,238627.97,240062.55,241328.32,242485.92,243557.12,244505.3,245345.43,246119.74,246815.56,247418.78,247921.25,248346.03,248684.12,248943.56,249126.09,249227.23,249250.37,249196.44,249066.3,248860.7,248580.34
FYLDE,219906.49,219938.48,222429.82,223328.84,222965.14,222364.69,221518.94,220431.37,222520.02,224498.71,226361.16,228132.89,229785.55,231335.72,232806.86,234199.78,235485.27,236679.89,237789.53,238815.67,239749.2,240640.15,241438.51,242159.86,242804.42,243372.37,243863.78,244278.68
HIGH PEAK,231103.09,230710.21,232941.0,233510.47,232788.74,231858.47,230696.59,229330.94,231271.47,233113.73,234868.03,236510.15,238035.88,239462.56,240807.3,242083.76,243278.11,244388.6,245417.87,246369.73,247234.41,248013.64,248713.8,249333.09,249872.03,250331.01,250710.36,251010.34
HYNDBURN,199431.12,198456.92,199602.49,199408.12,198190.76,196810.89,195295.13,193638.73,194759.42,195799.13,196792.83,197723.38,198597.35,199421.46,200206.99,200952.57,201639.16,202273.0,202849.36,203365.45,203819.75,204196.73,204519.23,204780.27,204980.31,205119.73,205198.84,205217.9
LANCASTER,328965.96,328333.37,331373.24,332207.5,331307.72,330013.4,328365.95,326399.63,329111.86,331515.79,333626.97,335526.22,337320.69,338940.97,340340.2,341527.85,342653.93,343725.29,344716.69,345601.65,346392.83,346996.16,347528.02,347951.91,348268.78,348479.47,348584.7,348585.08
MANCHESTER,1552604.32,1549522.19,1564442.8,1568445.97,1564003.47,1558097.43,1550884.01,1542562.3,1557096.4,1570718.15,1583376.14,1595241.36,1606540.8,1617083.99,1626638.4,1635170.92,1643096.93,1650488.96,1657282.48,1663406.46,1668874.95,1674019.79,1678507.41,1682441.98,1685827.24,1688666.34,1690961.82,1692715.73
NORTHUMBERLAND,320.78,319.11,321.15,320.95,318.88,316.5,313.83,310.86,312.65,314.3,315.78,317.09,318.26,319.29,320.21,321.02,321.7,322.27,322.74,323.1,323.35,323.45,323.46,323.35,323.13,322.81,322.38,321.85
OLDHAM,449651.98,448648.44,452477.72,453248.07,451615.16,449613.37,447237.48,444509.77,448129.31,451585.34,454891.57,458051.41,461070.7,463952.65,466723.76,469387.57,471906.23,474275.17,476494.6,478559.15,480457.41,482236.92,483856.76,485328.93,486653.71,487831.18,488861.31,489743.92
PENDLE,171239.11,170195.25,170874.46,170484.95,169221.42,167829.06,166316.29,164707.3,165473.8,166189.72,166857.34,167469.89,168027.71,168545.6,169030.29,169480.81,169893.56,170261.51,170587.47,170872.58,171108.56,171277.43,171407.18,171488.97,171523.14,171509.96,171449.68,171342.47
PRESTON,344117.57,342977.82,345638.89,345975.99,344492.01,342677.51,340546.85,338124.43,340605.25,342893.74,344989.93,346898.2,348665.05,350276.88,351712.19,352978.93,354130.44,355195.99,356181.44,357068.53,357861.24,358442.57,358954.8,359354.17,359641.78,359818.63,359885.55,359843.31
RIBBLE VALLEY,150851.49,150734.5,152306.57,152775.61,152392.01,151832.65,151132.88,150311.13,151653.57,152931.4,154148.17,155275.66,156331.78,157311.05,158241.56,159125.19,159941.01,160686.96,161375.97,162011.52,162590.17,163125.59,163602.6,164026.7,164398.14,164717.14,164983.87,165198.42
RICHMONDSHIRE,165.51,165.04,166.42,166.67,166.0,165.17,164.19,163.05,164.26,165.38,166.43,167.4,168.29,169.1,169.86,170.58,171.23,171.81,172.33,172.8,173.22,173.57,173.86,174.1,174.28,174.4,174.47,174.49
ROCHDALE,464322.86,463543.34,467669.98,468650.83,467157.28,465250.41,462945.11,460225.76,464097.95,467793.45,471328.5,474699.37,477894.38,480932.69,483852.12,486663.2,489325.58,491825.61,494164.01,496340.44,498347.77,500246.5,501974.33,503550.57,504975.32,506248.54,507370.04,508339.51
ROSSENDALE,188833.45,188260.34,189662.87,189826.63,188988.28,187999.85,186850.92,185558.22,186947.12,188268.94,189532.64,190726.5,191846.1,192916.91,193940.53,194922.13,195842.82,196702.17,197505.6,198247.31,198925.54,199546.9,200107.53,200608.53,201050.01,201432.03,201754.59,202017.64
SALFORD,600147.84,600547.65,607531.83,610225.64,609560.24,608285.18,606449.05,604068.99,610453.36,616535.7,622345.27,627911.88,633225.83,638258.64,642996.92,647445.45,651651.46,655595.73,659262.88,662616.1,665675.36,668806.79,671594.46,674167.88,676527.2,678672.39,680603.16,682319.08
SEFTON,10.51,10.46,10.52,10.52,10.46,10.39,10.31,10.22,10.28,10.34,10.38,10.43,10.47,10.5,10.54,10.56,10.59,10.61,10.63,10.65,10.67,10.68,10.68,10.69,10.69,10.69,10.68,10.67
SOUTH LAKELAND,334094.79,333260.73,336175.93,336710.36,335399.5,333750.44,331804.51,329522.53,331979.85,334252.59,336368.29,338331.75,340127.12,341765.68,343307.23,344741.75,346053.07,347228.16,348289.53,349241.33,350072.08,350776.49,351369.8,351848.75,352214.5,352468.11,352610.48,352642.4
SOUTH RIBBLE,265447.79,265118.85,267829.12,268548.54,267720.11,266596.31,265234.63,263613.28,265789.51,267844.19,269775.73,271593.13,273283.99,274898.01,276434.69,277869.58,279200.16,280430.93,281570.0,282608.27,283544.31,284378.56,285118.27,285761.76,286309.87,286763.33,287122.76,287388.69
ST HELENS,91690.93,91450.03,92185.61,92293.76,91909.7,91442.61,90896.19,90277.12,90925.47,91543.72,92129.16,92681.9,93200.12,93685.25,94143.51,94580.47,94990.86,95372.35,95724.16,96046.95,96339.6,96598.03,96828.49,97029.21,97200.38,97342.16,97454.65,97537.96
STAFFORDSHIRE MOORLANDS,13.36,13.37,13.52,13.58,13.56,13.53,13.49,13.43,13.56,13.68,13.8,13.91,14.01,14.1,14.2,14.28,14.37,14.44,14.52,14.58,14.65,14.7,14.76,14.8,14.84,14.88,14.91,14.94
STOCKPORT,570111.4,567843.18,571367.35,571281.3,568367.37,565026.21,561306.47,557132.87,560822.24,564302.38,567601.15,570749.87,573685.96,576496.34,579172.58,581733.26,584133.4,586377.1,588473.07,590414.99,592195.34,593731.21,595127.7,596352.22,597405.38,598287.64,598999.25,599540.34
TAMESIDE,443056.96,440797.0,442830.05,442215.86,439505.65,436498.49,433189.91,429585.26,432103.63,434507.02,436802.28,438973.16,441021.97,442960.3,444802.08,446548.63,448179.93,449689.0,451078.27,452344.27,453477.27,454495.63,455388.6,456158.97,456806.91,457332.43,457735.47,458015.85
TRAFFORD,699205.77,697802.37,704098.46,705416.71,702785.34,699554.72,695689.62,691137.84,696689.15,702085.48,707172.26,712078.85,716631.03,721000.56,725286.62,729432.9,733352.47,737036.28,740520.63,743818.89,746896.51,749594.11,752116.19,754398.96,756443.16,758249.29,759817.63,761148.22
WARRINGTON,69947.35,69662.48,70146.14,70140.28,69751.14,69300.6,68791.41,68222.66,68654.27,69060.66,69445.76,69804.28,70136.64,70453.02,70750.45,71032.06,71293.0,71532.15,71750.91,71948.38,72122.91,72266.61,72390.94,72492.41,72571.22,72627.53,72661.49,72673.22
WEST LANCASHIRE,310841.05,309439.39,311432.48,311308.67,309568.57,307518.32,305199.68,302636.63,304522.0,306191.4,307668.93,308995.79,310245.93,311370.4,312345.04,313179.45,313953.99,314685.02,315368.04,315978.43,316519.16,316825.07,317098.41,317275.54,317357.37,317344.72,317238.29,317038.7
WIGAN,569687.11,567758.12,571765.18,572000.04,569258.45,566031.26,562348.36,558223.84,561970.36,565540.01,568930.38,572129.42,575137.07,577960.19,580629.01,583169.35,585537.83,587726.09,589738.78,591570.28,593213.54,594673.27,595956.4,597061.4,597989.31,598740.93,599316.94,599717.8
WYRE,250434.53,249421.94,250966.29,250914.32,249645.51,248191.49,246521.3,244663.09,246317.44,247855.52,249314.58,250680.08,251947.04,253121.61,254211.77,255215.73,256118.24,256934.31,257657.29,258295.52,258842.16,259364.72,259790.27,260141.99,260420.23,260625.26,260757.25,260816.34
