Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,493300.86,507549.97,519659.26,543758.9,569554.12,584816.67,603099.96,624310.99,641395.35,659378.73,678212.94,697962.03,719700.11,740957.79,763325.27,783945.62,803937.49,823967.93,844703.81,869229.73,884041.52,907988.26,924686.36,934420.84,954048.21,969709.2,975907.44,980866.12
BARROWINFURNESS,378542.31,389476.59,398768.85,417262.1,437056.47,448768.43,462798.41,479075.03,492184.99,505984.82,520437.55,535592.34,552273.4,568585.82,585749.87,601573.22,616914.3,632284.98,648196.99,667017.35,678383.41,696759.32,709572.88,717042.79,732104.16,744121.88,748878.2,752683.32
BLACKBURN WITH DARWEN,588155.72,609215.36,621234.34,635904.93,675128.27,691349.93,710291.94,732503.15,752766.29,772558.58,793153.05,814357.25,836083.51,858196.87,881930.39,911061.84,931704.95,952135.99,970961.57,988387.74,1011948.23,1026153.46,1038106.68,1048028.22,1056650.67,1064028.26,1070248.09,1075207.66
BLACKPOOL,645442.04,666589.57,686527.11,700117.72,717210.37,739832.32,764721.79,791618.78,813460.11,835903.82,858941.84,882755.64,907045.35,932253.47,956854.74,980644.64,1003502.02,1028783.81,1049833.11,1069374.37,1087512.88,1104161.22,1120844.61,1133003.03,1146979.47,1163154.3,1170632.89,1176787.89
BOLTON,1168348.1,1203127.95,1225390.79,1278512.2,1337449.75,1368673.59,1406339.24,1450133.65,1488600.45,1528990.89,1570566.13,1613334.16,1658185.83,1702858.49,1747353.76,1790737.52,1832689.83,1875738.2,1914425.63,1950447.42,1983513.14,2013862.89,2039764.58,2061479.99,2080864.09,2097987.48,2113035.46,2127083.85
BURNLEY,359621.02,371056.35,378831.06,385763.56,394105.34,404185.66,416390.04,430844.16,442905.74,455498.29,468531.02,482028.2,497825.88,511965.43,526075.45,539935.24,554279.32,567771.41,579991.48,591391.27,601962.21,615585.6,628660.76,635281.39,641384.32,648824.2,653269.78,658109.98
BURY,780126.53,803538.41,818600.62,853883.97,892865.07,913727.92,938869.28,968101.98,993746.17,1020657.18,1048345.27,1076812.05,1106722.07,1136436.64,1166024.19,1194866.3,1222746.96,1251356.9,1277065.75,1301003.82,1322981.0,1343313.35,1360732.68,1375171.16,1388075.71,1399564.67,1409587.55,1418980.66
CARLISLE,539347.52,554926.7,568166.33,594515.52,622718.57,639405.79,659395.71,682586.66,701265.75,720927.77,741520.03,763112.59,786879.79,810121.74,834577.09,857122.23,878980.21,900880.38,923551.83,950367.1,966561.47,992743.5,1011000.27,1021643.41,1043102.87,1060225.72,1067002.53,1072424.07
CHESHIRE EAST,539318.05,553246.36,566201.15,580007.28,596531.64,614521.13,635300.22,659271.0,677695.35,697303.19,716035.31,734810.15,753708.28,775188.42,819840.56,838082.06,855105.21,874809.67,892225.57,906982.67,920489.38,932886.1,943563.9,959214.55,966907.18,973761.63,982605.05,991354.94
CHORLEY,416341.72,429986.69,442708.19,451862.6,463270.84,477761.75,493740.48,511040.53,525115.96,539587.15,554439.99,569787.31,585454.6,601689.76,617542.1,632873.96,647606.6,663869.77,677436.84,690033.18,701721.51,712450.19,723155.6,730986.81,739930.81,750225.96,755064.18,759067.92
COPELAND,369076.63,379737.49,388797.4,406828.21,426127.61,437546.71,451225.85,467095.47,479877.61,493332.37,507423.7,522199.53,538463.47,554367.99,571102.84,586530.52,601487.98,616474.31,631988.43,650338.17,661420.02,679336.44,691829.58,699112.7,713797.46,725514.66,730152.05,733862.02
CRAVEN,79711.06,81906.98,83669.21,86206.53,88992.43,91199.62,93852.49,96960.37,99481.88,102118.82,104855.08,107693.52,111207.74,114196.28,117256.58,120169.35,122966.27,125844.08,128583.0,131515.81,133653.79,137382.14,140754.43,142111.26,144179.96,146414.29,147285.29,148285.62
DERBYSHIRE DALES,62.06,64.5,66.2,67.69,69.42,71.39,73.67,76.74,78.84,81.01,83.27,85.52,87.83,90.14,92.43,94.64,96.76,98.87,100.84,105.55,107.19,108.73,110.03,111.16,112.09,112.84,113.51,114.06
EDEN,275243.14,283193.6,289950.13,303396.81,317789.56,326305.49,336506.87,348341.82,357874.24,367908.28,378417.06,389436.3,401565.32,413426.3,425906.51,437411.88,448566.58,459742.81,471312.64,484997.17,493261.59,506622.96,515939.87,521371.34,532322.66,541060.9,544519.28,547286.04
FYLDE,326892.6,337636.64,347622.37,354538.94,363630.53,375007.86,387545.23,401125.71,412194.7,423549.44,435210.12,447262.02,459556.13,472307.72,484792.56,496981.65,508554.93,521311.47,531965.82,541855.86,551174.77,559588.39,567977.95,574114.33,581117.49,589174.59,592950.73,596054.92
HIGH PEAK,384529.63,399652.2,410181.39,419455.34,430237.54,442437.91,456546.36,475622.48,488620.09,502043.12,516019.3,529958.52,544305.65,558622.2,572749.21,586436.38,599620.98,612653.0,624880.47,653985.49,664172.36,673661.42,681728.08,688768.47,694491.61,699150.67,703269.66,706732.33
HYNDBURN,370163.09,380239.42,387679.67,394399.42,403411.27,412736.67,423950.09,437208.02,448155.64,459461.54,471097.1,483037.5,499141.06,511435.14,523739.94,536189.46,547636.79,559681.31,570151.95,579885.39,589326.46,605437.88,622814.87,628341.29,633674.76,642516.18,646083.8,651306.51
LANCASTER,569675.17,589977.02,603723.7,618192.05,635130.74,653498.14,676101.35,700904.2,722731.53,744065.54,766320.4,789779.44,814456.04,839954.23,865586.26,899678.88,924201.81,948668.86,971623.13,997131.73,1016697.29,1034978.6,1049940.96,1065254.42,1076964.79,1090647.23,1098602.62,1112875.1
MANCHESTER,2092185.73,2161713.47,2217452.73,2283137.55,2348993.35,2409142.2,2476215.75,2555606.27,2618576.13,2687039.72,2752483.43,2818011.02,2885782.58,2957144.49,3023794.63,3090235.35,3152179.89,3226874.95,3292206.78,3361426.65,3409947.61,3454637.78,3498395.94,3530556.8,3571297.8,3595903.62,3630433.61,3665230.75
NORTHUMBERLAND,11.06,11.38,11.65,12.19,12.77,13.11,13.52,14.0,14.38,14.79,15.21,15.65,16.14,16.62,17.12,17.58,18.03,18.48,18.94,19.49,19.82,20.36,20.74,20.95,21.39,21.75,21.88,22.0
OLDHAM,909684.23,941221.44,966836.59,993027.97,1014793.48,1039928.25,1069092.69,1103953.32,1133460.13,1164027.25,1195413.34,1227394.41,1260137.1,1293372.5,1326286.62,1358154.99,1388833.32,1419289.94,1447700.28,1479346.33,1503627.62,1526205.75,1544897.79,1561382.55,1576132.02,1589261.2,1601014.55,1611132.2
