Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,35607.01,36458.19,37043.0,37642.76,38968.86,40427.09,41646.5,42943.36,44170.35,45574.81,46733.67,48145.99,49579.0,50529.58,51772.88,53120.74,54619.24,55928.81,57761.83,59547.39,61719.05,63826.18,65911.02,68365.7,70631.97,72802.04,75180.16,76992.41
BARROWINFURNESS,14338.42,14627.29,14845.18,15066.77,15612.7,16195.35,16647.14,17121.23,17586.77,18104.17,18559.33,19083.05,19615.22,20018.65,20503.88,21014.12,21562.08,22066.47,22700.79,23326.0,24049.67,24753.39,25452.88,26244.21,26984.46,27701.06,28466.87,29049.57
BLACKBURN WITH DARWEN,11224.1,11912.59,12278.04,12649.26,13457.44,14408.05,15272.8,16205.54,17017.01,17992.22,18675.07,19610.51,20583.85,20926.91,21671.1,22434.27,23293.16,24072.42,25195.01,26330.59,27791.17,29118.86,30473.5,32094.8,33500.0,34855.93,36301.34,37443.95
BLACKPOOL,4637.87,4992.6,5220.68,5456.41,5965.73,6537.26,7032.55,7564.28,8058.28,8634.3,9091.92,9669.05,10255.17,10606.69,11099.14,11636.39,12240.8,12758.67,13519.97,14260.06,15180.8,16066.94,16943.49,17994.17,18950.61,19861.56,20869.27,21639.34
BOLTON,24865.71,25860.69,26549.28,27254.4,28926.53,30751.6,32233.2,33804.87,35307.83,37016.86,38447.24,40165.41,41914.21,43089.13,44621.09,46243.51,48016.02,49610.33,51741.74,53837.31,56344.07,58756.2,61152.44,63938.55,66494.18,68947.71,71608.59,73641.77
BURNLEY,6252.22,6649.79,6911.84,7180.97,7794.61,8474.48,9044.36,9652.36,10223.75,10882.08,11416.41,12075.3,12746.4,13164.83,13738.36,14352.13,15031.07,15630.58,16466.66,17286.53,18288.43,19248.68,20203.6,21328.44,22354.29,23337.95,24410.01,25231.48
BURY,8754.04,9265.11,9582.24,9906.5,10629.89,11444.09,12143.58,12891.63,13578.55,14378.88,15002.61,15793.51,16603.92,17047.68,17720.03,18432.8,19225.84,19930.63,20921.66,21901.45,23115.93,24264.3,25414.41,26774.36,27999.68,29177.19,30452.36,31437.6
CARLISLE,18521.1,19169.28,19592.25,20027.04,21008.21,22099.04,23020.4,24004.71,24926.5,25991.6,26850.82,27916.18,29001.16,29668.47,30590.78,31582.01,32681.64,33647.05,35009.15,36343.32,37982.45,39552.91,41115.39,42960.31,44642.79,46257.03,48017.04,49366.44
CHESHIRE EAST,9926.52,10377.91,10631.18,10891.51,11443.28,12085.78,12669.67,13300.84,13861.63,14531.98,15021.57,15676.96,16351.08,16649.64,17179.72,17746.96,18389.75,18947.19,19786.53,20616.66,21682.64,22677.31,23678.63,24884.65,25955.18,26983.81,28100.97,28970.7
CHORLEY,9088.61,9619.65,9941.29,10268.92,11003.51,11834.54,12551.29,13317.69,14014.27,14829.0,15451.2,16250.07,17072.26,17487.01,18161.02,18861.81,19641.77,20346.89,21321.03,22292.31,23494.38,24620.02,25749.16,27087.92,28277.58,29415.27,30648.24,31604.54
COPELAND,3921.18,4314.04,4569.15,4827.04,5457.84,6152.34,6715.82,7311.85,7870.15,8507.18,9022.22,9650.25,10297.23,10676.54,11230.23,11794.47,12403.12,12976.95,13702.86,14434.2,15306.41,16122.78,16947.89,17891.55,18740.13,19563.51,20430.55,21104.45
CRAVEN,351.25,531.77,655.18,779.86,1092.86,1432.79,1701.4,1984.19,2254.16,2558.33,2812.95,3115.08,3425.47,3626.51,3899.03,4177.55,4474.98,4756.86,5104.74,5454.49,5864.58,6251.63,6642.55,7083.14,7484.84,7876.72,8286.45,8603.67
DERBYSHIRE DALES,5.68,5.77,5.82,5.88,5.97,6.08,6.19,6.3,6.41,6.53,6.62,6.75,6.87,6.93,7.03,7.15,7.28,7.39,7.58,7.76,7.99,8.22,8.44,8.72,8.97,9.22,9.49,9.7
EDEN,17841.81,18652.78,19225.57,19816.78,21035.91,22377.97,23527.12,24753.07,25914.61,27248.66,28354.29,29708.07,31070.76,32018.13,33205.76,34533.41,36036.95,37301.42,39163.91,40950.11,43143.39,45307.14,47423.82,49957.57,52317.89,54557.49,57063.79,58957.05
FYLDE,32662.64,33033.21,33270.61,33512.62,34088.14,34726.47,35255.06,35817.46,36342.93,36947.49,37433.04,38032.29,38646.98,39007.93,39529.31,40072.99,40666.42,41208.13,41932.03,42652.65,43527.85,44353.07,45182.81,46146.69,47016.97,47858.45,48757.1,49452.44
HIGH PEAK,3566.73,3840.13,4002.87,4168.21,4567.62,5017.56,5396.15,5800.33,6169.71,6600.09,6930.72,7351.35,7786.36,8001.89,8359.16,8720.95,9115.52,9484.45,9971.23,10463.25,11065.81,11621.01,12183.45,12840.54,13417.57,13973.69,14564.47,15026.73
HYNDBURN,6153.93,6459.18,6658.73,6866.4,7309.85,7806.72,8238.99,8704.28,9140.21,9648.53,10058.14,10571.88,11090.96,11420.68,11859.75,12348.72,12900.42,13362.76,14062.09,14735.78,15578.33,16395.94,17202.4,18171.64,19061.87,19911.05,20853.73,21571.5
LANCASTER,26718.82,27484.63,28043.55,28617.27,29917.85,31326.19,32471.71,33684.8,34857.56,36182.81,37318.12,38663.79,40023.56,41020.47,42233.59,43553.59,45009.19,46284.07,48034.27,49731.87,51764.14,53757.02,55721.61,58013.9,60156.45,62210.97,64461.39,66166.77
