Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,243911.88,243910.88,243904.54,243866.42,250667.66,256640.44,261528.37,266438.29,271703.24,277293.4,281510.64,285365.25,288616.43,292472.32,296275.16,300035.65,303752.99,307379.23,310937.91,314418.29,317803.15,321095.05,324295.23,327405.4,330427.25,333362.51,336212.89,338296.02
BARROWINFURNESS,16141.08,16140.72,16138.59,16127.11,16674.39,17153.97,17519.23,17876.06,18243.37,18614.23,18869.21,19104.96,19307.58,19582.43,19862.22,20150.49,20446.2,20736.23,21026.15,21312.91,21591.72,21862.96,22126.64,22382.9,22631.89,22873.74,23108.6,23280.24
BLACKBURN WITH DARWEN,477.39,477.32,476.99,475.8,490.47,510.56,476.12,472.96,468.06,461.61,456.23,451.76,449.37,448.05,447.16,447.34,448.27,449.37,450.64,452.02,453.35,454.66,455.93,457.17,458.36,459.53,460.66,461.49
BLACKPOOL,98.83,98.75,98.31,96.13,104.18,112.79,101.48,95.55,85.46,70.26,53.3,38.5,27.21,21.72,18.29,17.7,19.65,21.94,25.39,29.5,33.47,37.36,41.13,44.8,48.37,51.83,55.2,57.65
BOLTON,98.83,98.57,97.24,92.2,110.99,132.4,106.45,96.1,78.2,53.02,29.95,10.73,0.0,0.0,0.0,0.0,2.12,9.11,17.13,25.76,34.14,42.3,50.24,57.96,65.46,72.74,79.81,84.98
BURNLEY,71102.2,71101.91,71100.44,71094.65,71215.1,71325.2,71375.52,71438.78,71499.58,71557.73,71597.36,71635.5,71673.08,71726.54,71781.57,71841.01,71903.55,71965.41,72027.33,72088.7,72148.37,72206.42,72262.86,72317.7,72370.99,72422.76,72473.02,72509.76
BURY,735.22,735.16,734.7,730.91,864.37,982.36,1054.02,1130.37,1205.08,1273.83,1309.26,1342.43,1369.68,1422.9,1480.62,1543.31,1611.11,1677.88,1746.71,1815.99,1883.31,1948.84,2012.53,2074.44,2134.59,2193.01,2249.75,2291.21
CARLISLE,126781.99,126781.75,126780.19,126770.44,128752.55,130538.56,131695.29,133067.14,134539.54,136104.34,137286.32,138366.35,139276.61,140353.82,141415.6,142464.55,143500.64,144511.18,145502.55,146471.88,147414.62,148331.46,149222.76,150088.98,150930.61,151748.12,152541.99,153122.17
CHESHIRE EAST,91.6,91.54,91.23,90.24,201.7,356.69,95.59,94.71,92.72,90.03,88.49,87.49,88.03,88.9,89.82,91.44,93.43,95.51,97.54,99.55,101.5,103.39,105.24,107.03,108.77,110.46,112.1,113.3
CHORLEY,5503.3,5503.29,5503.18,5502.28,5665.39,5817.06,5882.56,5987.57,6099.75,6218.06,6305.8,6386.0,6453.31,6534.9,6615.81,6696.16,6776.02,6853.95,6930.71,7005.95,7079.12,7150.29,7219.47,7286.7,7352.03,7415.48,7477.1,7522.14
COPELAND,49968.42,49967.55,49962.16,49930.78,52435.47,54634.86,56356.84,58077.93,59889.91,61769.97,63128.16,64374.91,65431.77,66766.53,68103.43,69451.07,70807.74,72134.48,73449.08,74742.35,75999.95,77223.2,78412.36,79568.08,80690.98,81781.7,82840.89,83614.96
CRAVEN,694.24,693.69,690.86,679.44,781.83,878.58,885.24,909.71,920.18,915.74,899.29,888.23,889.17,913.72,943.95,985.28,1035.17,1085.7,1138.6,1192.5,1244.88,1295.88,1345.45,1393.63,1440.44,1485.91,1530.07,1562.34
DERBYSHIRE DALES,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EDEN,2944.74,2944.31,2942.03,2931.62,3342.26,3765.96,3658.32,3832.02,4004.32,4171.91,4281.92,4385.52,4479.52,4616.44,4757.94,4908.18,5065.48,5220.47,5376.34,5531.14,5681.63,5828.06,5970.4,6108.74,6243.15,6373.71,6500.49,6593.15
FYLDE,65.09,65.06,64.87,63.81,91.53,123.06,95.46,100.5,103.97,105.09,102.37,100.18,98.59,101.49,105.56,111.06,117.94,124.83,132.34,140.13,147.69,155.06,162.23,169.19,175.95,182.52,188.9,193.56
HIGH PEAK,55.44,55.26,54.37,51.47,105.9,180.61,57.01,51.54,42.56,31.28,24.15,18.8,18.35,18.59,19.06,21.62,25.3,29.32,33.25,37.16,40.95,44.65,48.24,51.73,55.13,58.42,61.62,63.96
HYNDBURN,61122.06,61121.8,61120.2,61110.96,61140.14,61164.89,61148.82,61124.9,61081.52,61012.13,60927.51,60852.95,60792.6,60764.47,60747.69,60744.65,60754.67,60766.19,60784.22,60805.92,60826.92,60847.45,60867.41,60886.8,60905.64,60923.95,60941.72,60954.71
LANCASTER,71149.98,71149.73,71148.37,71141.54,73273.81,75151.33,76685.39,78248.48,79936.23,81745.14,83135.78,84405.5,85477.26,86715.16,87927.68,89117.62,90284.57,91421.87,92532.75,93616.08,94669.74,95694.4,96690.5,97658.59,98599.18,99512.83,100400.05,101048.46
MANCHESTER,82.44,82.43,82.33,81.21,94.84,108.78,99.32,99.43,96.89,90.17,78.68,68.44,59.36,56.64,55.98,57.42,61.06,64.83,69.81,75.44,80.89,86.21,91.39,96.41,101.3,106.05,110.65,114.02
NORTHUMBERLAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLDHAM,363.99,363.74,362.36,356.02,376.49,398.15,369.81,352.7,323.91,281.32,235.31,195.38,165.81,151.34,142.29,141.11,146.77,153.42,163.03,174.35,185.32,196.03,206.44,216.56,226.39,235.94,245.21,251.99
PENDLE,1523.47,1523.27,1521.67,1509.15,1599.46,1677.42,1678.53,1674.43,1642.96,1570.57,1456.57,1355.62,1269.13,1242.78,1235.93,1250.24,1285.92,1323.2,1371.78,1426.43,1479.41,1531.11,1581.36,1630.21,1677.66,1723.76,1768.52,1801.24
PRESTON,98.83,98.66,97.82,95.1,124.22,156.92,133.63,138.03,139.95,140.55,142.55,145.47,151.74,159.53,167.35,176.96,187.41,198.01,208.34,218.47,228.32,237.9,247.21,256.26,265.06,273.6,281.89,287.95
RIBBLE VALLEY,1994.25,1993.73,1990.99,1979.09,2026.98,2078.62,2020.88,1994.88,1948.49,1879.03,1805.38,1742.17,1697.88,1678.58,1668.01,1671.2,1685.92,1702.34,1723.36,1746.99,1769.91,1792.28,1814.02,1835.16,1855.69,1875.63,1895.0,1909.15
RICHMONDSHIRE,0.0,0.0,0.0,0.0,0.05,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROCHDALE,2938.47,2938.25,2936.92,2929.24,3037.87,3136.24,3163.84,3202.22,3229.58,3240.53,3223.86,3210.8,3201.86,3224.89,3256.09,3297.49,3348.51,3399.65,3455.04,3512.36,3568.03,3622.24,3674.95,3726.17,3775.94,3824.28,3871.23,3905.54
ROSSENDALE,247689.46,247688.59,247683.59,247657.81,247840.1,247996.61,248049.64,248070.31,248047.73,247968.22,247836.82,247724.69,247641.65,247643.06,247669.7,247729.85,247820.53,247913.6,248020.19,248133.76,248244.0,248351.44,248455.89,248557.4,248656.02,248751.82,248844.85,248912.84
SALFORD,0.0,0.0,0.0,0.0,6.04,14.46,0.2,0.26,0.32,0.39,0.44,0.49,0.53,0.57,0.62,0.66,0.7,0.74,0.78,0.82,0.86,0.9,0.93,0.97,1.0,1.03,1.07,1.09
SEFTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTH LAKELAND,98168.69,98168.4,98166.73,98157.94,99731.24,101150.78,102059.84,103145.25,104309.77,105548.34,106487.69,107346.54,108072.82,108928.91,109771.91,110604.89,111427.22,112229.42,113015.77,113784.32,114531.8,115258.73,115965.41,116652.21,117319.51,117967.69,118597.13,119057.13
SOUTH RIBBLE,60.26,60.18,59.76,58.41,70.26,86.37,59.83,56.95,52.4,46.76,43.13,40.36,39.92,39.76,39.72,40.66,42.13,43.77,45.37,46.96,48.51,50.02,51.48,52.91,54.29,55.64,56.94,57.9
ST HELENS,2490.1,2490.09,2489.99,2489.05,2544.67,2597.42,2609.37,2639.69,2670.52,2700.7,2719.37,2736.61,2750.86,2772.88,2795.89,2819.97,2845.17,2869.91,2894.99,2920.01,2944.32,2967.98,2990.98,3013.34,3035.06,3056.15,3076.64,3091.61
STAFFORDSHIRE MOORLANDS,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STOCKPORT,38.57,38.57,38.56,38.55,50.62,66.8,42.25,43.28,44.38,45.57,46.5,47.35,48.09,48.92,49.74,50.54,51.33,52.1,52.85,53.58,54.29,54.98,55.65,56.3,56.94,57.55,58.15,58.58
TAMESIDE,74.73,74.64,74.18,72.34,85.47,101.7,78.7,75.01,68.42,58.82,49.38,41.41,36.38,34.35,33.36,34.29,36.72,39.4,42.58,46.06,49.44,52.73,55.93,59.04,62.06,65.0,67.85,69.93
TRAFFORD,6.03,6.03,6.03,6.03,12.03,20.35,6.47,6.6,6.73,6.88,7.0,7.1,7.19,7.29,7.39,7.49,7.58,7.67,7.76,7.84,7.93,8.01,8.09,8.16,8.24,8.31,8.38,8.43
WARRINGTON,0.0,0.0,0.0,0.0,13.79,33.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WEST LANCASHIRE,5692.05,5691.9,5691.2,5688.73,6327.5,6902.22,7292.25,7744.66,8233.58,8759.48,9168.5,9542.26,9859.73,10221.71,10575.09,10921.42,11260.11,11590.23,11911.84,12225.01,12529.62,12825.84,13113.8,13393.66,13665.57,13929.69,14186.17,14373.62
WIGAN,1296.88,1296.57,1295.07,1290.2,1452.9,1604.73,1668.34,1764.76,1864.49,1969.58,2054.19,2133.25,2206.61,2290.88,2373.38,2457.27,2540.93,2623.13,2703.14,2781.11,2856.96,2930.71,3002.42,3072.1,3139.8,3205.57,3269.43,3316.11
WYRE,16718.17,16717.52,16714.14,16700.14,17122.58,17502.4,17726.44,17977.01,18229.04,18480.57,18657.59,18823.7,18975.22,19178.61,19385.28,19601.69,19824.98,20044.78,20263.81,20480.2,20690.61,20895.29,21094.27,21287.65,21475.55,21658.06,21835.29,21964.81
