Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,0.0,0.8,2.12,3.51,4.94,6.4,7.18,7.47,7.76,8.03,8.28,8.52,8.78,8.96,9.2,9.43,9.66,9.91,10.18,10.47,10.81,11.12,11.46,11.83,12.17,12.52,12.87,13.19
BARROWINFURNESS,51.74,51.95,52.3,52.67,53.05,53.44,53.65,53.73,53.81,53.88,53.95,54.01,54.09,54.14,54.2,54.27,54.33,54.41,54.49,54.57,54.68,54.78,54.89,55.01,55.13,55.25,55.37,55.49
BLACKBURN WITH DARWEN,0.0,1.0,2.64,4.36,6.14,7.96,8.93,9.31,9.67,10.02,10.34,10.64,10.97,11.2,11.49,11.79,12.07,12.38,12.71,13.05,13.46,13.82,14.21,14.65,15.03,15.42,15.81,16.16
BLACKPOOL,26.18,26.57,27.21,27.88,28.58,29.28,29.66,29.81,29.95,30.09,30.21,30.33,30.47,30.57,30.69,30.81,30.94,31.07,31.24,31.42,31.63,31.84,32.07,32.34,32.59,32.86,33.13,33.39
BOLTON,0.01,0.98,2.58,4.26,6.01,7.78,8.73,9.09,9.44,9.79,10.09,10.39,10.72,10.94,11.23,11.53,11.82,12.13,12.47,12.85,13.29,13.7,14.15,14.65,15.11,15.58,16.06,16.51
BURNLEY,0.0,0.42,1.1,1.82,2.57,3.33,3.74,3.89,4.05,4.19,4.33,4.45,4.59,4.69,4.82,4.94,5.07,5.2,5.35,5.5,5.69,5.87,6.05,6.27,6.46,6.65,6.85,7.04
BURY,20.7,21.28,22.25,23.27,24.33,25.4,25.97,26.19,26.41,26.62,26.8,26.98,27.18,27.32,27.5,27.68,27.85,28.04,28.25,28.48,28.75,29.0,29.27,29.58,29.86,30.14,30.43,30.71
CARLISLE,0.31,1.04,2.24,3.5,4.8,6.12,6.83,7.09,7.34,7.58,7.81,8.02,8.25,8.41,8.62,8.83,9.04,9.26,9.5,9.76,10.07,10.36,10.66,11.01,11.32,11.64,11.96,12.26
CHESHIRE EAST,20.7,21.29,22.28,23.31,24.39,25.47,26.06,26.28,26.5,26.71,26.9,27.09,27.29,27.43,27.61,27.79,27.97,28.16,28.37,28.6,28.87,29.12,29.39,29.7,29.98,30.27,30.56,30.82
CHORLEY,0.0,0.66,1.75,2.9,4.08,5.29,5.94,6.18,6.43,6.66,6.87,7.07,7.29,7.45,7.64,7.84,8.03,8.23,8.45,8.69,8.97,9.21,9.48,9.78,10.05,10.32,10.59,10.83
COPELAND,10.35,10.78,11.49,12.24,13.02,13.8,14.23,14.39,14.55,14.7,14.84,14.97,15.11,15.22,15.34,15.47,15.6,15.73,15.88,16.03,16.21,16.38,16.56,16.76,16.93,17.11,17.3,17.46
