Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,315.94,318.94,328.01,337.22,348.73,360.33,391.35,397.47,403.55,409.04,414.38,416.53,418.17,418.6,418.24,416.51,413.32,408.91,403.61,397.47,390.81,382.11,371.35,362.32,357.66,357.0,358.89,360.78
BARROWINFURNESS,347.09,347.7,349.14,350.64,352.57,354.53,360.14,361.4,362.63,363.76,364.84,365.35,365.77,365.92,365.95,365.73,365.28,364.79,364.13,363.33,362.51,361.36,359.91,358.76,358.27,358.38,358.9,359.37
BLACKBURN WITH DARWEN,89.01,90.01,92.84,95.81,99.27,102.88,109.59,111.34,112.93,114.58,115.9,116.97,117.97,118.14,118.57,118.77,118.74,118.11,117.39,116.56,116.0,115.07,113.94,113.4,113.42,114.08,115.25,116.26
BLACKPOOL,29.66,30.39,31.98,33.77,36.01,38.32,44.29,45.95,47.56,49.12,50.56,51.49,52.33,52.76,53.14,53.29,53.16,52.49,51.49,50.31,49.2,47.75,45.97,44.68,44.19,44.44,45.26,45.99
BOLTON,55.78,57.5,61.37,65.47,70.69,76.04,90.12,93.64,97.05,100.33,103.33,105.1,106.65,107.2,107.65,107.5,106.79,105.44,103.79,101.75,99.83,97.04,93.44,90.88,89.98,90.68,92.58,94.24
BURNLEY,52.51,53.24,54.71,56.27,58.29,60.37,66.02,67.47,68.86,70.21,71.44,72.18,72.82,73.05,73.25,73.22,72.99,72.67,72.28,71.74,71.24,70.37,69.14,68.31,68.1,68.5,69.37,70.11
BURY,39.54,40.52,42.86,45.35,48.44,51.62,59.42,61.37,63.24,65.04,66.67,67.66,68.55,68.84,69.13,69.11,68.76,67.91,66.86,65.69,64.77,63.68,62.52,61.94,61.97,62.6,63.72,64.67
CARLISLE,67.75,69.32,72.83,76.49,81.28,86.19,99.9,103.09,106.23,109.17,111.93,113.33,114.49,114.86,115.0,114.54,113.42,111.61,109.44,106.89,104.29,100.78,96.41,92.99,91.43,91.63,93.03,94.3
CHESHIRE EAST,41.54,42.42,44.26,46.24,48.8,51.47,57.91,59.69,61.38,63.04,64.5,65.46,66.31,66.58,66.87,66.87,66.63,66.26,65.73,65.01,64.33,63.1,61.39,60.16,59.74,60.13,61.11,61.99
CHORLEY,12.98,13.82,15.49,17.26,19.51,21.85,27.59,29.15,30.62,32.08,33.34,34.2,34.98,35.17,35.46,35.51,35.38,35.04,34.66,34.17,33.83,33.19,32.32,31.9,31.96,32.54,33.56,34.41
COPELAND,162.13,163.3,166.11,168.97,172.71,176.51,187.65,189.98,192.26,194.29,196.23,196.98,197.57,197.62,197.45,196.74,195.54,194.29,192.71,190.88,188.92,186.27,182.99,180.27,178.89,178.78,179.46,180.12
CRAVEN,0.57,0.84,1.37,1.93,2.66,3.43,5.46,5.97,6.44,6.9,7.3,7.54,7.75,7.79,7.84,7.8,7.69,7.56,7.39,7.19,7.04,6.81,6.55,6.41,6.42,6.58,6.86,7.1
DERBYSHIRE DALES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
EDEN,20.3,21.53,24.74,28.07,32.14,36.34,45.35,47.64,49.84,52.02,53.97,55.31,56.51,57.07,57.61,57.92,58.01,57.47,57.12,56.58,56.48,56.27,55.93,56.43,57.49,59.08,61.36,63.15
FYLDE,40.27,40.91,42.18,43.53,45.3,47.12,52.02,53.3,54.52,55.71,56.78,57.43,58.0,58.16,58.33,58.27,58.02,57.61,57.09,56.47,55.94,55.17,54.21,53.59,53.45,53.79,54.48,55.08
HIGH PEAK,2.72,3.38,4.82,6.35,8.34,10.39,16.02,17.38,18.69,19.93,21.08,21.68,22.2,22.32,22.4,22.2,21.63,20.33,18.73,17.05,15.56,14.07,12.64,11.68,11.26,11.36,11.82,12.25
HYNDBURN,49.08,49.76,53.43,57.18,61.38,65.62,73.47,74.87,76.22,77.51,78.71,79.38,79.96,80.2,80.37,80.32,79.86,78.11,76.13,74.04,72.27,70.61,69.11,68.25,68.03,68.36,69.16,69.84
LANCASTER,55.53,57.32,61.45,65.74,71.3,76.94,93.09,96.78,100.43,103.83,107.03,108.61,109.87,110.31,110.33,109.61,108.16,106.45,104.42,102.0,99.65,96.57,92.76,89.98,89.0,89.67,91.55,93.17
MANCHESTER,40.77,43.39,53.11,63.33,74.97,86.96,108.72,113.85,118.62,123.46,127.53,130.58,133.44,134.2,135.47,136.01,135.79,133.79,131.07,127.89,125.08,120.79,115.41,111.67,110.19,111.12,113.78,116.23
NORTHUMBERLAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLDHAM,45.48,46.6,51.25,56.07,61.52,67.09,77.06,79.23,81.27,83.32,85.11,86.39,87.57,88.03,88.57,88.87,88.83,87.66,86.37,84.94,83.97,82.95,81.96,81.8,82.25,83.31,84.98,86.35
PENDLE,8.25,8.66,10.75,12.91,15.29,17.72,21.66,22.41,23.1,23.76,24.32,24.71,25.07,25.16,25.33,25.4,25.31,24.7,23.96,23.17,22.53,21.84,21.16,20.78,20.69,20.89,21.33,21.7
