Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,40.68,41.65,42.32,43.01,44.52,46.19,47.58,49.06,50.46,52.07,53.39,55.01,56.64,57.73,59.15,60.69,62.4,63.9,65.99,68.03,70.51,72.92,75.3,78.11,80.69,83.17,85.89,87.96
BARROWINFURNESS,16.38,16.71,16.96,17.21,17.84,18.5,19.02,19.56,20.09,20.68,21.2,21.8,22.41,22.87,23.42,24.01,24.63,25.21,25.93,26.65,27.48,28.28,29.08,29.98,30.83,31.65,32.52,33.19
BLACKBURN WITH DARWEN,12.82,13.61,14.03,14.45,15.37,16.46,17.45,18.51,19.44,20.56,21.34,22.4,23.52,23.91,24.76,25.63,26.61,27.5,28.78,30.08,31.75,33.27,34.81,36.67,38.27,39.82,41.47,42.78
BLACKPOOL,5.3,5.7,5.96,6.23,6.82,7.47,8.03,8.64,9.21,9.86,10.39,11.05,11.72,12.12,12.68,13.29,13.98,14.58,15.45,16.29,17.34,18.36,19.36,20.56,21.65,22.69,23.84,24.72
BOLTON,28.41,29.54,30.33,31.14,33.05,35.13,36.83,38.62,40.34,42.29,43.92,45.89,47.89,49.23,50.98,52.83,54.86,56.68,59.11,61.51,64.37,67.13,69.86,73.05,75.97,78.77,81.81,84.13
BURNLEY,7.14,7.6,7.9,8.2,8.91,9.68,10.33,11.03,11.68,12.43,13.04,13.8,14.56,15.04,15.7,16.4,17.17,17.86,18.81,19.75,20.89,21.99,23.08,24.37,25.54,26.66,27.89,28.83
BURY,10.0,10.59,10.95,11.32,12.14,13.07,13.87,14.73,15.51,16.43,17.14,18.04,18.97,19.48,20.24,21.06,21.96,22.77,23.9,25.02,26.41,27.72,29.04,30.59,31.99,33.33,34.79,35.92
CARLISLE,21.16,21.9,22.38,22.88,24.0,25.25,26.3,27.42,28.48,29.69,30.68,31.89,33.13,33.9,34.95,36.08,37.34,38.44,40.0,41.52,43.39,45.19,46.97,49.08,51.0,52.85,54.86,56.4
CHESHIRE EAST,11.34,11.86,12.15,12.44,13.07,13.81,14.47,15.2,15.84,16.6,17.16,17.91,18.68,19.02,19.63,20.28,21.01,21.65,22.61,23.55,24.77,25.91,27.05,28.43,29.65,30.83,32.1,33.1
CHORLEY,10.38,10.99,11.36,11.73,12.57,13.52,14.34,15.22,16.01,16.94,17.65,18.57,19.5,19.98,20.75,21.55,22.44,23.25,24.36,25.47,26.84,28.13,29.42,30.95,32.31,33.61,35.01,36.11
COPELAND,4.48,4.93,5.22,5.51,6.24,7.03,7.67,8.35,8.99,9.72,10.31,11.03,11.76,12.2,12.83,13.47,14.17,14.83,15.66,16.49,17.49,18.42,19.36,20.44,21.41,22.35,23.34,24.11
CRAVEN,0.4,0.61,0.75,0.89,1.25,1.64,1.94,2.27,2.58,2.92,3.21,3.56,3.91,4.14,4.45,4.77,5.11,5.43,5.83,6.23,6.7,7.14,7.59,8.09,8.55,9.0,9.47,9.83
DERBYSHIRE DALES,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
EDEN,20.38,21.31,21.96,22.64,24.03,25.57,26.88,28.28,29.61,31.13,32.39,33.94,35.5,36.58,37.94,39.45,41.17,42.62,44.74,46.78,49.29,51.76,54.18,57.07,59.77,62.33,65.19,67.36
FYLDE,37.32,37.74,38.01,38.29,38.94,39.67,40.28,40.92,41.52,42.21,42.77,43.45,44.15,44.57,45.16,45.78,46.46,47.08,47.91,48.73,49.73,50.67,51.62,52.72,53.72,54.68,55.7,56.5
HIGH PEAK,4.07,4.39,4.57,4.76,5.22,5.73,6.16,6.63,7.05,7.54,7.92,8.4,8.9,9.14,9.55,9.96,10.41,10.84,11.39,11.95,12.64,13.28,13.92,14.67,15.33,15.96,16.64,17.17
HYNDBURN,7.03,7.38,7.61,7.84,8.35,8.92,9.41,9.94,10.44,11.02,11.49,12.08,12.67,13.05,13.55,14.11,14.74,15.27,16.07,16.84,17.8,18.73,19.65,20.76,21.78,22.75,23.82,24.64
LANCASTER,30.53,31.4,32.04,32.69,34.18,35.79,37.1,38.48,39.82,41.34,42.63,44.17,45.73,46.86,48.25,49.76,51.42,52.88,54.88,56.82,59.14,61.42,63.66,66.28,68.73,71.07,73.64,75.59
MANCHESTER,25.65,27.6,28.68,29.78,32.27,35.14,37.69,40.43,42.86,45.75,47.85,50.65,53.55,54.73,57.01,59.34,61.94,64.31,67.64,71.01,75.26,79.16,83.12,87.83,91.93,95.88,100.1,103.42
NORTHUMBERLAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLDHAM,12.74,13.56,14.08,14.61,15.76,17.05,18.17,19.39,20.5,21.8,22.82,24.12,25.44,26.19,27.29,28.48,29.82,30.97,32.66,34.32,36.38,38.36,40.32,42.67,44.8,46.83,49.07,50.79
PENDLE,5.25,5.56,5.74,5.93,6.35,6.83,7.24,7.68,8.08,8.55,8.9,9.36,9.83,10.06,10.45,10.85,11.29,11.69,12.24,12.8,13.48,14.12,14.76,15.52,16.19,16.84,17.53,18.07
PRESTON,15.11,15.79,16.24,16.7,17.78,18.97,19.95,20.99,21.97,23.1,24.02,25.14,26.28,27.0,27.98,29.02,30.15,31.18,32.55,33.91,35.55,37.11,38.68,40.49,42.15,43.75,45.46,46.78
RIBBLE VALLEY,17.0,17.4,17.64,17.89,18.41,19.0,19.53,20.1,20.62,21.23,21.69,22.29,22.9,23.21,23.71,24.25,24.86,25.39,26.17,26.94,27.92,28.84,29.77,30.88,31.88,32.83,33.88,34.69
RICHMONDSHIRE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02
ROCHDALE,16.13,16.99,17.5,18.02,19.23,20.59,21.77,23.03,24.19,25.54,26.57,27.89,29.26,29.95,31.06,32.22,33.5,34.66,36.28,37.89,39.91,41.78,43.67,45.9,47.89,49.8,51.85,53.45
ROSSENDALE,5.83,6.15,6.33,6.5,6.9,7.37,7.79,8.24,8.64,9.11,9.45,9.9,10.37,10.54,10.91,11.28,11.69,12.06,12.59,13.13,13.82,14.44,15.08,15.83,16.49,17.12,17.78,18.31
SALFORD,8.95,9.82,10.28,10.75,11.8,13.03,14.16,15.37,16.43,17.71,18.61,19.85,21.13,21.59,22.57,23.57,24.7,25.72,27.2,28.7,30.63,32.38,34.18,36.32,38.18,39.98,41.89,43.41
SEFTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTH LAKELAND,18.35,19.19,19.72,20.27,21.56,23.01,24.2,25.47,26.64,28.0,29.08,30.41,31.79,32.56,33.72,34.91,36.21,37.41,38.99,40.57,42.48,44.27,46.07,48.16,50.03,51.83,53.75,55.24
SOUTH RIBBLE,10.37,10.98,11.33,11.7,12.48,13.39,14.19,15.06,15.83,16.75,17.44,18.34,19.27,19.71,20.45,21.24,22.13,22.91,24.04,25.17,26.6,27.93,29.27,30.88,32.3,33.67,35.16,36.32
ST HELENS,5.55,5.76,5.9,6.04,6.37,6.73,7.04,7.36,7.66,8.0,8.28,8.62,8.96,9.16,9.45,9.76,10.09,10.39,10.8,11.2,11.69,12.15,12.62,13.16,13.64,14.11,14.61,15.0
STAFFORDSHIRE MOORLANDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STOCKPORT,24.52,25.94,26.79,27.66,29.61,31.82,33.75,35.82,37.71,39.93,41.63,43.81,46.06,47.21,49.04,50.98,53.14,55.06,57.8,60.52,63.92,67.12,70.33,74.15,77.57,80.85,84.4,87.16
TAMESIDE,14.72,15.85,16.38,16.91,18.15,19.65,21.02,22.51,23.76,25.3,26.3,27.74,29.26,29.59,30.69,31.76,32.95,34.08,35.67,37.33,39.5,41.39,43.37,45.72,47.68,49.6,51.57,53.17
TRAFFORD,12.66,13.26,13.69,14.13,15.17,16.29,17.21,18.18,19.11,20.18,21.08,22.16,23.25,24.03,25.0,26.05,27.19,28.21,29.59,30.93,32.54,34.11,35.65,37.46,39.13,40.72,42.48,43.81
WARRINGTON,1.91,2.06,2.14,2.22,2.39,2.6,2.78,2.98,3.16,3.37,3.52,3.72,3.94,4.02,4.18,4.35,4.55,4.72,4.98,5.23,5.57,5.87,6.18,6.55,6.88,7.2,7.54,7.8
WEST LANCASHIRE,12.1,12.96,13.55,14.16,15.46,16.9,18.12,19.41,20.64,22.04,23.19,24.61,26.04,26.99,28.23,29.59,31.11,32.42,34.29,36.11,38.33,40.49,42.63,45.15,47.5,49.74,52.2,54.08
WIGAN,25.64,27.0,27.78,28.57,30.44,32.58,34.42,36.39,38.17,40.26,41.83,43.86,45.97,46.93,48.62,50.34,52.24,53.99,56.37,58.78,61.78,64.53,67.33,70.62,73.5,76.28,79.23,81.55
WYRE,23.66,24.31,24.75,25.19,26.22,27.35,28.29,29.28,30.22,31.29,32.16,33.22,34.31,34.98,35.92,36.9,37.98,38.96,40.27,41.57,43.15,44.65,46.14,47.89,49.48,51.01,52.66,53.93
