Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,104.68,104.68,104.67,104.66,107.58,110.14,112.24,114.34,116.6,119.0,120.81,122.47,123.86,125.52,127.15,128.76,130.36,131.91,133.44,134.93,136.39,137.8,139.17,140.51,141.8,143.06,144.29,145.18
BARROWINFURNESS,6.93,6.93,6.93,6.92,7.16,7.36,7.52,7.67,7.83,7.99,8.1,8.2,8.29,8.4,8.52,8.65,8.77,8.9,9.02,9.15,9.27,9.38,9.5,9.61,9.71,9.82,9.92,9.99
BLACKBURN WITH DARWEN,0.2,0.2,0.2,0.2,0.21,0.22,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.2,0.2,0.2,0.2,0.2,0.2,0.2
BLACKPOOL,0.04,0.04,0.04,0.04,0.04,0.05,0.04,0.04,0.04,0.03,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02
BOLTON,0.04,0.04,0.04,0.04,0.05,0.06,0.05,0.04,0.03,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.04
BURNLEY,30.51,30.51,30.51,30.51,30.56,30.61,30.63,30.66,30.68,30.71,30.73,30.74,30.76,30.78,30.81,30.83,30.86,30.88,30.91,30.94,30.96,30.99,31.01,31.04,31.06,31.08,31.1,31.12
BURY,0.32,0.32,0.32,0.31,0.37,0.42,0.45,0.49,0.52,0.55,0.56,0.58,0.59,0.61,0.64,0.66,0.69,0.72,0.75,0.78,0.81,0.84,0.86,0.89,0.92,0.94,0.97,0.98
CARLISLE,54.41,54.41,54.41,54.4,55.25,56.02,56.52,57.11,57.74,58.41,58.92,59.38,59.77,60.23,60.69,61.14,61.58,62.02,62.44,62.86,63.26,63.66,64.04,64.41,64.77,65.12,65.46,65.71
CHESHIRE EAST,0.04,0.04,0.04,0.04,0.09,0.15,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05
CHORLEY,2.36,2.36,2.36,2.36,2.43,2.5,2.52,2.57,2.62,2.67,2.71,2.74,2.77,2.8,2.84,2.87,2.91,2.94,2.97,3.01,3.04,3.07,3.1,3.13,3.16,3.18,3.21,3.23
COPELAND,21.44,21.44,21.44,21.43,22.5,23.45,24.19,24.92,25.7,26.51,27.09,27.63,28.08,28.65,29.23,29.81,30.39,30.96,31.52,32.08,32.62,33.14,33.65,34.15,34.63,35.1,35.55,35.88
CRAVEN,0.3,0.3,0.3,0.29,0.34,0.38,0.38,0.39,0.39,0.39,0.39,0.38,0.38,0.39,0.41,0.42,0.44,0.47,0.49,0.51,0.53,0.56,0.58,0.6,0.62,0.64,0.66,0.67
DERBYSHIRE DALES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
