Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,3257.0,4199.0,5266.0,6866.0,9173.0,12129.0,15621.0,19501.0,23391.0,27347.0,31318.0,35285.0,39267.0,42956.0,46453.0,49760.0,52839.0,55698.0,58157.0,60355.0,62301.0,64022.0,65497.0,66657.0,67674.0,68509.0,69193.0,69770.0
BARROWINFURNESS,2013.0,2594.0,3238.0,4197.0,5569.0,7311.0,9359.0,11627.0,13894.0,16198.0,18511.0,20820.0,23126.0,25259.0,27281.0,29192.0,30971.0,32621.0,34039.0,35305.0,36404.0,37352.0,38171.0,38813.0,39380.0,39869.0,40281.0,40603.0
BLACKBURN WITH DARWEN,4799.0,6143.0,7575.0,9614.0,12423.0,15957.0,20117.0,24719.0,29308.0,33966.0,38632.0,43284.0,47844.0,52037.0,56003.0,59747.0,63125.0,66254.0,68924.0,71279.0,73275.0,74980.0,76438.0,77547.0,78485.0,79196.0,79785.0,80298.0
BLACKPOOL,4110.0,5314.0,6623.0,8532.0,11215.0,14609.0,18596.0,23004.0,27400.0,31864.0,36341.0,40806.0,45243.0,49336.0,53213.0,56876.0,60283.0,63405.0,66058.0,68424.0,70502.0,72244.0,73716.0,74846.0,75786.0,76603.0,77314.0,77903.0
BOLTON,9545.0,12199.0,15043.0,19110.0,24724.0,31805.0,40155.0,49397.0,58620.0,67977.0,77350.0,86692.0,95840.0,104248.0,112200.0,119702.0,126510.0,132765.0,138084.0,142687.0,146637.0,150101.0,153116.0,155388.0,157235.0,158757.0,160028.0,161107.0
BURNLEY,2475.0,3187.0,3987.0,5173.0,6860.0,9015.0,11557.0,14368.0,17174.0,20021.0,22873.0,25715.0,28529.0,31122.0,33576.0,35893.0,38047.0,40041.0,41749.0,43269.0,44609.0,45789.0,46776.0,47517.0,48145.0,48685.0,49126.0,49498.0
BURY,6904.0,8824.0,10836.0,13666.0,17516.0,22338.0,28012.0,34293.0,40555.0,46911.0,53280.0,59629.0,65832.0,71529.0,76794.0,81538.0,85947.0,90031.0,93511.0,96605.0,99331.0,101682.0,103658.0,105202.0,106448.0,107500.0,108387.0,109122.0
CARLISLE,3891.0,5006.0,6248.0,8075.0,10669.0,13987.0,17915.0,22287.0,26674.0,31136.0,35615.0,40087.0,44566.0,48711.0,52640.0,56355.0,59814.0,63024.0,65783.0,68247.0,70355.0,72138.0,73667.0,74891.0,75969.0,76885.0,77644.0,78244.0
CHESHIRE EAST,7058.0,8902.0,10872.0,13717.0,17675.0,22641.0,28484.0,34953.0,41407.0,47959.0,54526.0,61075.0,67432.0,73269.0,78788.0,83994.0,88827.0,93297.0,97107.0,100488.0,103454.0,105991.0,108013.0,109433.0,110567.0,111515.0,112372.0,113113.0
CHORLEY,4223.0,5394.0,6694.0,8609.0,11325.0,14783.0,18865.0,23389.0,27913.0,32506.0,37111.0,41704.0,46240.0,50423.0,54382.0,58120.0,61595.0,64814.0,67571.0,70025.0,72186.0,74086.0,75741.0,77050.0,78030.0,78804.0,79451.0,79999.0
