Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,291.0,425.0,604.0,823.0,1062.0,1062.0,1145.0,1509.0,1856.0,2178.0,2486.0,2787.0,3099.0,3448.0,3792.0,4116.0,4430.0,4977.0,5516.0,6044.0,6723.0,7414.0,7861.0,8308.0,8755.0,9201.0,9648.0,10094.0
BARROWINFURNESS,153.0,225.0,311.0,413.0,524.0,523.0,542.0,631.0,712.0,786.0,852.0,915.0,978.0,1046.0,1110.0,1167.0,1229.0,1367.0,1501.0,1632.0,1796.0,1959.0,2073.0,2186.0,2299.0,2412.0,2525.0,2638.0
BLACKBURN WITH DARWEN,356.0,483.0,627.0,791.0,969.0,972.0,1054.0,1413.0,1762.0,2108.0,2436.0,2762.0,3114.0,3497.0,3886.0,4262.0,4645.0,5167.0,5695.0,6233.0,6807.0,7374.0,7673.0,7971.0,8268.0,8566.0,8863.0,9160.0
BLACKPOOL,693.0,956.0,1249.0,1581.0,1942.0,1954.0,2013.0,2268.0,2526.0,2789.0,3055.0,3332.0,3636.0,3980.0,4334.0,4682.0,5072.0,5668.0,6275.0,6896.0,7561.0,8236.0,8674.0,9111.0,9548.0,9985.0,10420.0,10855.0
BOLTON,975.0,1290.0,1637.0,2026.0,2447.0,2465.0,2630.0,3335.0,4045.0,4769.0,5477.0,6213.0,7003.0,7901.0,8825.0,9711.0,10668.0,11908.0,13189.0,14501.0,15882.0,17268.0,18039.0,18808.0,19576.0,20342.0,21107.0,21871.0
BURNLEY,218.0,302.0,398.0,509.0,631.0,637.0,707.0,1005.0,1306.0,1605.0,1903.0,2201.0,2519.0,2879.0,3243.0,3599.0,3963.0,4414.0,4876.0,5340.0,5835.0,6335.0,6584.0,6833.0,7081.0,7330.0,7578.0,7826.0
BURY,672.0,924.0,1199.0,1505.0,1834.0,1853.0,1961.0,2413.0,2879.0,3354.0,3834.0,4335.0,4875.0,5497.0,6129.0,6754.0,7420.0,8283.0,9175.0,10086.0,11061.0,12043.0,12602.0,13161.0,13719.0,14276.0,14833.0,15389.0
CARLISLE,427.0,584.0,773.0,997.0,1239.0,1240.0,1332.0,1733.0,2115.0,2477.0,2816.0,3148.0,3485.0,3858.0,4223.0,4559.0,4904.0,5452.0,6003.0,6536.0,7170.0,7810.0,8191.0,8571.0,8951.0,9331.0,9711.0,10090.0
CHESHIRE EAST,589.0,800.0,1038.0,1306.0,1597.0,1612.0,1752.0,2343.0,2942.0,3540.0,4126.0,4724.0,5363.0,6085.0,6812.0,7526.0,8264.0,9193.0,10154.0,11136.0,12206.0,13272.0,13837.0,14401.0,14965.0,15529.0,16092.0,16656.0
CHORLEY,350.0,481.0,632.0,808.0,999.0,1009.0,1161.0,1798.0,2441.0,3081.0,3704.0,4347.0,5030.0,5790.0,6570.0,7325.0,8089.0,8984.0,9898.0,10825.0,11834.0,12848.0,13325.0,13802.0,14279.0,14756.0,15233.0,15709.0
