Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,126.0,200.0,239.0,280.0,322.0,363.0,404.0,446.0,490.0,533.0,576.0,621.0,661.0,706.0,758.0,807.0,852.0,885.0,912.0,943.0,978.0,1004.0,1032.0,1065.0,1098.0,1133.0,1166.0,1175.0
BARROWINFURNESS,59.0,93.0,111.0,130.0,150.0,168.0,188.0,207.0,227.0,247.0,267.0,287.0,306.0,326.0,350.0,372.0,393.0,408.0,420.0,434.0,450.0,462.0,474.0,489.0,504.0,520.0,535.0,538.0
BLACKBURN WITH DARWEN,108.0,171.0,203.0,237.0,273.0,307.0,341.0,376.0,412.0,448.0,484.0,522.0,555.0,592.0,635.0,676.0,715.0,742.0,765.0,791.0,821.0,843.0,866.0,894.0,923.0,952.0,981.0,989.0
BLACKPOOL,166.0,261.0,311.0,363.0,416.0,468.0,520.0,573.0,628.0,683.0,737.0,795.0,845.0,902.0,968.0,1031.0,1089.0,1131.0,1167.0,1206.0,1252.0,1285.0,1322.0,1365.0,1409.0,1454.0,1498.0,1510.0
BOLTON,189.0,299.0,356.0,416.0,479.0,538.0,599.0,660.0,723.0,787.0,849.0,916.0,974.0,1040.0,1115.0,1188.0,1255.0,1303.0,1344.0,1390.0,1442.0,1481.0,1523.0,1572.0,1623.0,1675.0,1725.0,1740.0
BURNLEY,75.0,119.0,142.0,167.0,193.0,217.0,242.0,268.0,294.0,321.0,347.0,375.0,400.0,428.0,460.0,491.0,519.0,540.0,558.0,578.0,601.0,618.0,636.0,658.0,680.0,703.0,725.0,732.0
BURY,119.0,189.0,226.0,265.0,305.0,344.0,385.0,425.0,467.0,510.0,552.0,596.0,636.0,681.0,732.0,782.0,828.0,862.0,891.0,923.0,960.0,988.0,1018.0,1054.0,1090.0,1127.0,1163.0,1175.0
CARLISLE,121.0,192.0,229.0,268.0,309.0,347.0,387.0,427.0,468.0,510.0,550.0,593.0,631.0,673.0,722.0,768.0,811.0,841.0,867.0,896.0,929.0,953.0,979.0,1010.0,1041.0,1073.0,1104.0,1112.0
CHESHIRE EAST,122.0,194.0,233.0,275.0,318.0,360.0,403.0,447.0,493.0,539.0,584.0,633.0,677.0,725.0,781.0,835.0,885.0,922.0,955.0,991.0,1031.0,1062.0,1096.0,1135.0,1175.0,1216.0,1256.0,1270.0
CHORLEY,79.0,126.0,151.0,177.0,204.0,231.0,258.0,285.0,314.0,342.0,370.0,400.0,427.0,457.0,491.0,524.0,555.0,577.0,597.0,618.0,643.0,661.0,681.0,705.0,729.0,753.0,778.0,786.0
