Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100030,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.14,0.15,0.15,0.16,0.16,0.17,0.17,0.18,0.18,0.18,0.18,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.18,0.18
100101,289.89,357.78,424.25,488.0,548.77,607.29,663.69,718.65,749.79,808.26,872.48,921.6,974.9,1027.99,1080.46,1131.7,1181.95,1231.65,1276.44,1315.89,1349.64,1378.91,1403.99,1428.89,1453.61,1478.13,1502.45,1526.54
100102,178.34,233.4,291.41,350.86,411.17,472.16,533.65,595.56,638.46,705.33,778.93,840.84,907.3,974.22,1041.38,1108.83,1176.4,1243.98,1307.08,1365.39,1418.59,1466.27,1509.33,1552.01,1594.28,1636.13,1677.54,1718.49
100103,218.92,284.24,352.48,421.86,491.68,561.84,632.18,702.65,750.49,826.3,909.54,978.77,1053.07,1127.63,1202.26,1276.72,1350.99,1425.1,1493.72,1556.53,1613.32,1663.79,1708.91,1753.49,1797.51,1840.96,1883.82,1926.08
100104,90.02,114.23,138.86,163.29,187.37,211.15,234.62,257.83,272.55,297.25,324.36,346.26,369.8,393.25,416.59,439.76,462.75,485.58,506.45,525.3,542.09,556.72,569.56,582.22,594.69,606.98,619.07,630.97
100105,4.76,5.69,6.53,7.28,7.95,8.54,9.06,9.53,9.67,10.13,10.63,10.94,11.28,11.59,11.87,12.14,12.39,12.61,12.78,12.89,12.94,12.94,12.9,12.86,12.81,12.77,12.72,12.67
100106,25.7,30.84,35.59,39.87,43.7,47.17,50.31,53.21,54.26,57.2,60.41,62.49,64.77,66.95,69.0,70.9,72.66,74.33,75.65,76.61,77.21,77.55,77.65,77.73,77.81,77.88,77.93,77.98
100107,208.35,276.28,348.72,423.86,500.88,579.39,659.2,740.03,797.9,886.05,983.3,1066.25,1155.41,1245.91,1337.13,1428.98,1521.21,1613.89,1701.29,1782.56,1857.01,1924.8,1986.73,2048.31,2109.52,2170.33,2230.73,2290.69
100108,161.11,216.79,276.93,339.88,404.92,471.56,539.6,608.78,659.01,734.45,817.48,879.88,947.01,1014.5,1082.18,1150.03,1217.97,1285.98,1349.38,1407.86,1460.93,1508.49,1551.38,1593.94,1636.17,1678.04,1719.55,1760.68
100109,163.24,209.4,256.93,304.6,352.0,399.13,445.93,492.39,522.69,572.15,626.37,670.59,717.95,765.15,812.08,858.65,904.83,950.62,992.45,1030.21,1063.81,1092.98,1118.45,1143.39,1167.78,1191.62,1214.87,1237.53
100110,226.63,293.33,362.74,433.08,503.75,574.58,645.5,716.4,764.17,840.29,923.96,993.37,1067.82,1142.53,1217.26,1291.94,1366.45,1440.79,1509.64,1572.66,1629.61,1680.11,1725.2,1769.74,1813.7,1857.08,1899.84,1941.98
100111,52.38,62.56,71.82,80.02,87.24,93.64,99.34,104.44,105.83,110.84,116.34,119.63,123.24,126.59,129.68,132.52,135.12,137.53,139.26,140.35,140.83,140.74,140.22,139.67,139.1,138.52,137.91,137.28
100112,25.03,29.95,34.45,38.46,42.01,45.18,48.02,50.58,51.35,53.88,56.65,58.18,59.86,61.41,62.83,64.13,65.31,66.4,67.16,67.61,67.77,67.66,67.33,67.0,66.66,66.31,65.96,65.59
100113,175.17,228.29,284.07,341.08,398.7,456.87,515.4,574.34,615.02,678.89,749.07,807.87,871.11,934.85,998.81,1062.61,1126.28,1189.96,1249.2,1303.59,1352.79,1397.0,1436.78,1476.13,1515.06,1553.53,1591.54,1629.06
100114,345.86,810.33,1385.97,2051.47,2789.09,3586.4,4432.78,5320.57,6059.84,7046.25,8129.16,8402.39,8700.22,8981.88,9247.54,9496.75,9731.15,9952.77,10126.72,10254.72,10338.85,10381.83,10392.15,10400.63,10407.25,10411.97,10414.78,10415.62
100116,6.39,7.63,8.76,9.76,10.64,11.42,12.11,12.73,12.9,13.5,14.17,14.57,15.01,15.41,15.79,16.13,16.45,16.75,16.96,17.1,17.16,17.16,17.1,17.04,16.98,16.92,16.85,16.79
100117,36.96,44.16,50.71,56.51,61.63,66.18,70.23,73.85,74.85,78.4,82.3,84.65,87.23,89.61,91.81,93.86,95.75,97.5,98.78,99.62,100.03,100.04,99.74,99.42,99.1,98.76,98.42,98.06
100118,26.94,32.31,37.24,41.65,45.61,49.15,52.35,55.26,56.22,59.12,62.31,64.33,66.55,68.63,70.59,72.43,74.16,75.8,77.09,78.04,78.64,78.93,78.98,79.02,79.06,79.08,79.09,79.1
100119,281.22,367.6,458.41,551.2,644.95,739.43,834.34,929.59,994.91,1097.3,1209.62,1303.27,1403.62,1504.22,1604.79,1704.98,1804.72,1904.05,1995.82,2079.57,2154.97,2221.68,2280.97,2339.22,2396.42,2452.52,2507.5,2561.32
100120,0.45,0.56,0.67,0.77,0.87,0.97,1.07,1.16,1.22,1.33,1.44,1.53,1.63,1.73,1.82,1.91,2.0,2.08,2.16,2.22,2.27,2.32,2.36,2.4,2.44,2.48,2.51,2.55
100122,445.37,559.46,674.14,786.94,897.4,1005.99,1112.8,1218.43,1284.25,1397.49,1522.28,1622.8,1731.38,1840.31,1948.93,2057.06,2164.57,2271.56,2370.33,2460.14,2540.07,2611.0,2674.04,2736.73,2799.06,2860.98,2922.47,2983.49
100123,160.8,204.66,249.45,294.07,338.19,381.87,425.12,467.99,495.52,541.25,591.47,632.25,676.06,719.81,763.38,806.66,849.64,892.36,931.52,966.96,998.59,1026.28,1050.67,1074.73,1098.44,1121.8,1144.8,1167.44
100124,12.76,15.29,17.61,19.69,21.54,23.2,24.69,26.05,26.48,27.82,29.29,30.22,31.23,32.18,33.07,33.91,34.7,35.44,36.01,36.43,36.69,36.8,36.8,36.79,36.78,36.77,36.75,36.73
100125,237.14,305.84,377.2,449.47,521.93,594.63,667.39,740.35,789.63,868.5,955.21,1027.21,1104.71,1182.74,1260.94,1338.83,1416.46,1494.02,1566.01,1631.89,1691.21,1744.37,1792.02,1839.21,1885.9,1932.07,1977.71,2022.79
100126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100127,7.6,9.06,10.4,11.57,12.6,13.51,14.32,15.04,15.22,15.92,16.69,17.15,17.64,18.1,18.52,18.9,19.26,19.58,19.81,19.95,20.01,19.98,19.89,19.8,19.71,19.61,19.51,19.41
100128,155.16,213.78,278.11,346.25,417.14,490.29,565.22,641.66,698.23,781.54,873.0,921.86,974.53,1026.5,1077.66,1127.85,1177.13,1225.65,1268.94,1306.9,1339.51,1366.83,1389.76,1412.26,1434.34,1455.98,1477.16,1497.89
100129,18.98,22.76,26.23,29.33,32.11,34.6,36.85,38.88,39.57,41.6,43.85,45.28,46.83,48.32,49.71,51.02,52.24,53.39,54.3,54.97,55.38,55.58,55.61,55.64,55.65,55.66,55.66,55.66
100130,344.97,445.59,550.13,655.93,762.03,868.33,974.61,1080.89,1152.22,1266.39,1391.8,1495.61,1607.05,1718.79,1830.47,1941.84,2052.79,2163.32,2265.49,2358.78,2442.75,2517.1,2583.29,2648.56,2712.88,2776.21,2838.53,2899.79
