Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100030,0.82,0.98,1.15,1.29,1.41,1.51,1.61,1.7,1.75,1.86,1.99,2.08,2.17,2.26,2.35,2.43,2.51,2.59,2.66,2.71,2.75,2.78,2.8,2.82,2.84,2.86,2.88,2.89
100101,132.27,163.11,195.77,225.95,253.67,280.06,305.31,329.57,348.26,379.81,414.58,442.7,473.15,503.67,534.14,564.51,594.91,625.38,653.51,679.22,702.5,723.23,741.74,760.18,778.53,796.77,814.89,832.88
100102,14.43,18.89,23.87,28.87,33.8,38.76,43.73,48.68,52.97,59.38,66.49,72.77,79.56,86.54,93.7,101.04,108.54,116.18,123.51,130.51,137.15,143.29,149.06,154.87,160.69,166.52,172.36,178.21
100103,50.13,65.33,82.39,99.41,116.21,133.12,150.11,167.15,181.78,203.61,227.84,249.1,272.17,295.79,319.86,344.3,369.19,394.5,418.69,441.61,463.17,483.22,501.9,520.62,539.37,558.12,576.86,595.58
100104,8.21,10.45,12.92,15.33,17.65,19.94,22.21,24.47,26.34,29.24,32.45,35.21,38.21,41.25,44.34,47.47,50.63,53.84,56.88,59.74,62.4,64.86,67.12,69.39,71.66,73.93,76.19,78.44
100105,0.95,1.14,1.32,1.48,1.62,1.73,1.84,1.93,1.98,2.11,2.25,2.35,2.45,2.55,2.65,2.75,2.84,2.93,3.0,3.06,3.11,3.15,3.18,3.2,3.23,3.25,3.27,3.29
100106,33.68,40.37,47.15,52.98,57.94,62.35,66.3,69.85,72.07,76.79,81.93,85.6,89.56,93.36,97.0,100.47,103.82,107.05,109.77,111.98,113.73,115.0,115.89,116.73,117.53,118.29,119.0,119.68
100107,27.99,36.86,46.76,56.69,66.49,76.3,86.09,95.81,104.48,117.32,131.6,144.19,157.85,171.85,186.18,200.83,215.77,230.98,245.56,259.43,272.54,284.72,296.13,307.57,319.04,330.52,342.0,353.48
100108,27.03,36.18,46.54,57.06,67.55,78.15,88.8,99.44,109.05,123.06,138.63,150.99,164.37,178.05,192.03,206.3,220.83,235.59,249.68,263.03,275.61,287.18,297.98,308.81,319.66,330.51,341.36,352.2
100109,16.63,21.41,26.72,31.97,37.1,42.22,47.33,52.44,56.76,63.31,70.57,76.89,83.74,90.74,97.85,105.06,112.38,119.82,126.9,133.58,139.85,145.65,151.03,156.43,161.82,167.21,172.6,177.98
100110,41.62,53.59,66.69,79.52,91.93,104.18,116.23,128.05,138.45,154.28,171.85,187.12,203.67,220.57,237.84,255.44,273.35,291.53,308.86,325.26,340.67,354.9,368.15,381.43,394.73,408.03,421.34,434.62
100111,9.0,10.74,12.47,13.94,15.18,16.25,17.2,18.04,18.56,19.74,21.02,21.93,22.9,23.84,24.74,25.61,26.44,27.24,27.91,28.46,28.89,29.2,29.41,29.61,29.8,29.98,30.15,30.31
100112,5.03,6.04,7.07,7.96,8.73,9.42,10.04,10.61,10.98,11.73,12.55,13.1,13.71,14.28,14.84,15.36,15.87,16.36,16.77,17.11,17.37,17.56,17.7,17.82,17.94,18.05,18.16,18.26
100113,26.16,34.14,43.09,52.05,60.9,69.82,78.78,87.78,95.53,107.06,119.86,131.11,143.31,155.8,168.53,181.46,194.63,208.02,220.82,232.96,244.37,254.99,264.89,274.81,284.74,294.67,304.6,314.51
100114,78.48,184.5,320.87,478.9,653.14,842.08,1043.27,1254.87,1455.47,1721.96,2019.9,2121.68,2231.56,2338.74,2442.81,2543.71,2642.29,2738.78,2822.9,2894.9,2955.18,3003.71,3042.34,3080.11,3116.99,3152.97,3188.02,3222.12
100116,0.88,1.05,1.22,1.36,1.48,1.58,1.68,1.76,1.81,1.92,2.05,2.13,2.23,2.32,2.41,2.49,2.57,2.65,2.72,2.77,2.81,2.84,2.87,2.89,2.91,2.92,2.94,2.96
100117,5.12,6.13,7.13,7.99,8.72,9.35,9.92,10.42,10.72,11.41,12.16,12.69,13.26,13.81,14.35,14.87,15.37,15.86,16.27,16.61,16.88,17.08,17.23,17.36,17.5,17.62,17.74,17.86
100118,4.22,5.03,5.82,6.49,7.05,7.54,7.96,8.33,8.56,9.1,9.68,10.09,10.54,10.96,11.38,11.77,12.16,12.53,12.84,13.09,13.29,13.43,13.53,13.63,13.72,13.8,13.88,13.96
100119,30.99,40.67,51.59,62.59,73.51,84.55,95.69,106.9,116.6,130.94,146.87,160.92,176.17,191.81,207.76,223.97,240.5,257.32,273.43,288.73,303.15,316.59,329.14,341.72,354.32,366.92,379.52,392.11
100120,2.95,3.54,4.13,4.64,5.07,5.46,5.8,6.11,6.3,6.71,7.16,7.48,7.83,8.16,8.47,8.78,9.07,9.35,9.58,9.78,9.93,10.04,10.11,10.19,10.26,10.32,10.38,10.44
100122,74.83,93.84,114.4,133.95,152.4,170.36,187.88,205.02,218.87,241.04,265.56,286.23,308.61,331.3,354.22,377.35,400.71,424.3,446.49,467.2,486.37,503.8,519.78,535.75,551.71,567.65,583.54,599.37
100123,45.08,57.58,71.37,84.84,97.87,110.8,123.63,136.38,147.05,163.42,181.57,197.23,214.2,231.51,249.06,266.82,284.83,303.11,320.44,336.76,352.0,366.06,379.06,392.08,405.1,418.11,431.1,444.06
100124,4.35,5.2,6.06,6.78,7.4,7.94,8.42,8.84,9.1,9.68,10.31,10.76,11.25,11.71,12.17,12.61,13.04,13.45,13.8,14.08,14.32,14.48,14.61,14.72,14.83,14.94,15.04,15.14
100125,84.69,109.35,136.79,163.9,190.41,216.89,243.33,269.71,292.2,326.17,363.86,396.71,432.34,468.76,505.82,543.42,581.66,620.52,657.55,692.56,725.41,755.85,784.15,812.5,840.88,869.26,897.62,925.92
100126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100127,0.79,0.94,1.1,1.23,1.34,1.44,1.53,1.61,1.65,1.76,1.87,1.96,2.04,2.13,2.21,2.29,2.37,2.44,2.51,2.56,2.6,2.63,2.66,2.68,2.7,2.72,2.73,2.75
100128,44.34,61.33,81.17,101.93,123.2,145.2,167.79,190.9,211.54,240.93,273.63,293.64,315.31,337.17,359.1,381.08,403.19,425.44,446.18,465.34,482.9,498.74,513.09,527.4,541.68,555.9,570.05,584.13
100129,7.84,9.32,10.77,11.98,12.98,13.84,14.58,15.21,15.62,16.57,17.62,18.35,19.13,19.89,20.62,21.32,22.0,22.65,23.2,23.64,23.98,24.22,24.39,24.54,24.69,24.83,24.97,25.09
100130,51.41,66.53,83.39,100.13,116.55,133.01,149.48,165.95,180.0,201.14,224.59,245.07,267.29,290.0,313.11,336.57,360.42,384.67,407.79,429.67,450.2,469.25,486.97,504.71,522.48,540.24,557.99,575.71
100131,35.63,46.68,59.14,71.67,84.11,96.67,109.33,122.08,133.08,149.39,167.49,183.42,200.72,218.44,236.5,254.87,273.58,292.62,310.85,328.15,344.44,359.62,373.78,387.98,402.19,416.42,430.63,444.83
100132,7.05,8.44,9.85,11.05,12.08,12.99,13.8,14.53,14.99,15.96,17.03,17.78,18.6,19.38,20.13,20.85,21.54,22.2,22.76,23.22,23.57,23.83,24.01,24.18,24.34,24.49,24.64,24.77
100134,83.05,108.24,136.38,164.42,191.96,219.59,247.23,274.75,298.43,334.01,373.54,408.29,445.89,484.48,524.1,564.66,606.06,648.22,688.67,727.25,763.75,797.5,829.21,861.05,892.99,925.01,957.08,989.16
