Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100030,4.14,4.16,4.22,4.24,4.25,4.25,4.24,4.24,4.29,4.33,4.37,4.41,4.44,4.48,4.51,4.54,4.56,4.59,4.61,4.63,4.65,4.67,4.68,4.69,4.71,4.72,4.73,4.73
100101,16.69,17.11,17.41,17.6,17.75,17.9,18.09,18.34,18.65,18.97,19.27,19.56,19.86,20.18,20.5,20.8,21.08,21.37,21.65,21.91,22.16,22.4,22.56,22.71,22.85,22.99,23.11,23.21
100102,11.73,11.93,12.08,12.25,12.46,12.69,12.97,13.3,13.6,13.9,14.2,14.5,14.8,15.1,15.39,15.67,15.94,16.24,16.52,16.78,17.03,17.25,17.43,17.58,17.72,17.85,17.96,18.07
100103,16.34,16.48,16.6,16.73,16.92,17.16,17.5,17.93,18.34,18.82,19.29,19.77,20.35,20.95,21.54,22.11,22.66,23.23,23.77,24.26,24.71,25.11,25.44,25.71,25.95,26.15,26.32,26.46
100104,4.15,4.2,4.34,4.47,4.61,4.74,4.97,5.22,5.46,5.71,5.88,5.96,6.04,6.12,6.2,6.26,6.33,6.41,6.47,6.54,6.6,6.65,6.69,6.73,6.76,6.79,6.82,6.85
100105,14.38,14.68,14.88,15.05,15.28,15.52,15.83,16.2,16.49,16.78,17.06,17.35,17.63,17.92,18.2,18.47,18.73,18.98,19.22,19.45,19.67,19.87,20.02,20.15,20.27,20.38,20.48,20.57
100106,14.27,15.11,15.5,15.69,15.83,15.98,16.16,16.4,16.75,17.1,17.45,17.79,18.13,18.48,19.1,20.26,21.37,22.42,23.38,24.26,25.05,25.77,26.34,26.82,27.23,27.56,27.83,28.04
100107,14.47,14.67,14.8,14.93,15.13,15.35,15.65,16.06,16.37,16.69,17.02,17.36,17.76,18.18,18.59,18.98,19.37,19.79,20.19,20.57,20.94,21.28,21.53,21.75,21.96,22.16,22.34,22.51
100108,13.89,14.13,14.28,14.43,14.64,14.89,15.22,15.6,15.92,16.25,16.6,16.96,17.32,17.68,18.02,18.35,18.66,18.99,19.3,19.58,19.84,20.09,20.27,20.44,20.58,20.72,20.84,20.95
100109,7.07,7.19,7.31,7.45,7.64,7.83,8.06,8.31,8.52,8.73,8.94,9.14,9.34,9.53,9.72,9.88,10.04,10.19,10.33,10.45,10.56,10.65,10.73,10.79,10.84,10.88,10.92,10.95
100110,11.96,12.15,12.28,12.41,12.6,12.81,13.08,13.41,13.63,13.87,14.12,14.37,14.61,14.86,15.1,15.32,15.54,15.79,16.02,16.23,16.43,16.61,16.76,16.9,17.02,17.13,17.24,17.33
100111,12.56,13.04,13.2,13.29,13.46,13.65,13.9,14.23,14.53,14.83,15.14,15.45,15.75,16.07,16.37,16.66,16.94,17.23,17.49,17.74,17.97,18.19,18.35,18.48,18.6,18.71,18.8,18.88
100112,14.81,15.0,15.15,15.32,15.54,15.8,16.13,16.51,16.81,17.1,17.39,17.68,17.96,18.24,18.5,18.74,18.96,19.2,19.4,19.59,19.76,19.92,20.04,20.14,20.23,20.31,20.37,20.42
100113,12.21,12.6,12.86,13.11,13.42,13.7,14.05,14.47,14.84,15.23,15.6,15.97,16.33,16.69,17.04,17.35,17.64,17.93,18.2,18.45,18.67,18.88,19.03,19.16,19.28,19.39,19.49,19.58
100114,15.44,15.91,16.29,16.67,17.12,17.58,18.13,18.78,19.26,19.82,20.4,20.75,21.1,21.46,21.8,22.12,22.41,22.71,22.97,23.21,23.42,23.6,23.73,23.84,23.94,24.03,24.11,24.18
100116,8.44,8.47,8.51,8.54,8.59,8.66,8.75,8.86,8.98,9.1,9.22,9.34,9.46,9.58,9.7,9.81,9.92,10.05,10.16,10.27,10.37,10.46,10.54,10.6,10.66,10.71,10.76,10.8
100117,16.18,16.44,16.59,16.73,16.93,17.17,17.46,17.82,18.14,18.48,18.81,19.14,19.46,19.78,20.09,20.39,20.67,20.98,21.27,21.54,21.79,22.02,22.21,22.37,22.52,22.65,22.77,22.88
100118,13.57,14.01,14.26,14.45,14.69,14.94,15.27,15.75,16.22,16.69,17.19,17.69,18.22,18.75,19.28,19.79,20.28,20.77,21.24,21.68,22.09,22.47,22.74,22.99,23.2,23.4,23.57,23.72
100119,14.47,14.87,15.08,15.26,15.51,15.76,16.1,16.54,16.88,17.28,17.69,18.09,18.5,18.92,19.33,19.72,20.09,20.48,20.83,21.15,21.45,21.73,21.94,22.11,22.27,22.41,22.53,22.63
100120,14.01,14.31,14.23,14.3,14.29,14.27,14.24,14.2,14.38,14.54,14.69,14.84,14.98,15.11,15.23,15.34,15.44,15.54,15.62,15.7,15.77,15.84,15.9,15.95,16.0,16.04,16.08,16.11
100122,17.55,18.63,19.05,19.28,19.51,19.74,20.04,20.49,20.93,21.37,21.82,22.26,22.71,23.2,23.68,24.14,24.58,25.03,25.47,25.9,26.32,26.73,27.0,27.27,27.52,27.77,28.3,28.51
100123,8.98,9.26,9.45,9.62,9.86,10.15,10.51,10.93,11.32,11.75,12.21,12.7,13.34,14.19,15.11,16.0,16.85,17.65,18.38,19.03,19.61,20.12,20.54,20.9,21.19,21.43,21.62,21.78
100124,4.56,4.61,4.67,4.72,4.78,4.85,4.95,5.08,5.24,5.43,5.63,5.86,6.11,6.41,6.76,7.12,7.48,7.83,8.17,8.49,8.79,9.05,14.22,14.41,30.04,30.0,29.94,29.85
100125,14.14,14.38,14.65,15.1,15.37,15.7,16.1,16.58,16.85,17.13,17.4,17.68,18.0,18.51,19.03,19.52,20.0,20.48,20.94,21.37,21.77,22.15,22.41,22.65,22.86,23.06,23.23,23.38
100126,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
100127,7.66,7.72,7.79,7.87,7.97,8.08,8.25,8.43,8.59,8.76,8.93,9.09,9.25,9.41,9.57,9.71,9.84,9.99,10.12,10.24,10.35,10.45,10.54,10.61,10.67,10.72,10.77,10.81
100128,10.06,10.84,11.08,11.17,11.26,11.37,11.51,11.68,11.87,12.07,12.28,12.5,12.75,13.01,13.26,13.51,13.74,13.99,14.21,14.42,14.6,14.78,14.92,15.05,15.16,15.26,15.34,15.41
100129,13.46,13.83,14.0,14.08,14.16,14.26,14.4,14.58,14.85,15.11,15.38,15.66,15.93,16.23,16.57,16.9,17.22,17.54,17.86,18.16,18.45,18.72,18.92,19.1,19.27,19.42,19.57,19.69
100130,17.05,17.38,17.7,18.05,18.49,18.89,19.39,20.0,20.43,20.87,21.3,21.73,22.15,22.57,22.98,23.36,23.72,24.09,24.43,24.74,25.04,25.32,25.52,25.7,25.86,26.01,26.15,26.27
100131,14.24,14.47,14.71,14.97,15.29,15.58,15.94,16.35,16.62,16.89,17.15,17.41,17.67,17.92,18.16,18.39,18.61,18.84,19.05,19.24,19.42,19.58,19.7,19.82,19.92,20.01,20.09,20.16
