Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100030,21678.33,21779.12,22073.05,22200.94,22218.35,22224.87,22227.27,22231.52,22458.74,22672.39,22871.26,23059.22,23237.67,23406.8,23562.96,23702.38,23831.83,23949.88,24057.68,24156.57,24247.3,24330.74,24404.53,24471.95,24531.63,24583.73,24627.72,24655.99
100101,89053.91,90894.41,92554.7,93671.94,94656.34,95740.66,97054.64,98728.36,100528.25,102358.65,104152.16,105905.06,107669.29,109454.29,111181.38,112797.24,114331.98,115836.03,117251.48,118571.57,119796.27,120952.53,121830.0,122619.46,123340.96,123995.87,124586.19,125087.37
100102,51528.9,52490.68,53344.85,54389.39,55846.77,57563.24,59610.86,61926.76,63747.72,65628.06,67502.7,69368.91,71215.0,73024.54,74764.87,76431.82,78015.79,79606.83,81060.9,82404.69,83643.14,84771.72,85693.93,86479.86,87198.23,87847.79,88433.14,88952.25
100103,82505.37,83571.02,84724.77,86053.42,87863.8,90065.09,92878.11,96119.06,99374.22,102867.84,106451.99,110132.94,113996.24,117980.0,121965.53,125856.85,129611.34,133309.7,136718.31,139843.31,142676.45,145215.79,147348.18,149145.39,150693.6,152003.79,153097.72,153970.39
100104,17476.93,17734.28,18305.95,18864.67,19482.55,20162.59,21191.26,22285.15,23347.59,24422.36,25216.28,25726.02,26226.72,26708.74,27163.93,27587.88,27988.21,28394.21,28757.97,29086.89,29384.11,29653.9,29871.61,30053.94,30218.1,30363.71,30492.06,30601.15
100105,63543.81,64888.21,65915.58,67073.11,68645.77,70506.14,72763.18,75385.41,77072.82,78782.84,80473.64,82168.77,83835.8,85487.37,87083.65,88612.02,90049.28,91438.43,92712.75,93902.48,95014.35,96028.28,96826.34,97509.91,98135.74,98702.92,99212.42,99642.34
100106,57162.9,61574.15,63824.35,65436.4,67156.67,69134.81,71502.34,74414.61,77681.41,81256.4,85175.17,89503.33,94192.79,99144.91,104175.44,109086.73,113791.36,118228.8,122330.28,126092.11,129507.1,132547.35,135017.82,137142.72,138957.31,140484.29,141746.9,142695.22
100107,67913.85,69014.53,69954.99,71015.14,72500.17,74305.74,76559.76,79243.93,81363.86,83549.29,85758.87,87972.98,90191.12,92440.39,94626.66,96724.66,98748.13,100850.57,102817.03,104652.92,106357.68,107958.55,109196.71,110284.67,111291.12,112215.38,113063.32,113823.15
100108,64219.1,65468.57,66399.2,67481.03,69064.81,71025.86,73401.13,76084.66,78177.79,80331.56,82472.77,84590.59,86684.22,88731.97,90696.84,92567.32,94337.48,96116.29,97731.48,99217.61,100570.21,101808.12,102811.38,103658.85,104431.92,105129.06,105754.1,106296.67
100109,29779.26,30355.91,30930.03,31668.27,32686.07,33826.99,35184.26,36712.44,37770.25,38863.41,39945.68,41010.65,42058.74,43069.38,44028.2,44925.5,45755.79,46564.1,47276.32,47912.15,48482.43,48993.21,49405.74,49737.19,50030.22,50283.75,50500.65,50676.12
100110,53898.7,54925.17,55798.59,56793.15,58175.07,59873.53,61943.84,64304.44,65857.18,67464.93,69075.43,70669.71,72239.08,73779.03,75252.54,76646.48,77974.46,79346.24,80581.58,81707.92,82732.71,83661.97,84431.52,85084.86,85681.32,86219.42,86703.01,87114.59
100111,63612.18,65815.33,66831.4,67596.14,68665.14,69997.02,71686.81,73709.5,75434.31,77199.97,78980.43,80784.56,82595.72,84427.86,86213.42,87920.6,89547.53,91168.45,92663.5,94045.02,95312.67,96481.03,97390.38,98162.84,98852.85,99460.98,99993.01,100433.1
100112,67397.35,68396.73,69300.82,70402.36,71967.41,73770.6,75981.13,78514.61,80234.08,81971.58,83682.91,85385.62,87055.5,88685.29,90236.2,91681.38,93019.28,94350.78,95529.85,96591.37,97554.9,98423.56,99129.12,99703.59,100213.65,100658.06,101039.41,101334.53
100113,54584.22,56265.47,57582.01,59079.5,60726.25,62483.91,64585.01,67032.36,68949.72,70916.18,72850.13,74750.85,76639.11,78502.4,80274.68,81921.49,83449.66,84947.29,86306.32,87542.06,88667.16,89709.59,90536.58,91242.13,91888.3,92473.67,93001.93,93462.11
100114,71009.52,73202.45,75054.46,77011.17,79402.51,82068.49,85217.09,88835.94,91243.97,93972.43,96804.87,98671.53,100561.05,102442.94,104239.96,105915.67,107480.29,109010.84,110369.89,111573.4,112632.04,113564.86,114271.56,114874.57,115419.65,115906.17,116336.41,116688.9
100116,44764.01,44954.53,45299.35,45586.7,45958.25,46454.78,47103.15,47854.69,48648.27,49449.99,50250.18,51055.65,51853.01,52645.79,53409.62,54137.49,54834.77,55549.99,56202.58,56802.19,57348.49,57843.12,58258.15,58607.55,58917.77,59188.89,59423.14,59616.18
100117,77476.27,78663.67,79593.74,80644.37,82155.1,84033.8,86311.6,88876.04,91030.45,93220.97,95384.69,97545.55,99660.38,101720.32,103696.41,105573.94,107352.06,109152.73,110780.81,112277.29,113650.85,114894.93,115921.17,116783.13,117564.55,118263.67,118884.58,119413.54
100118,57612.69,59690.0,61057.7,62446.64,64265.36,66407.59,69009.1,72095.45,74665.09,77382.07,80225.48,83232.56,86374.14,89594.52,92789.16,95889.43,98853.6,101762.29,104458.5,106956.21,109240.21,111327.23,112969.87,114380.62,115630.65,116726.99,117682.44,118495.31
100119,66612.75,68561.8,69817.73,71113.18,72883.93,74976.27,77564.28,80632.37,82806.48,85101.71,87456.3,89862.01,92327.26,94835.0,97298.62,99665.52,101931.07,104183.63,106251.89,108149.4,109882.19,111458.3,112716.16,113779.31,114715.76,115528.66,116227.86,116805.27
