Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
100101,0.02,0.03,0.03,0.05,0.06,0.08,0.09,0.11,0.12,0.13,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.24,0.25,0.27,0.28,0.3,0.32,0.34,0.36,0.38,0.4
100102,0.02,0.02,0.03,0.04,0.05,0.07,0.08,0.1,0.11,0.12,0.13,0.14,0.16,0.16,0.17,0.18,0.19,0.2,0.21,0.23,0.24,0.26,0.27,0.29,0.31,0.33,0.34,0.36
100103,0.06,0.07,0.08,0.11,0.14,0.18,0.22,0.25,0.29,0.32,0.35,0.38,0.41,0.43,0.46,0.48,0.5,0.53,0.55,0.58,0.61,0.64,0.67,0.71,0.74,0.76,0.79,0.82
100104,0.02,0.02,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.13,0.14,0.15,0.15,0.16,0.17,0.18,0.19,0.19,0.21,0.21,0.22,0.23,0.24
100105,0.02,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.22,0.23,0.25,0.27,0.3,0.32,0.34,0.36
100106,0.02,0.02,0.03,0.04,0.05,0.06,0.08,0.09,0.1,0.11,0.12,0.13,0.15,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.23,0.24,0.25,0.27,0.29,0.3,0.32,0.34
100107,0.1,0.11,0.15,0.19,0.25,0.31,0.38,0.44,0.5,0.56,0.61,0.66,0.71,0.75,0.79,0.83,0.87,0.91,0.96,1.0,1.06,1.11,1.16,1.22,1.27,1.32,1.37,1.41
100108,0.06,0.07,0.08,0.11,0.14,0.18,0.22,0.25,0.29,0.32,0.35,0.38,0.41,0.43,0.46,0.48,0.5,0.53,0.55,0.58,0.62,0.65,0.68,0.72,0.75,0.78,0.81,0.84
100109,0.03,0.04,0.04,0.06,0.08,0.1,0.12,0.14,0.15,0.17,0.19,0.2,0.22,0.23,0.24,0.26,0.27,0.28,0.3,0.31,0.33,0.35,0.37,0.39,0.41,0.43,0.44,0.46
100110,0.08,0.1,0.12,0.16,0.21,0.26,0.32,0.37,0.42,0.47,0.51,0.56,0.6,0.63,0.67,0.7,0.74,0.77,0.81,0.85,0.9,0.95,0.99,1.05,1.1,1.14,1.19,1.23
100111,0.05,0.06,0.08,0.11,0.14,0.18,0.21,0.25,0.28,0.31,0.34,0.37,0.4,0.42,0.44,0.47,0.49,0.51,0.54,0.56,0.6,0.63,0.66,0.69,0.72,0.75,0.78,0.81
100112,0.05,0.06,0.08,0.1,0.14,0.17,0.2,0.24,0.27,0.3,0.33,0.36,0.39,0.41,0.43,0.46,0.48,0.5,0.53,0.55,0.59,0.62,0.65,0.69,0.72,0.76,0.79,0.82
100113,0.05,0.06,0.07,0.09,0.12,0.15,0.18,0.21,0.24,0.27,0.3,0.32,0.35,0.36,0.38,0.4,0.42,0.44,0.47,0.49,0.52,0.54,0.57,0.6,0.63,0.66,0.68,0.71
100114,0.05,0.06,0.08,0.1,0.14,0.17,0.21,0.24,0.28,0.31,0.34,0.36,0.39,0.41,0.44,0.46,0.48,0.51,0.54,0.56,0.6,0.63,0.67,0.71,0.75,0.78,0.82,0.85
100116,0.03,0.03,0.04,0.05,0.06,0.08,0.1,0.11,0.13,0.14,0.16,0.17,0.19,0.19,0.2,0.22,0.23,0.24,0.25,0.26,0.28,0.29,0.3,0.32,0.33,0.35,0.36,0.37
100117,0.03,0.03,0.04,0.05,0.07,0.09,0.1,0.12,0.14,0.15,0.17,0.18,0.2,0.21,0.22,0.23,0.24,0.26,0.27,0.29,0.31,0.32,0.34,0.37,0.39,0.41,0.43,0.45
100118,0.05,0.06,0.08,0.1,0.14,0.17,0.2,0.24,0.27,0.3,0.33,0.36,0.39,0.41,0.43,0.45,0.47,0.5,0.52,0.55,0.59,0.62,0.65,0.69,0.72,0.75,0.78,0.81
100119,0.06,0.07,0.09,0.12,0.16,0.2,0.24,0.28,0.32,0.36,0.39,0.43,0.46,0.48,0.51,0.54,0.56,0.59,0.62,0.65,0.69,0.73,0.77,0.81,0.85,0.89,0.92,0.96
100120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
100122,0.04,0.05,0.06,0.08,0.11,0.14,0.17,0.2,0.22,0.25,0.27,0.29,0.32,0.33,0.35,0.37,0.39,0.41,0.43,0.45,0.48,0.5,0.53,0.55,0.58,0.6,0.63,0.65
100123,0.03,0.04,0.05,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2,0.21,0.23,0.24,0.25,0.27,0.28,0.3,0.31,0.33,0.35,0.37,0.39,0.42,0.44,0.46,0.48,0.5
100124,0.01,0.01,0.01,0.02,0.02,0.03,0.03,0.04,0.04,0.05,0.05,0.06,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.09,0.09,0.1,0.11,0.11,0.12,0.13,0.13,0.14
100125,0.05,0.06,0.08,0.1,0.13,0.17,0.2,0.23,0.27,0.3,0.32,0.35,0.38,0.4,0.42,0.44,0.47,0.49,0.51,0.54,0.58,0.61,0.64,0.68,0.71,0.74,0.78,0.81
100126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
