Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100030,0.1,0.1,0.11,0.11,0.11,0.12,0.12,0.12,0.13,0.13,0.13,0.14,0.14,0.15,0.15,0.16,0.16,0.17,0.17,0.17,0.18,0.18,0.19,0.19,0.2,0.2,0.21,0.22
100101,0.55,0.58,0.61,0.65,0.7,0.75,0.81,0.87,0.92,0.99,1.03,1.09,1.15,1.18,1.22,1.27,1.33,1.38,1.43,1.48,1.54,1.6,1.66,1.74,1.81,1.87,1.94,2.0
100102,1.79,1.82,1.84,1.88,1.92,1.96,2.02,2.07,2.12,2.17,2.21,2.26,2.32,2.34,2.38,2.42,2.48,2.52,2.57,2.61,2.67,2.73,2.79,2.87,2.93,2.99,3.06,3.11
100103,4.8,4.86,5.14,5.42,5.72,6.04,6.36,6.44,6.51,6.59,6.62,6.68,6.75,6.73,6.75,6.75,6.75,6.71,6.66,6.56,6.38,5.95,5.3,4.68,4.3,4.15,4.14,4.17
100104,0.34,0.35,0.36,0.37,0.38,0.4,0.42,0.45,0.47,0.49,0.5,0.52,0.55,0.54,0.56,0.57,0.59,0.6,0.62,0.64,0.67,0.69,0.72,0.75,0.78,0.8,0.83,0.85
100105,0.73,0.77,0.81,0.87,0.93,1.0,1.08,1.16,1.23,1.31,1.37,1.45,1.53,1.59,1.65,1.73,1.81,1.88,1.95,2.01,2.09,2.15,2.2,2.27,2.34,2.42,2.52,2.6
100106,1.87,1.88,2.39,2.91,3.44,3.97,4.5,4.54,4.57,4.61,4.64,4.69,4.73,4.75,4.78,4.81,4.82,4.64,4.44,4.23,4.03,3.84,3.65,3.51,3.44,3.41,3.43,3.46
100107,1.13,1.23,1.28,1.33,1.42,1.53,1.66,1.8,1.91,2.04,2.12,2.24,2.37,2.36,2.44,2.52,2.6,2.68,2.79,2.91,3.08,3.22,3.38,3.57,3.72,3.86,4.01,4.13
100108,1.92,1.99,2.03,2.08,2.15,2.24,2.34,2.45,2.54,2.65,2.72,2.82,2.93,2.96,3.04,3.12,3.22,3.3,3.41,3.52,3.67,3.81,3.96,4.14,4.29,4.44,4.6,4.73
100109,0.47,0.5,0.53,0.56,0.6,0.65,0.7,0.76,0.8,0.86,0.9,0.95,1.0,1.01,1.05,1.09,1.13,1.17,1.21,1.26,1.32,1.38,1.43,1.51,1.57,1.62,1.68,1.73
100110,1.0,1.1,1.15,1.21,1.29,1.41,1.53,1.67,1.77,1.9,1.97,2.09,2.22,2.22,2.3,2.38,2.47,2.55,2.65,2.75,2.9,3.01,3.12,3.26,3.38,3.5,3.63,3.75
100111,0.96,1.02,1.05,1.09,1.15,1.22,1.3,1.39,1.46,1.55,1.6,1.68,1.76,1.76,1.81,1.87,1.92,1.98,2.04,2.11,2.22,2.29,2.37,2.48,2.56,2.64,2.73,2.81
100112,1.59,1.65,1.69,1.74,1.81,1.9,1.99,2.09,2.17,2.27,2.34,2.43,2.53,2.55,2.62,2.69,2.77,2.84,2.92,3.0,3.12,3.22,3.33,3.46,3.57,3.67,3.78,3.88
100113,3.15,3.21,3.24,3.28,3.34,3.4,3.48,3.56,3.63,3.71,3.75,3.82,3.88,3.88,3.9,3.91,3.92,3.91,3.89,3.87,3.87,3.85,3.82,3.83,3.85,3.89,3.96,4.03
100114,1.09,1.16,1.2,1.27,1.35,1.45,1.55,1.67,1.76,1.87,1.95,2.06,2.17,2.2,2.28,2.37,2.46,2.54,2.63,2.72,2.85,2.97,3.08,3.23,3.36,3.47,3.6,3.7
100116,0.62,0.65,0.66,0.69,0.72,0.75,0.79,0.84,0.87,0.92,0.95,0.99,1.03,1.04,1.07,1.1,1.13,1.16,1.21,1.25,1.31,1.36,1.41,1.48,1.54,1.59,1.65,1.7
100117,3.39,3.43,3.45,3.5,3.55,3.61,3.67,3.74,3.79,3.86,3.91,3.98,4.04,4.08,4.13,4.19,4.25,4.31,4.37,4.42,4.47,4.5,4.51,4.54,4.58,4.62,4.7,4.76
