Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100030,3.0,4.0,5.0,6.0,7.0,10.0,12.0,15.0,17.0,20.0,23.0,25.0,28.0,30.0,33.0,35.0,37.0,39.0,40.0,42.0,43.0,44.0,44.0,45.0,45.0,46.0,46.0,46.0
100101,239.0,311.0,381.0,474.0,595.0,744.0,919.0,1114.0,1310.0,1509.0,1708.0,1907.0,2105.0,2287.0,2460.0,2623.0,2775.0,2916.0,3037.0,3117.0,3169.0,3215.0,3257.0,3291.0,3322.0,3351.0,3378.0,3402.0
100102,774.0,982.0,1208.0,1531.0,1979.0,2542.0,3204.0,3932.0,4654.0,5385.0,6115.0,6842.0,7540.0,8177.0,8778.0,9345.0,9870.0,10354.0,10765.0,11128.0,11445.0,11714.0,11916.0,12064.0,12176.0,12279.0,12363.0,12433.0
100103,713.0,921.0,1142.0,1456.0,1890.0,2434.0,3074.0,3779.0,4480.0,5191.0,5901.0,6609.0,7303.0,7940.0,8542.0,9110.0,9638.0,10122.0,10529.0,10891.0,11210.0,11480.0,11702.0,11858.0,11961.0,12056.0,12136.0,12207.0
100104,264.0,341.0,413.0,505.0,617.0,753.0,912.0,1089.0,1266.0,1446.0,1626.0,1807.0,1983.0,2145.0,2290.0,2402.0,2508.0,2606.0,2689.0,2764.0,2830.0,2882.0,2920.0,2948.0,2970.0,2991.0,3011.0,3028.0
100105,1053.0,1309.0,1570.0,1930.0,2412.0,3004.0,3698.0,4464.0,5224.0,5993.0,6762.0,7528.0,8240.0,8887.0,9496.0,10068.0,10598.0,11085.0,11494.0,11837.0,12129.0,12358.0,12505.0,12584.0,12661.0,12737.0,12810.0,12878.0
100106,251.0,326.0,401.0,499.0,624.0,779.0,961.0,1163.0,1364.0,1569.0,1774.0,1978.0,2181.0,2367.0,2540.0,2695.0,2838.0,2972.0,3086.0,3166.0,3226.0,3281.0,3331.0,3369.0,3403.0,3434.0,3460.0,3481.0
100107,730.0,939.0,1178.0,1537.0,2053.0,2713.0,3489.0,4343.0,5194.0,6055.0,6917.0,7775.0,8619.0,9395.0,10128.0,10818.0,11459.0,12052.0,12558.0,13008.0,13403.0,13751.0,14050.0,14289.0,14497.0,14680.0,14828.0,14942.0
100108,1039.0,1304.0,1588.0,2000.0,2570.0,3285.0,4125.0,5052.0,5974.0,6907.0,7841.0,8771.0,9659.0,10470.0,11233.0,11941.0,12598.0,13204.0,13718.0,14172.0,14568.0,14914.0,15213.0,15438.0,15608.0,15724.0,15826.0,15920.0
100109,427.0,540.0,662.0,839.0,1086.0,1396.0,1760.0,2161.0,2558.0,2960.0,3363.0,3764.0,4149.0,4501.0,4834.0,5147.0,5438.0,5706.0,5934.0,6135.0,6311.0,6465.0,6598.0,6693.0,6763.0,6817.0,6857.0,6893.0
