BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,323.95,1228.96,2210.84,3286.5,4448.6,5694.0,7013.31,8412.7,9756.8,11185.85,12598.24,14339.0,16030.54,17622.72,19110.26,20494.86,21770.45,22939.44,24089.35,25214.82,26307.91,27374.0,28408.68,29409.84,30375.24,31302.53,32189.24,33032.75
100003,759.34,2980.51,5404.14,8056.98,10916.52,13974.31,17207.45,20628.78,23912.49,27396.04,30830.36,35057.54,39155.52,43006.98,46595.34,49913.63,52951.57,55725.79,58443.42,61082.76,63626.54,66103.79,68494.22,70792.55,72993.26,75090.47,77078.02,78949.36
100004,1307.61,3952.43,6610.47,9475.49,12542.44,15811.68,19257.76,22902.17,26381.05,30076.65,33706.75,38191.85,42527.45,46582.91,50344.87,53799.88,56942.07,59791.48,62568.86,65252.92,67822.22,70314.9,72703.86,74982.71,77144.72,79182.77,81089.39,82856.62
100005,152.48,248.54,285.14,311.45,333.54,353.39,371.06,387.94,398.87,410.77,419.98,437.7,451.38,460.63,466.17,468.7,468.65,466.54,464.41,462.11,459.49,456.81,453.96,450.94,447.74,444.35,440.78,437.0
100006,577.57,2336.65,4267.83,6381.33,8658.11,11090.88,13660.37,16377.36,18978.09,21734.91,24448.74,27789.16,31023.51,34053.67,36873.34,39481.79,41871.66,44051.7,46183.65,48259.2,50269.26,52220.16,54104.63,55919.05,57659.6,59322.27,60902.78,62396.66
100007,1013.03,3021.28,5035.74,7215.1,9556.01,12063.42,14543.48,17176.81,19696.42,22391.54,25046.68,28346.49,31553.36,34574.18,37395.02,39992.26,42366.69,44542.06,46682.6,48764.99,50767.92,52749.14,54673.99,56538.41,58338.1,60068.54,61724.97,63302.32
100008,1543.42,6715.75,12470.26,18771.65,25549.74,32779.38,38986.37,45496.93,51599.02,58058.31,64336.93,72188.23,79685.25,86594.9,92921.07,98662.49,103819.36,108431.54,112893.51,117181.0,121274.03,125198.74,128928.24,132452.49,135760.91,138842.33,141684.96,144276.29
100009,36.33,58.91,67.25,73.1,77.88,82.11,85.91,89.51,91.7,94.1,95.87,99.57,102.33,104.05,104.94,105.14,104.77,103.95,103.11,102.24,101.32,100.37,99.39,98.37,97.31,96.22,95.08,93.9
100139,24.08,39.18,44.87,48.94,52.34,55.37,58.15,60.81,62.54,64.43,65.91,68.73,70.93,72.42,73.35,73.8,73.85,73.58,73.31,73.02,72.67,72.33,71.96,71.57,71.16,70.72,70.25,69.76
100501,646.04,2504.38,4527.6,6741.54,9128.84,11682.04,14381.85,17239.37,19978.81,22886.26,25752.16,29281.17,32700.96,35911.34,38902.8,41672.04,44208.48,46522.65,48787.41,50989.48,53115.06,55183.93,57181.13,59102.35,60943.09,62698.56,64363.76,65933.34
