BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,56.12,61.01,62.65,63.34,64.49,65.67,67.13,68.55,70.06,71.67,73.38,75.63,79.2,82.9,86.65,90.16,93.31,96.08,98.67,100.97,103.05,105.06,107.02,108.96,110.77,112.43,113.82,113.12
100003,64.74,70.64,72.81,74.29,76.55,78.62,80.55,82.43,84.49,86.44,88.39,91.43,97.3,102.84,108.16,113.05,117.35,120.98,124.24,127.0,129.39,131.63,133.76,135.77,137.55,139.12,140.3,139.32
100004,83.43,97.34,108.96,119.02,129.44,136.22,141.2,147.52,149.25,151.0,152.68,155.12,161.16,166.42,170.08,173.32,176.03,178.25,180.25,181.89,183.22,184.42,185.5,186.39,187.07,187.52,187.69,186.83
100005,101.26,106.17,108.2,109.81,113.46,115.46,119.77,121.44,123.3,125.58,127.11,129.45,134.72,139.89,145.09,149.53,153.61,157.29,160.79,163.8,166.55,169.32,172.21,175.21,178.16,180.97,183.5,182.75
100006,46.23,48.85,50.16,51.15,52.61,54.16,55.85,57.46,59.14,61.06,62.91,65.38,69.52,73.38,77.05,80.44,83.38,86.0,88.37,90.34,92.03,93.58,95.04,96.33,97.46,98.39,99.09,98.6
100007,97.81,127.24,139.13,145.92,153.23,160.67,167.38,171.74,176.16,180.57,184.92,189.94,196.08,201.99,207.7,212.99,217.83,222.23,226.41,230.35,233.96,237.44,240.81,244.11,246.32,247.71,248.78,248.53
100008,107.16,113.95,117.84,121.06,125.21,129.54,133.49,137.33,141.05,144.76,148.14,152.63,160.41,167.59,174.2,180.07,185.02,189.24,192.94,195.93,198.38,200.61,202.66,204.51,206.01,207.1,207.74,206.36
100009,36.57,37.15,37.43,45.17,53.02,53.34,54.84,55.28,55.96,56.88,57.88,59.23,64.48,71.41,75.31,78.31,80.22,81.96,83.62,85.05,86.37,87.63,88.91,89.92,90.9,91.84,92.66,92.37
100139,14.4,16.58,17.28,17.48,17.67,17.86,18.04,18.22,18.42,18.59,18.74,18.97,19.53,20.23,21.0,21.72,22.39,23.0,23.56,24.07,24.54,25.0,25.46,25.95,26.43,26.9,27.3,27.14
100501,71.93,88.64,111.14,130.98,135.33,138.37,141.47,145.03,154.36,174.84,198.89,231.95,265.99,284.14,301.43,306.12,309.89,313.11,316.2,318.81,321.02,322.99,324.74,325.81,326.69,327.38,327.88,327.66
100503,71.75,85.43,94.24,101.84,104.51,107.11,108.89,110.66,112.33,113.92,115.33,117.2,120.51,123.7,126.8,129.6,132.04,134.16,136.1,137.75,139.18,140.56,141.92,143.27,144.52,145.64,146.51,146.19
100504,116.24,143.57,160.19,173.72,182.23,190.8,202.05,212.93,223.94,229.71,234.74,240.59,247.28,253.81,260.33,265.87,270.47,274.39,278.04,281.23,284.01,286.74,289.35,291.9,294.24,296.37,298.12,298.46
100505,61.88,69.89,79.39,87.01,90.9,94.76,99.04,102.83,106.89,110.99,120.87,124.71,133.45,143.47,147.99,151.86,155.27,158.28,160.9,162.93,164.72,166.32,167.88,169.24,170.45,171.52,172.31,171.65
100506,62.99,65.93,67.84,69.36,71.22,73.47,75.71,77.98,80.38,82.54,84.7,87.47,92.3,96.82,101.04,104.84,108.11,110.89,113.36,115.42,117.14,118.71,120.13,121.39,122.45,123.27,123.83,123.1
100507,56.12,67.07,74.24,79.23,80.3,81.36,82.03,82.73,83.6,84.43,85.18,86.07,87.31,88.48,89.58,90.53,91.33,92.01,92.62,93.14,93.57,93.97,94.34,94.69,95.0,95.26,95.4,95.23
200111,100.87,107.04,109.75,111.53,114.5,118.23,121.07,123.8,126.7,129.7,133.18,138.35,148.43,157.57,166.29,174.33,181.34,187.56,193.2,198.04,202.11,205.98,209.73,213.34,216.61,219.46,221.75,220.01
200206,70.82,76.45,81.79,86.07,88.32,90.78,93.06,95.3,97.47,99.55,101.63,104.43,110.02,115.94,122.46,128.73,134.25,139.34,144.12,148.39,152.35,156.24,160.13,164.02,167.79,171.42,174.52,173.57
200208,29.84,32.64,33.59,34.24,35.08,35.95,36.76,37.58,38.52,39.55,41.07,42.65,45.64,48.12,50.41,52.49,54.28,55.81,57.16,58.31,59.27,60.14,60.91,61.57,62.11,62.53,62.82,62.58
200401,61.59,65.67,68.22,69.95,71.43,72.86,74.13,75.43,76.93,78.57,80.27,82.68,86.72,90.43,93.89,97.05,99.86,102.18,104.15,105.7,107.09,108.24,109.23,110.07,110.73,111.21,111.49,111.02
200413,55.54,62.11,65.02,69.9,75.15,77.56,79.62,81.77,84.28,86.98,89.75,93.36,99.29,104.86,109.67,114.1,118.05,121.5,124.6,127.23,129.49,131.6,133.56,135.38,137.02,138.49,139.75,139.22
200421,53.78,59.73,70.36,80.11,81.66,83.26,84.73,86.11,87.45,88.7,89.5,91.16,95.85,100.42,105.01,109.4,113.47,117.21,120.73,123.82,126.66,129.49,132.36,135.28,138.1,140.78,143.16,142.26
200430,53.17,58.36,60.73,62.03,63.62,65.29,66.58,67.52,73.09,74.19,80.24,81.89,85.58,89.16,92.68,96.0,98.99,101.8,104.44,106.66,108.63,110.54,112.44,114.18,115.83,117.39,118.78,118.03
205308,65.92,70.19,71.77,72.57,74.17,75.84,77.35,78.66,80.4,82.04,83.89,86.66,92.06,97.36,102.52,107.38,111.79,115.7,119.29,122.35,125.05,127.69,130.27,132.78,135.41,137.9,140.13,139.32
205309,14.51,16.61,16.99,17.15,17.35,17.56,17.77,17.98,18.24,18.48,18.72,19.1,19.91,20.71,21.48,22.26,22.94,23.55,24.1,24.58,25.02,25.43,25.85,26.27,26.68,27.12,27.54,27.37
205317,80.87,87.62,89.94,91.03,93.94,96.9,99.75,102.49,105.5,108.36,110.95,114.45,121.71,128.65,135.49,141.92,147.75,153.53,158.37,162.57,166.33,170.04,173.71,177.32,180.72,183.86,186.59,185.35
300009,34.59,37.78,39.26,40.35,41.8,43.28,44.66,46.01,47.53,49.01,50.5,52.62,56.3,59.67,62.85,65.7,68.24,70.45,72.42,74.1,75.56,76.93,78.21,79.42,80.5,81.45,82.21,81.66
300024,67.45,72.25,75.88,78.74,82.1,85.57,89.02,92.37,95.63,98.19,100.6,104.12,109.8,115.23,120.63,125.52,129.73,133.26,136.5,139.23,141.52,143.6,145.47,147.11,148.47,149.51,150.19,149.83
300289,69.28,76.72,80.31,83.44,86.89,93.03,98.52,102.2,107.44,110.7,119.29,122.41,128.05,134.22,140.52,146.37,151.49,156.03,160.18,163.79,166.94,169.93,172.79,175.61,178.12,180.37,182.28,181.58
