BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,17.04,17.52,18.14,18.85,19.67,20.59,21.46,22.51,23.21,23.89,24.54,25.31,26.42,27.23,27.96,28.64,29.23,29.75,30.2,30.6,30.93,31.23,31.48,31.69,31.87,32.02,32.15,32.16
100003,21.25,21.66,22.26,22.95,24.07,24.8,25.7,26.8,27.6,28.38,29.19,30.09,31.24,32.34,33.35,34.27,35.07,35.75,36.33,36.83,37.24,37.58,37.88,38.12,38.32,38.52,38.63,38.58
100004,31.71,32.19,32.94,33.62,34.25,34.83,35.49,37.9,38.51,39.12,39.72,40.4,43.0,45.08,45.73,46.29,46.72,47.03,47.33,47.56,47.72,47.85,47.92,47.9,47.83,47.73,47.59,47.38
100005,36.11,36.62,37.34,38.14,40.66,41.66,45.27,46.38,47.17,48.47,49.21,49.98,50.96,51.91,52.76,53.55,54.24,54.84,55.37,55.8,56.16,56.46,56.71,56.92,57.09,57.22,57.32,57.24
100006,13.97,14.4,14.91,15.52,16.24,17.09,18.08,19.12,19.79,20.47,21.16,21.91,22.84,23.72,24.53,25.27,25.91,26.46,26.94,27.35,27.69,27.98,28.22,28.42,28.59,28.72,28.81,28.79
100007,23.5,24.02,24.68,25.34,26.09,26.95,27.94,29.08,30.23,31.45,32.74,34.18,35.86,37.48,38.99,40.34,41.52,42.35,43.02,43.58,44.04,44.43,44.76,45.04,45.26,45.44,45.55,45.47
100008,25.19,26.27,27.52,29.06,30.66,31.91,33.3,34.93,36.18,37.4,38.6,39.77,41.17,42.49,43.7,44.78,45.71,46.52,47.22,47.83,48.33,48.76,49.13,49.44,49.68,49.86,49.97,49.9
100009,19.0,19.2,19.51,19.9,20.39,20.93,22.76,23.67,24.62,25.51,26.15,26.91,30.72,36.04,38.25,39.6,39.94,40.2,40.46,40.65,40.79,40.88,40.94,41.02,41.09,41.14,41.17,41.09
100139,1.23,1.34,1.44,1.56,1.69,1.83,1.97,2.13,2.26,2.39,2.51,2.66,2.91,3.12,3.3,3.46,3.61,3.75,3.87,3.98,4.07,4.16,4.24,4.32,4.39,4.46,4.52,4.53
100501,21.06,21.73,22.69,23.83,25.16,26.77,28.72,31.15,36.07,41.71,50.74,68.22,85.98,88.18,89.78,91.21,92.1,92.79,93.57,94.16,94.6,94.9,95.09,94.76,94.34,93.87,93.34,92.67
100503,22.1,22.51,23.15,23.81,24.49,25.26,26.09,26.73,27.32,27.88,28.43,29.01,29.66,30.29,30.85,31.35,31.77,32.14,32.45,32.72,32.92,33.11,33.27,33.39,33.49,33.57,33.62,33.61
100504,38.0,39.36,41.07,42.83,44.77,46.88,49.16,51.69,54.08,56.54,59.04,61.94,65.26,67.1,68.67,70.08,71.27,72.28,73.17,73.89,74.45,74.97,75.41,75.78,76.08,76.31,76.49,76.52
