BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,278912.54,300330.55,310816.15,318357.4,327777.17,337732.78,349699.88,362783.8,375277.77,387329.05,398693.2,411810.81,430735.2,448964.03,466014.61,481873.19,495956.43,508417.62,519716.1,529644.43,538451.32,546594.81,554271.97,561410.21,567982.13,573883.5,578824.27,577383.35
100003,344246.27,371796.47,385099.52,396243.86,411555.07,425291.61,439837.69,455869.39,471684.65,486631.05,501364.57,519622.06,547172.4,573427.77,597869.25,620240.04,639876.4,656507.22,671072.54,683404.53,693931.38,703443.22,712119.56,719883.24,726690.92,732760.94,737249.84,734905.8
100004,426943.66,493234.35,556998.82,606858.34,655821.58,688420.31,713854.71,752672.84,763788.78,774423.63,784644.79,797503.65,831913.22,860981.91,876720.23,890561.13,901917.34,911273.04,919745.31,926592.72,932019.89,936712.87,940653.75,943299.86,945055.44,945863.09,945627.78,941962.71
100005,479518.67,501037.16,514079.11,526452.19,553916.21,567660.23,603050.16,618742.09,633773.31,652467.05,665559.49,681002.14,705536.56,729513.49,752401.95,771858.33,789367.17,805040.83,819418.51,831734.04,842614.41,853010.15,863263.9,873275.35,882819.68,891697.97,899492.58,897409.76
100006,232223.33,244395.56,253316.56,261909.82,272403.74,283727.06,296820.8,311088.36,324750.3,338248.02,351194.77,366240.88,386889.73,406427.82,424418.15,440805.71,455087.11,467563.54,478538.43,487793.43,495682.73,502668.61,509024.58,514476.18,519180.88,523001.96,525840.54,524475.85
100007,345296.76,480606.1,532386.28,562933.23,595934.14,630020.64,662130.56,686773.52,712114.36,738146.21,764401.89,793626.71,827572.09,860339.68,891479.14,920223.22,946265.75,969760.12,989390.04,1006847.21,1022448.67,1037033.31,1050698.66,1063523.76,1071922.59,1077053.16,1080913.41,1080628.79
100008,451258.53,480464.77,499807.68,517879.0,539136.04,561890.11,584893.29,609321.61,631524.13,653197.99,673306.74,697524.92,733645.47,767359.51,798145.4,825649.26,849105.53,869324.47,886963.89,901565.84,913719.02,924477.48,934157.44,942558.29,949461.16,954598.1,957815.08,953710.48
100009,230571.19,236094.33,238931.56,271358.32,306081.38,311410.43,327314.31,334377.49,342155.79,350620.31,359793.49,370406.32,409506.64,463514.49,490598.38,509804.25,519616.0,528145.89,536141.45,542813.92,548544.7,553666.56,558456.76,562067.58,565382.22,568410.93,570955.06,569994.09
100139,53870.89,64322.6,68010.93,69765.89,71590.62,73431.01,75249.95,77248.65,79240.35,81082.17,82772.52,84831.34,88547.49,92183.35,95551.04,98707.81,101564.55,104143.46,106444.72,108453.59,110275.86,111956.74,113590.86,115175.43,116704.37,118163.31,119398.86,118952.2
100501,403970.48,485912.39,572211.26,691216.81,715857.73,740934.4,767367.75,798130.03,858307.51,928776.27,1029804.4,1206361.32,1387882.35,1432373.92,1470631.38,1497534.52,1518243.18,1535987.89,1553703.18,1568839.18,1581765.58,1593007.46,1602890.11,1607714.68,1611439.61,1614094.55,1615535.39,1613411.29
100503,341884.44,401746.69,441641.25,492360.2,526990.77,539846.79,550528.07,561914.73,572689.46,582663.69,591603.36,602095.11,617350.18,631907.08,645525.22,657728.25,668322.7,677537.55,685788.23,692757.93,698665.3,704200.76,709394.98,714269.83,718644.91,722452.14,725368.56,724476.09
100504,651885.09,775719.93,848244.69,918866.22,958285.78,998569.64,1051514.22,1104399.84,1157688.21,1188937.4,1217102.92,1248040.4,1281459.91,1313471.48,1343640.32,1369135.44,1390118.29,1408033.66,1424179.67,1438023.04,1449679.91,1460759.99,1470865.21,1480191.57,1488505.38,1495770.8,1501603.88,1502728.45
100505,354127.2,390569.01,432568.22,469097.15,488859.04,509254.08,532570.93,555611.94,580228.86,605915.44,682175.04,706474.7,767672.46,840094.1,866538.35,888156.4,906551.75,922580.55,936696.45,947626.13,956827.97,964570.68,971373.39,975924.86,979732.17,982815.56,984873.98,982482.98
100506,283172.97,295600.06,305692.82,315152.22,325675.06,338208.73,352131.79,366483.81,380453.03,393165.51,405786.15,419892.77,440493.84,459955.12,477905.8,494115.79,508065.14,520017.13,530492.62,539259.15,546565.14,553028.99,558712.13,563609.27,567677.9,570796.11,572904.42,570735.9
100507,256662.02,301802.15,328708.48,352113.06,357314.74,362549.7,366229.51,370180.14,374649.37,378941.91,382864.11,387162.25,392899.81,398360.69,403426.1,407782.22,411443.65,414575.9,417399.77,419790.88,421719.22,423581.51,425253.18,426798.32,428121.66,429221.95,429886.45,429354.78
200111,499419.37,529708.85,548224.38,564370.11,585128.66,612416.82,635692.23,661452.08,686295.09,711153.04,740089.97,770477.17,820844.08,865074.71,906649.19,944916.84,978185.68,1007636.4,1033863.93,1056343.39,1074665.73,1091342.96,1106759.96,1120869.7,1133416.64,1144240.02,1152923.38,1148868.61
200206,358399.74,387459.41,411747.35,436488.85,453183.75,471168.36,489013.56,508577.32,527428.59,546161.89,564961.11,586274.42,619934.93,653007.11,684397.79,714005.75,739553.11,762616.03,783522.88,801872.97,818295.2,833716.75,848424.07,862387.73,875607.85,888027.0,898441.7,896486.0
200208,135137.29,146594.69,152331.0,157565.26,163682.92,170241.52,177222.47,185082.92,192710.65,200211.51,210190.08,218887.08,233942.06,245467.68,255993.22,265547.49,273797.63,280880.99,287055.63,292296.43,296707.37,300591.86,303963.5,306829.15,309207.76,311073.08,312421.7,311912.51
200401,319194.3,336695.8,350490.62,362598.39,372464.84,382463.06,393177.77,405648.5,419170.93,433261.91,447779.1,464899.24,487210.11,508263.46,527401.45,544411.56,558916.53,571032.86,581071.11,588970.04,595192.93,599918.91,603697.01,606535.74,608529.24,609682.68,609887.9,607389.48
