BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,0.07,0.66,1.26,1.92,2.6,3.3,4.0,4.72,5.49,6.24,7.05,7.8,8.65,9.49,10.42,11.39,12.39,13.43,14.48,15.52,16.57,17.6,18.6,19.59,20.54,21.48,22.4,23.09
100003,0.33,0.45,0.64,0.92,1.26,1.59,1.93,2.29,2.66,3.03,3.39,3.75,4.13,4.45,4.78,5.12,5.45,5.79,6.13,6.46,6.83,7.13,7.43,7.71,7.91,8.11,8.39,9.11
100004,0.16,0.97,5.1,9.32,13.58,24.73,33.54,40.19,46.87,53.54,54.47,55.34,56.31,57.26,58.3,59.39,60.5,61.66,62.81,63.97,65.13,66.26,67.37,68.46,69.49,70.52,71.51,72.25
100005,13.21,11.04,9.17,7.41,5.7,11.72,17.96,23.99,30.07,36.13,37.28,38.35,39.55,40.71,42.0,43.34,44.71,46.13,47.55,48.97,50.41,51.79,53.15,54.49,55.76,57.02,58.23,59.14
100006,0.11,0.58,1.07,1.62,2.2,2.78,3.37,3.98,4.62,5.25,5.91,6.53,7.23,7.9,8.65,9.43,10.23,11.06,11.89,12.73,13.56,14.38,15.17,15.95,16.7,17.44,18.14,18.68
100007,0.16,0.21,4.39,8.62,12.87,17.12,21.38,21.57,21.77,21.99,22.21,22.43,22.67,22.89,23.13,23.37,23.6,23.85,24.1,24.36,24.63,24.87,25.09,25.3,25.47,25.63,25.92,26.67
100008,11.09,9.03,7.56,6.24,4.99,11.28,17.79,23.85,29.97,36.06,37.37,38.6,39.97,41.28,42.72,44.2,45.72,47.29,48.87,50.44,52.04,53.57,55.06,56.52,57.88,59.22,60.48,61.44
100009,0.05,0.37,0.7,1.07,1.45,1.84,2.22,2.62,3.04,3.44,3.88,4.28,4.73,5.17,5.65,6.16,6.69,7.23,7.78,8.32,8.87,9.4,9.92,10.44,10.93,11.43,11.9,12.26
100139,1.99,1.61,1.23,0.87,0.52,1.55,2.61,3.68,4.76,5.84,6.04,6.23,6.43,6.64,6.86,7.09,7.33,7.58,7.82,8.07,8.32,8.56,8.79,9.03,9.25,9.47,9.68,9.84
100501,0.11,0.93,1.77,2.69,3.65,4.63,5.6,6.61,7.67,8.7,9.81,10.83,11.98,13.11,14.37,15.69,17.04,18.44,19.85,21.26,22.68,24.05,25.41,26.74,28.03,29.31,30.55,31.48
100503,0.13,0.17,0.25,0.36,0.49,0.63,0.77,0.93,1.1,1.28,1.47,1.66,1.87,2.06,2.26,2.47,2.68,2.89,3.11,3.51,4.59,5.65,6.68,7.69,8.66,9.61,10.53,11.23
100504,0.2,0.26,0.38,0.55,0.74,0.95,1.16,1.41,1.67,1.95,2.24,2.53,2.86,3.15,3.51,4.99,6.53,8.11,9.69,11.29,12.89,14.44,15.96,17.46,18.89,20.29,21.64,22.67
100505,7.22,5.77,4.34,2.96,1.59,5.26,9.08,12.93,16.81,20.67,21.35,21.98,22.7,23.41,24.19,25.01,25.87,26.75,27.63,28.52,29.4,30.27,31.12,31.96,32.78,33.58,34.36,34.95
100506,0.16,0.22,0.32,0.46,0.62,0.79,0.96,1.16,1.36,1.57,1.78,2.0,2.23,2.43,2.68,3.58,4.51,5.47,6.43,7.39,8.37,9.3,10.22,11.12,11.97,12.8,13.6,14.21
100507,9.11,7.28,25.46,23.69,21.95,26.58,31.39,36.22,41.09,45.95,46.77,47.53,48.38,49.23,50.18,51.17,52.19,53.25,54.31,55.37,56.44,57.48,58.5,59.52,60.51,61.48,62.44,63.16
200111,0.26,0.35,1.71,3.13,4.6,6.07,7.55,7.88,8.23,8.61,8.99,9.38,9.81,10.21,10.65,11.94,13.25,14.61,15.98,17.35,18.74,20.07,21.37,22.63,23.82,24.98,26.07,26.91
200206,20.14,20.19,22.38,24.6,26.84,29.09,31.35,31.53,31.72,31.92,32.13,32.35,32.58,32.8,33.05,33.8,34.57,35.36,36.17,36.97,37.78,38.56,39.32,40.07,40.76,41.45,42.1,42.59
200208,0.07,0.09,2.33,4.59,6.86,9.12,11.4,11.48,11.56,11.65,11.74,11.83,11.93,12.02,12.12,12.54,12.98,13.43,13.88,14.33,14.78,15.22,15.65,16.07,16.47,16.86,17.24,17.53
200401,50.1,50.45,50.84,51.3,54.79,58.29,61.79,65.31,68.85,69.4,72.1,74.76,77.49,80.17,82.92,83.55,84.19,84.85,85.51,86.18,86.85,87.49,88.12,88.72,89.28,89.83,90.33,90.72
