BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,7.09,7.55,8.37,9.23,9.92,10.53,11.19,11.93,12.69,13.51,14.32,15.23,16.18,16.98,17.84,18.74,19.76,20.94,22.22,23.46,24.75,25.94,27.0,28.08,29.12,30.2,31.28,32.0
100003,4.8,9.72,15.23,20.76,26.31,31.79,33.31,34.58,35.76,36.89,37.83,38.91,40.0,40.46,41.18,41.8,42.35,42.7,42.87,42.39,40.42,31.56,31.04,32.13,33.01,33.91,34.66,35.15
100004,3.94,4.49,8.9,13.32,17.66,21.95,26.27,27.06,27.82,28.5,29.14,29.83,30.45,30.64,30.76,30.63,30.27,29.68,28.99,28.2,27.52,26.64,25.64,24.93,24.69,24.95,25.44,25.63
100005,11.74,12.58,14.43,16.32,18.31,20.19,22.07,23.45,24.83,26.17,27.48,28.76,30.25,31.25,32.56,33.87,35.23,36.45,37.72,38.8,39.7,39.4,39.66,40.14,40.77,41.71,42.73,43.36
100006,8.51,8.94,9.88,10.84,11.67,12.45,13.27,13.88,14.48,15.13,15.71,16.38,17.07,17.55,18.1,18.64,19.2,19.69,20.22,20.66,20.98,20.65,20.63,20.74,20.97,21.38,21.85,22.14
100007,9.76,10.38,12.87,15.41,18.05,20.61,23.23,24.42,25.59,26.76,27.88,29.1,30.3,31.13,31.98,32.69,33.29,33.72,34.13,34.46,34.83,34.73,35.1,35.72,36.47,37.41,38.41,39.0
100008,13.13,14.35,16.65,19.02,21.64,24.12,26.68,28.83,30.89,33.11,35.1,37.33,39.61,41.23,43.15,45.07,47.42,50.82,54.42,57.95,61.56,64.63,67.3,70.04,72.86,76.03,79.24,81.51
100009,41.8,41.97,42.24,42.5,42.74,42.96,43.2,43.46,43.71,43.57,43.55,43.4,43.01,42.12,40.72,38.56,35.54,31.66,27.29,22.91,19.06,15.91,13.77,12.42,11.59,11.15,10.93,10.39
100139,12.21,12.35,12.56,12.77,13.0,13.21,13.44,13.68,13.92,14.18,14.42,14.69,14.96,15.18,15.42,15.66,15.91,16.13,16.3,16.27,15.83,14.54,12.39,10.24,8.92,8.4,8.32,8.27
100501,34.03,34.49,38.46,42.44,46.29,50.08,53.91,54.61,55.31,55.89,56.49,57.11,57.66,57.83,57.85,57.56,56.94,55.88,54.58,52.94,50.86,47.45,43.6,40.19,38.16,37.5,37.54,37.4
100503,6.8,7.35,8.22,9.13,9.92,10.62,11.37,12.2,13.0,13.89,14.71,15.65,16.62,17.34,18.17,19.03,19.98,21.03,22.2,23.33,24.54,25.6,26.54,27.51,28.41,29.37,30.29,30.91
100504,8.2,9.04,10.76,12.54,14.03,15.41,16.87,18.07,19.26,20.54,21.73,23.08,24.48,25.47,26.59,27.7,28.85,29.88,31.03,32.07,33.07,33.37,33.81,34.4,35.09,36.07,37.09,37.71
100505,28.7,28.99,30.12,31.26,32.38,33.46,34.57,35.14,35.72,36.11,36.57,37.0,37.32,37.31,37.02,36.33,35.17,33.49,31.53,29.41,27.27,24.79,22.45,20.59,19.57,19.32,19.48,19.37
100506,3.56,7.2,13.96,20.76,27.38,33.92,37.5,38.34,39.16,39.73,40.33,40.92,41.36,41.19,40.74,39.72,38.09,35.78,33.19,30.6,28.53,27.01,26.13,25.84,25.83,26.12,26.51,26.44
100507,3.15,3.41,3.86,4.34,4.72,5.06,5.42,5.83,6.24,6.7,7.14,7.63,8.15,8.56,9.01,9.48,9.98,10.45,10.97,11.43,11.83,11.99,11.91,11.85,11.93,12.21,12.57,12.8
200111,11.64,13.05,15.41,17.85,19.81,21.55,23.43,25.51,27.62,29.89,32.1,34.57,37.18,39.28,41.59,43.98,46.5,48.84,51.47,53.98,56.6,58.51,60.79,63.24,65.49,67.79,70.0,71.38
200206,58.8,59.49,60.65,61.83,63.58,65.24,66.98,68.84,70.7,72.22,73.87,75.48,76.9,77.65,77.94,77.48,76.06,73.34,70.22,67.08,64.62,62.95,62.15,62.18,62.66,63.55,64.64,64.95
200208,2.05,2.34,2.77,3.23,3.61,3.94,4.29,4.68,5.06,5.47,5.85,6.29,6.74,7.08,7.47,7.88,8.32,8.74,9.23,9.7,10.23,10.71,11.17,11.64,12.04,12.44,12.8,13.03
200401,67.29,68.62,71.82,75.06,80.8,86.37,92.11,97.18,102.38,107.17,112.24,117.3,122.3,126.45,130.13,132.98,134.14,131.72,128.81,125.58,122.65,118.6,117.18,117.16,118.0,119.68,121.78,122.63
200413,20.42,24.91,30.14,35.35,40.55,45.69,46.89,47.76,48.62,49.33,50.04,50.79,51.52,51.92,52.26,52.41,52.33,51.82,50.95,49.28,45.86,34.93,33.27,33.53,33.93,34.55,35.25,35.63
200421,11.31,12.0,14.44,16.92,19.3,21.59,23.94,24.95,25.95,26.94,27.88,28.91,29.95,30.59,31.3,31.9,32.42,32.76,33.13,33.48,33.99,34.32,35.01,35.91,36.73,37.59,38.41,38.86
200430,21.4,22.05,24.38,26.73,30.3,33.81,37.37,39.61,41.84,44.01,46.15,48.35,50.58,52.39,54.28,56.02,57.29,57.27,57.11,56.64,55.63,52.18,50.89,50.25,50.07,50.44,51.04,51.37
205308,49.73,54.63,64.04,73.46,83.55,93.58,99.45,101.25,103.03,104.15,105.48,106.6,107.43,107.27,106.45,104.46,101.14,96.42,90.92,85.19,79.91,73.77,71.43,70.77,70.85,71.57,72.6,72.72
205309,6.06,6.29,7.86,9.43,11.21,12.96,14.72,15.31,15.91,16.46,17.03,17.6,18.21,18.71,19.27,19.83,20.43,21.11,21.73,22.15,22.11,20.02,20.44,21.34,22.18,23.01,23.81,24.37
205317,15.72,16.79,19.77,22.79,26.05,29.21,32.44,34.38,36.26,38.26,40.11,42.15,44.27,45.83,47.69,49.57,51.48,53.11,54.92,56.65,58.43,59.48,60.81,62.26,63.59,65.05,66.43,67.34
300009,24.62,25.05,25.73,26.42,27.01,27.54,28.1,28.72,29.33,29.77,30.26,30.74,31.12,31.13,30.94,30.37,29.4,28.03,26.48,24.92,23.71,22.88,22.47,22.47,22.68,23.08,23.57,23.67
300024,6.74,7.71,11.05,14.42,17.4,20.21,23.13,24.56,26.02,27.53,29.05,30.72,32.44,33.79,35.15,36.43,37.66,38.62,39.72,40.76,42.08,43.45,44.87,46.5,48.04,49.66,51.24,52.15
300289,20.42,21.85,24.44,27.09,29.31,31.31,33.45,35.5,37.55,39.77,41.88,44.26,46.74,48.68,50.86,53.09,55.45,57.72,60.24,62.59,64.93,66.37,67.66,69.1,70.66,72.59,74.6,75.87
301101,35.26,36.29,40.8,45.35,49.66,53.84,58.09,59.53,60.92,62.06,63.21,64.38,65.41,65.61,65.56,64.85,63.48,61.35,58.96,56.54,54.78,53.56,53.01,53.18,53.65,54.48,55.44,55.68
301290,10.22,10.99,12.25,13.51,14.61,15.6,16.67,17.85,19.04,20.33,21.56,22.94,24.38,25.53,26.83,28.17,29.61,30.99,32.55,34.1,35.79,37.36,38.85,40.37,41.7,43.01,44.23,45.01
301672,4.39,4.57,4.85,5.13,5.71,6.28,6.84,7.39,7.94,8.45,8.98,9.43,10.0,10.4,10.94,11.49,12.1,12.76,13.43,14.09,14.79,15.43,16.05,16.67,17.23,17.79,18.31,18.68
