BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,327.0,534.0,846.0,1224.0,1757.0,2291.0,2747.0,3107.0,3372.0,3598.0,3812.0,4425.0,6320.0,8204.0,10050.0,11810.0,13408.0,14858.0,16237.0,17478.0,18637.0,19827.0,21052.0,22315.0,23572.0,24801.0,25953.0,25720.0
100003,353.0,592.0,953.0,1401.0,2065.0,2722.0,3261.0,3641.0,3898.0,4102.0,4285.0,4965.0,7224.0,9410.0,11508.0,13452.0,15175.0,16694.0,18076.0,19222.0,20220.0,21212.0,22206.0,23191.0,24111.0,24944.0,25649.0,24899.0
100004,489.0,696.0,1043.0,1448.0,2003.0,2541.0,2972.0,3260.0,3440.0,3574.0,3680.0,4059.0,5332.0,6532.0,7636.0,8600.0,9381.0,9994.0,10492.0,10820.0,11036.0,11226.0,11399.0,11541.0,11616.0,11608.0,11497.0,10749.0
100005,473.0,767.0,1226.0,1805.0,2663.0,3547.0,4329.0,4944.0,5410.0,5815.0,6203.0,7142.0,9916.0,12737.0,15581.0,18360.0,20955.0,23373.0,25732.0,27864.0,29898.0,32048.0,34355.0,36825.0,39367.0,41939.0,44450.0,44667.0
100006,423.0,633.0,904.0,1248.0,1774.0,2295.0,2719.0,2985.0,3102.0,3160.0,3199.0,3592.0,5140.0,6601.0,7978.0,9224.0,10288.0,11222.0,12038.0,12665.0,13179.0,13675.0,14180.0,14699.0,15173.0,15578.0,15862.0,15204.0
100007,733.0,899.0,1218.0,1589.0,2099.0,2597.0,3010.0,3297.0,3488.0,3640.0,3765.0,4119.0,5238.0,6316.0,7332.0,8243.0,9010.0,9635.0,10173.0,10560.0,10859.0,11158.0,11469.0,11782.0,12061.0,12291.0,12447.0,11959.0
100008,984.0,1489.0,2135.0,2917.0,4035.0,5110.0,5988.0,6482.0,6656.0,6711.0,6723.0,7381.0,10198.0,12832.0,15275.0,17419.0,19167.0,20665.0,21909.0,22782.0,23430.0,24042.0,24689.0,25354.0,25912.0,26316.0,26475.0,25034.0
100009,88.0,134.0,200.0,302.0,495.0,694.0,859.0,965.0,1028.0,1077.0,1123.0,1345.0,2138.0,2927.0,3724.0,4509.0,5265.0,5997.0,6704.0,7330.0,7928.0,8560.0,9245.0,9975.0,10721.0,11472.0,12209.0,12226.0
100139,63.0,103.0,165.0,241.0,348.0,458.0,558.0,639.0,702.0,757.0,809.0,950.0,1380.0,1816.0,2255.0,2685.0,3089.0,3470.0,3843.0,4192.0,4530.0,4880.0,5248.0,5636.0,6035.0,6439.0,6833.0,6864.0
100501,298.0,491.0,778.0,1116.0,1576.0,2027.0,2397.0,2653.0,2810.0,2924.0,3017.0,3381.0,4613.0,5774.0,6851.0,7804.0,8589.0,9222.0,9752.0,10135.0,10416.0,10663.0,10885.0,11079.0,11209.0,11264.0,11219.0,10541.0
100503,735.0,878.0,1145.0,1459.0,1888.0,2313.0,2674.0,2934.0,3108.0,3245.0,3363.0,3688.0,4714.0,5722.0,6690.0,7582.0,8359.0,9030.0,9639.0,10128.0,10551.0,10986.0,11453.0,11949.0,12442.0,12913.0,13328.0,13064.0
100504,1491.0,1781.0,2389.0,3052.0,3854.0,4633.0,5315.0,5855.0,6272.0,6625.0,6935.0,7487.0,8869.0,10251.0,11546.0,12707.0,13652.0,14354.0,14968.0,15426.0,15780.0,16140.0,16512.0,16894.0,17256.0,17572.0,17802.0,17294.0
100505,240.0,375.0,577.0,823.0,1166.0,1514.0,1816.0,2045.0,2203.0,2332.0,2452.0,2819.0,3984.0,5131.0,6245.0,7295.0,8236.0,9080.0,9871.0,10568.0,11206.0,11847.0,12508.0,13190.0,13863.0,14510.0,15100.0,14877.0
100506,452.0,697.0,1029.0,1418.0,1957.0,2481.0,2908.0,3194.0,3344.0,3437.0,3508.0,3942.0,5550.0,7077.0,8506.0,9789.0,10869.0,11794.0,12600.0,13231.0,13744.0,14231.0,14707.0,15173.0,15583.0,15914.0,16121.0,15392.0
