BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,63.0,104.0,123.0,145.0,180.0,215.0,242.0,269.0,295.0,319.0,343.0,403.0,554.0,700.0,851.0,994.0,1131.0,1252.0,1361.0,1464.0,1570.0,1660.0,1751.0,1849.0,1947.0,2044.0,2109.0,2082.0
100003,55.0,89.0,105.0,122.0,150.0,178.0,198.0,218.0,236.0,253.0,269.0,312.0,424.0,529.0,635.0,732.0,821.0,896.0,960.0,1017.0,1074.0,1117.0,1159.0,1203.0,1244.0,1281.0,1296.0,1254.0
100004,53.0,87.0,102.0,118.0,144.0,170.0,188.0,205.0,221.0,235.0,247.0,284.0,382.0,472.0,559.0,635.0,702.0,755.0,794.0,826.0,855.0,870.0,882.0,892.0,897.0,896.0,876.0,816.0
100005,65.0,109.0,131.0,157.0,197.0,238.0,272.0,305.0,338.0,372.0,404.0,480.0,669.0,856.0,1053.0,1244.0,1433.0,1607.0,1767.0,1925.0,2091.0,2240.0,2393.0,2561.0,2733.0,2908.0,3041.0,3044.0
100006,43.0,71.0,83.0,97.0,119.0,141.0,157.0,172.0,186.0,199.0,211.0,243.0,330.0,411.0,491.0,563.0,629.0,684.0,729.0,768.0,806.0,833.0,858.0,884.0,906.0,925.0,927.0,887.0
100007,73.0,120.0,141.0,164.0,201.0,237.0,265.0,290.0,314.0,337.0,357.0,413.0,560.0,698.0,834.0,957.0,1069.0,1161.0,1236.0,1302.0,1366.0,1412.0,1453.0,1497.0,1534.0,1566.0,1569.0,1501.0
100008,107.0,175.0,203.0,235.0,286.0,334.0,372.0,407.0,438.0,468.0,495.0,569.0,769.0,953.0,1134.0,1294.0,1437.0,1553.0,1643.0,1719.0,1790.0,1835.0,1874.0,1912.0,1941.0,1959.0,1939.0,1831.0
100009,17.0,29.0,34.0,41.0,52.0,63.0,72.0,81.0,89.0,98.0,107.0,127.0,178.0,228.0,281.0,332.0,383.0,430.0,474.0,517.0,562.0,602.0,644.0,691.0,738.0,786.0,823.0,825.0
100139,9.0,15.0,18.0,21.0,26.0,32.0,36.0,40.0,45.0,49.0,53.0,63.0,88.0,112.0,138.0,163.0,187.0,210.0,231.0,251.0,273.0,292.0,311.0,333.0,355.0,378.0,395.0,395.0
100501,54.0,89.0,104.0,121.0,148.0,175.0,194.0,212.0,228.0,243.0,257.0,295.0,398.0,492.0,585.0,667.0,739.0,797.0,842.0,879.0,913.0,934.0,950.0,966.0,976.0,980.0,964.0,905.0
100503,68.0,112.0,131.0,155.0,191.0,227.0,255.0,282.0,307.0,332.0,355.0,413.0,566.0,711.0,858.0,994.0,1122.0,1232.0,1328.0,1416.0,1504.0,1576.0,1646.0,1721.0,1794.0,1863.0,1901.0,1855.0
100504,100.0,164.0,193.0,227.0,280.0,332.0,372.0,409.0,445.0,478.0,510.0,592.0,806.0,1008.0,1211.0,1397.0,1568.0,1713.0,1834.0,1943.0,2050.0,2132.0,2209.0,2291.0,2366.0,2434.0,2458.0,2373.0
100505,42.0,69.0,81.0,96.0,118.0,141.0,158.0,175.0,191.0,206.0,221.0,258.0,354.0,446.0,540.0,628.0,711.0,784.0,849.0,909.0,970.0,1021.0,1072.0,1126.0,1180.0,1232.0,1264.0,1241.0
100506,55.0,90.0,106.0,124.0,152.0,180.0,201.0,220.0,238.0,255.0,270.0,312.0,423.0,526.0,629.0,721.0,805.0,874.0,929.0,978.0,1024.0,1057.0,1086.0,1116.0,1142.0,1162.0,1161.0,1107.0
100507,42.0,70.0,83.0,97.0,120.0,142.0,160.0,176.0,192.0,207.0,222.0,258.0,353.0,443.0,535.0,619.0,698.0,766.0,825.0,879.0,933.0,976.0,1019.0,1064.0,1108.0,1149.0,1171.0,1142.0
200111,119.0,196.0,230.0,270.0,332.0,394.0,441.0,485.0,527.0,567.0,605.0,704.0,961.0,1205.0,1452.0,1682.0,1897.0,2083.0,2244.0,2393.0,2544.0,2665.0,2784.0,2912.0,3036.0,3155.0,3221.0,3147.0
200206,68.0,113.0,135.0,162.0,202.0,245.0,279.0,312.0,346.0,379.0,412.0,488.0,680.0,870.0,1070.0,1264.0,1455.0,1632.0,1795.0,1955.0,2123.0,2274.0,2429.0,2600.0,2774.0,2952.0,3087.0,3091.0
200208,21.0,35.0,40.0,47.0,57.0,67.0,74.0,80.0,86.0,91.0,95.0,109.0,146.0,180.0,212.0,241.0,265.0,284.0,298.0,309.0,319.0,323.0,325.0,327.0,327.0,324.0,314.0,290.0
200401,46.0,75.0,87.0,101.0,123.0,144.0,160.0,174.0,186.0,197.0,207.0,237.0,318.0,391.0,462.0,524.0,578.0,620.0,652.0,677.0,700.0,712.0,721.0,729.0,733.0,732.0,716.0,667.0
200413,40.0,66.0,78.0,91.0,113.0,135.0,151.0,167.0,183.0,198.0,212.0,248.0,340.0,429.0,521.0,607.0,689.0,761.0,825.0,886.0,949.0,1001.0,1054.0,1111.0,1168.0,1224.0,1260.0,1242.0
