Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,70964.91,74724.12,80789.57,88540.65,101910.71,115775.45,128971.93,142166.77,154327.17,165936.59,177185.43,189642.03,207536.66,225016.41,241710.14,257773.61,273305.6,288078.65,302066.88,314931.31,327284.39,339346.68,351305.38,363280.54,375120.28,386749.61,397699.16,401702.48
BARROWINFURNESS,10438.54,12205.33,15506.85,19366.87,24292.2,29340.71,34145.69,38661.67,42949.24,46974.84,50786.73,55539.75,63831.99,71861.15,79264.67,86244.64,92854.69,99071.43,104769.62,109847.42,114529.14,119047.94,123477.73,127805.46,132009.84,136062.74,139738.51,139531.11
BLACKBURN WITH DARWEN,10523.52,14792.12,21032.87,28385.48,36810.51,45389.0,53744.88,63231.84,72215.58,80828.55,88952.2,99089.57,115091.43,130273.6,144029.41,156752.83,168331.66,178866.93,188348.44,196636.68,204140.6,211152.76,217895.16,224329.5,230388.48,236012.58,240923.73,240132.54
BLACKPOOL,8707.42,12466.06,17705.3,24026.78,31385.37,38908.3,46204.23,54371.67,62063.24,69273.08,76074.26,84673.51,99837.96,114533.29,128018.76,140667.4,152462.24,163359.0,173212.06,182049.39,190317.34,198069.53,205707.69,213295.41,220692.34,227945.83,234439.52,233940.91
BOLTON,21532.63,30111.62,42966.89,58252.26,75886.71,94030.21,111949.14,132024.69,151042.11,169484.84,187009.03,208632.48,240185.81,270100.83,296772.51,321116.53,343021.84,362532.42,379893.36,394727.02,407972.34,420405.97,432316.64,443459.05,453779.4,463377.38,471815.59,471364.43
BURNLEY,22258.2,24546.4,27934.71,32058.52,37119.85,42351.06,47348.56,52899.4,58190.16,63172.36,67903.42,73901.97,84518.79,94816.25,104362.59,113387.51,121883.21,129742.46,136951.33,143375.74,149372.22,155158.36,160778.16,166231.67,171470.6,176519.47,181024.81,180533.29
BURY,13289.14,18801.26,27059.53,36774.87,47714.87,58845.17,69842.55,82439.54,94370.98,105765.62,116580.3,129761.1,149834.04,169079.4,186143.88,201595.12,215823.31,228747.46,240368.51,250583.61,259958.86,268795.85,277277.96,285462.96,293209.36,300620.07,307267.85,307103.61
CARLISLE,40563.57,44236.85,49729.69,56318.13,65543.18,75102.95,84264.56,94174.51,103633.5,112409.17,120885.83,130358.12,145309.83,159709.36,173201.3,185970.46,198084.75,209346.05,219687.73,228863.53,237385.21,245443.6,253408.45,261379.68,269208.45,276862.36,283876.73,284872.68
CHESHIRE EAST,13203.91,18044.65,25653.08,34611.14,44864.11,55269.45,65475.25,77279.59,88532.93,98874.03,108778.24,119659.4,136339.06,152376.39,166891.44,180461.92,193079.78,204585.16,214882.3,223901.95,232190.22,239930.14,247231.62,254136.77,260778.21,267272.5,273328.65,273385.4
CHORLEY,10052.66,13524.45,19012.24,25599.65,33342.96,41341.9,49240.94,58201.11,66785.28,74911.79,82603.82,91400.11,104422.38,117017.57,128415.62,139020.58,148834.27,157692.46,165702.8,172756.51,179258.31,185477.73,191505.15,197306.77,202699.96,207843.05,212568.82,212875.32
COPELAND,16416.64,18518.67,21871.77,25889.01,32406.61,39169.38,45574.26,52198.4,58554.02,64523.54,70242.05,76689.68,86530.16,96053.9,104963.91,113434.43,121538.47,129224.77,136348.73,142760.8,148794.98,154667.77,160479.45,166232.08,171875.52,177366.32,182464.68,183620.61
CRAVEN,1637.53,2383.64,3488.64,4804.35,6527.2,8309.13,9997.27,11886.64,13706.13,15390.73,17010.59,18816.49,21655.02,24392.26,26921.35,29294.28,31527.94,33590.21,35455.81,37074.93,38569.02,40003.05,41405.58,42777.47,44088.69,45348.74,46461.3,46543.13
DERBYSHIRE DALES,4.17,5.4,7.36,9.69,12.24,14.87,17.56,20.84,24.02,27.01,29.85,32.82,36.69,40.42,43.62,46.57,49.3,51.79,53.97,55.88,57.6,59.16,60.62,61.94,63.06,64.17,65.18,65.37
EDEN,8934.42,11493.43,15583.98,20248.52,26265.69,32434.85,38294.09,44211.17,49832.93,54893.76,59912.18,65322.36,74228.69,82710.16,90843.69,98563.24,105948.45,112739.91,118964.51,124307.72,129303.0,134030.25,138722.49,143526.23,148264.55,152931.68,157173.79,157790.9
FYLDE,12816.72,15380.89,19452.63,24294.5,29887.2,35624.3,41261.24,47472.95,53334.43,58809.78,63979.67,69879.08,78974.85,87795.25,95798.44,103247.71,110098.86,116322.77,121921.95,126879.51,131470.84,135847.22,140124.08,144345.25,148368.18,152277.46,155789.98,155871.41
HIGH PEAK,6814.45,9762.77,14251.46,19710.99,26285.18,33098.98,39770.39,47391.41,54687.57,61535.36,68082.82,75642.96,87172.16,98198.2,108147.91,117348.14,125831.89,133523.98,140363.14,146300.12,151686.76,156775.86,161666.9,166266.89,170561.03,174604.98,178198.79,178027.01
HYNDBURN,19731.21,22090.9,25533.52,29684.16,34591.18,39678.2,44655.92,50303.21,55718.91,60954.47,65949.99,72327.78,82525.82,92267.81,101115.03,109329.75,116917.19,123840.58,130101.45,135597.47,140615.35,145369.79,149862.51,154062.58,157960.64,161645.78,164919.09,164523.81
