Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,100326.32,99785.85,97683.43,95322.44,93485.9,91985.04,90974.83,90157.74,89430.72,88605.32,87969.61,87406.98,86896.69,86313.0,86090.71,85878.38,85628.1,85324.41,85246.36,85256.02,85200.19,85194.87,85205.61,85266.42,85311.61,85345.79,85373.0,85388.76
BARROWINFURNESS,75405.36,74640.81,72625.51,70488.08,68734.87,67221.22,66181.31,65265.7,64449.61,63625.01,62886.56,62267.68,61672.89,61019.31,60688.36,60348.94,59998.33,59631.28,59430.48,59292.43,59113.54,58966.2,58831.17,58733.54,58620.51,58485.65,58343.58,58191.68
BLACKBURN WITH DARWEN,199819.25,198653.54,194404.66,189593.56,185861.49,182759.47,180803.66,179305.45,177909.62,176471.77,175242.5,174165.64,173256.74,172090.71,171768.27,171485.13,171031.63,170566.98,170541.37,170708.72,170808.82,170943.51,171110.98,171382.9,171596.35,171704.62,171783.85,171828.29
BLACKPOOL,224182.25,222432.56,217518.05,212143.71,207778.86,204291.57,202050.96,200277.98,198683.66,197037.17,195725.24,194625.76,193681.62,192517.72,192275.08,192110.08,191761.58,191315.79,191320.02,191520.9,191616.16,191770.56,191950.65,192229.44,192370.92,192180.35,191915.25,191579.04
BOLTON,432321.66,430510.42,422041.4,412570.04,405197.04,399308.18,395732.04,393082.55,390756.54,388384.05,386467.38,385016.88,383796.51,382187.07,382417.41,382586.72,382514.53,382249.45,382980.63,384101.58,384953.06,385962.6,387031.41,388311.47,389384.84,390008.35,390522.26,390923.08
BURNLEY,144484.34,143939.66,141097.42,137940.43,135451.98,133475.18,132250.28,131362.59,130577.03,129663.09,129001.68,128402.45,127869.0,127219.37,127120.45,127058.34,126890.33,126671.85,126794.03,127016.77,127191.99,127415.95,127663.55,127988.23,128269.44,128473.39,128655.45,128811.23
BURY,289202.25,288309.21,282958.75,276952.71,272213.19,268527.48,266451.85,264941.12,263683.93,262251.77,261256.23,260517.31,259913.94,259096.98,259413.31,259796.91,259969.58,259989.92,260670.03,261581.53,262355.63,263220.54,264123.57,265166.72,266059.48,266616.71,267093.12,267487.67
CARLISLE,192043.54,190977.82,186955.17,182560.84,179031.23,176228.35,174408.78,172919.55,171572.64,170135.56,168930.45,167879.64,166866.17,165699.12,165244.17,164799.81,164262.4,163568.44,163333.3,163215.3,163015.14,162897.27,162807.64,162809.84,162745.6,162544.91,162310.0,162037.59
CHESHIRE EAST,229418.74,229186.36,225544.22,221255.61,218010.85,215515.75,214167.42,213250.52,212539.56,211631.94,211003.76,210531.39,210169.22,209612.76,209924.83,210317.6,210519.63,210576.1,211207.05,212036.63,212755.32,213522.52,214320.08,215229.55,216018.02,216532.1,216981.19,217364.87
CHORLEY,156198.6,156553.26,154363.94,151723.83,149798.81,148301.78,147658.82,147276.33,147007.99,146614.47,146376.28,146308.47,146291.0,146083.55,146520.73,146950.57,147284.31,147529.68,148163.92,148909.84,149576.2,150316.11,151082.08,151934.53,152730.31,153417.83,154076.99,154703.59
COPELAND,73808.13,72999.63,71037.04,68992.59,67314.19,65906.66,64860.49,63972.43,63211.62,62393.5,61697.53,61028.05,60431.62,59809.81,59458.83,59102.66,58717.77,58316.89,58081.76,57912.32,57696.87,57507.65,57329.66,57185.97,57023.41,56826.99,56621.51,56405.2
CRAVEN,28917.81,28916.37,28451.72,27921.65,27522.17,27209.4,27034.04,26919.77,26826.01,26698.47,26600.14,26521.59,26457.11,26356.24,26354.88,26360.51,26348.9,26336.17,26379.75,26446.83,26493.81,26557.89,26626.4,26709.66,26788.44,26865.14,26939.61,27010.4
DERBYSHIRE DALES,23.81,23.7,23.21,22.67,22.24,21.88,21.66,21.48,21.33,21.16,21.02,20.9,20.79,20.66,20.62,20.59,20.54,20.49,20.49,20.51,20.52,20.54,20.57,20.6,20.63,20.65,20.66,20.67
EDEN,99300.17,99181.02,97629.84,95815.01,94471.3,93382.0,92715.77,92288.46,91883.04,91411.55,91042.86,90695.3,90436.68,90017.7,89937.43,89884.04,89765.9,89577.76,89577.29,89635.94,89663.42,89732.24,89813.36,89938.66,90038.24,90098.72,90145.17,90174.37
FYLDE,108072.06,108355.11,106989.34,105326.57,104145.8,103252.36,102902.63,102744.83,102603.73,102373.09,102262.35,102213.43,102212.52,102077.96,102388.51,102699.53,102898.42,103051.1,103439.69,103923.06,104330.93,104790.77,105264.99,105793.36,106260.49,106589.06,106884.8,107147.62
HIGH PEAK,123651.41,123494.62,121304.76,118805.63,116916.26,115389.21,114548.51,113911.4,113406.92,112813.74,112332.0,111984.1,111680.76,111238.85,111318.06,111393.97,111399.73,111365.28,111619.92,111961.28,112240.69,112577.97,112935.33,113359.09,113742.9,114054.61,114346.13,114613.78
HYNDBURN,86553.24,86129.92,84302.72,82254.22,80626.27,79299.44,78486.2,77850.98,77285.58,76680.27,76205.98,75803.37,75446.45,74997.54,74943.95,74913.54,74804.03,74696.53,74762.48,74922.93,75054.65,75200.57,75360.45,75566.34,75746.98,75884.59,76009.31,76118.32
LANCASTER,208365.07,208286.44,205175.25,201562.78,198954.14,196991.28,196058.46,195525.12,195235.25,194752.44,194386.41,194118.16,193999.51,193643.53,194021.11,194379.0,194590.03,194731.61,195328.62,196070.47,196651.45,197356.81,198088.38,198919.47,199658.33,200227.13,200747.73,201215.65
MANCHESTER,890482.79,891896.98,882138.8,871238.62,863307.39,858501.95,857726.72,859089.67,861581.01,863881.8,866724.91,869795.85,873537.57,876590.04,882650.02,887923.9,891864.96,895312.56,900498.91,905936.65,910316.28,915525.71,920764.98,926299.1,931105.59,934767.34,938080.22,941033.02
NORTHUMBERLAND,4.11,4.08,3.98,3.88,3.8,3.73,3.69,3.65,3.61,3.58,3.54,3.51,3.49,3.46,3.44,3.42,3.41,3.39,3.38,3.37,3.36,3.36,3.35,3.35,3.34,3.34,3.33,3.32
OLDHAM,339249.61,339263.47,333950.1,327690.09,323039.67,319543.08,317838.68,316852.23,316122.09,315142.41,314633.22,314432.72,314415.42,313984.8,314987.12,316051.06,316826.2,317498.34,318898.35,320589.01,322089.09,323743.42,325448.55,327333.43,329070.46,330506.37,331864.58,333138.63
PENDLE,99005.06,98625.34,96593.08,94327.13,92534.01,91077.56,90183.87,89500.03,88904.87,88219.14,87679.84,87204.36,86781.94,86248.91,86107.73,85975.34,85772.79,85547.64,85544.85,85639.85,85694.46,85777.89,85878.32,86032.99,86163.76,86258.61,86341.69,86409.24
