Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,10853.06,16821.71,25354.31,36014.01,47853.63,60629.1,74606.27,91425.8,108659.04,126147.92,143638.53,161021.51,180142.32,198855.36,215103.01,229908.55,242842.91,254199.76,263564.49,271326.73,277670.57,282796.96,286893.63,289864.99,292319.03,294351.43,296054.47,297507.78
BARROWINFURNESS,5647.62,8664.17,13104.29,18554.22,24491.22,30743.89,37444.56,45439.47,53457.92,61414.36,69188.56,76792.95,85273.53,93575.26,100694.51,107197.88,112887.87,117925.99,122092.44,125576.26,128456.38,130816.88,132732.46,134132.12,135315.83,136323.12,137185.83,137936.39
BLACKBURN WITH DARWEN,14204.59,20761.93,30533.96,42715.85,56178.97,70663.73,86633.94,106051.85,126242.78,147023.8,168049.93,189179.05,212390.54,235135.04,255060.49,273223.2,289126.67,303084.93,314630.54,324199.6,332022.91,338358.63,343446.55,347207.11,350342.27,352988.26,355241.61,357197.33
BLACKPOOL,12946.21,19118.38,28113.29,39206.16,51240.81,63829.14,77255.56,93259.08,109291.13,125185.17,140701.54,155877.02,172827.77,189428.92,203683.54,216736.02,228200.37,238404.02,246899.54,254056.02,260022.02,264954.32,268989.91,271974.67,274504.52,276658.29,278495.56,280084.09
BOLTON,29182.48,42806.53,62655.88,87433.03,114860.24,144422.1,177039.87,216657.47,257897.28,300396.18,343462.96,386773.58,434279.85,480825.5,521653.12,558888.79,591529.03,620207.02,643981.2,663731.3,679917.58,693053.89,703617.89,711445.81,717952.13,723413.43,728032.61,732010.22
BURNLEY,8515.1,12975.03,19296.17,27119.37,35753.1,45021.0,55191.85,67486.12,80218.47,93275.76,106450.69,119653.65,134148.09,148344.69,160770.35,172110.1,182056.97,190813.3,198083.18,204139.02,209117.62,213170.46,216437.58,218858.84,220871.65,222557.69,223978.93,225197.17
BURY,24278.63,32376.98,46164.95,63599.4,82762.11,103217.15,125681.48,153129.93,181437.77,210313.97,239246.6,268167.4,300232.16,331678.15,359040.75,383956.52,405702.64,424762.51,440424.76,453336.77,463840.21,472317.68,479119.97,484112.76,488342.2,491998.23,495194.77,498047.26
CARLISLE,11346.64,16797.12,25375.92,36573.18,49766.71,65166.32,83477.86,106606.51,132307.15,160413.76,190423.66,221688.11,255180.28,288000.07,317485.0,344151.32,367324.68,387183.79,403356.76,416351.24,426565.12,434468.02,440527.16,444907.1,448395.95,451236.4,453620.88,455691.11
CHESHIRE EAST,20993.19,26841.69,37023.24,50026.76,64082.78,78664.02,94122.56,112667.77,130979.93,148840.61,165966.02,182521.09,201320.52,219759.71,235387.06,249689.23,262200.77,273344.68,282549.94,290272.99,296692.3,301995.38,306342.17,309522.81,312276.54,314686.07,316802.75,318689.61
CHORLEY,13883.67,19372.11,28066.16,39197.54,51781.95,65717.13,81496.67,100976.36,121675.5,143421.17,165841.16,188665.25,213530.51,237899.5,259421.64,278967.91,296008.71,310808.35,322944.8,332861.79,340830.25,347160.04,352148.7,355789.76,358782.84,361285.57,363416.99,365277.87
COPELAND,7339.42,11346.79,17048.88,24026.57,31605.94,39562.45,48041.26,58111.14,68166.41,78102.07,87775.02,97205.92,107732.28,118036.47,126865.69,134949.38,142046.26,148364.87,153624.45,158058.93,161758.98,164819.35,167322.9,169168.95,170730.44,172053.56,173177.17,174143.9
CRAVEN,2275.12,3125.24,4478.55,6250.7,8226.32,10343.36,12620.33,15336.98,18027.21,20662.91,23213.23,25678.95,28434.72,31129.43,33407.34,35480.08,37275.67,38851.84,40132.67,41187.19,42042.46,42726.7,43266.03,43635.35,43939.34,44187.11,44393.93,44570.06
DERBYSHIRE DALES,4.5,6.18,9.15,13.09,17.78,23.29,29.93,38.41,47.91,58.39,69.64,81.41,94.02,106.38,117.51,127.55,136.27,143.7,149.73,154.54,158.29,161.16,163.34,164.9,166.15,167.17,168.04,168.8
EDEN,7723.47,11444.05,17495.21,25783.61,36141.94,49061.9,65283.4,86292.68,110640.15,138210.56,168493.0,200610.19,234601.79,267916.79,298241.09,325590.22,349311.07,369449.01,385775.62,398736.21,408758.32,416356.7,422055.04,426151.24,429325.21,431846.44,433933.47,435735.58
FYLDE,9458.41,12955.32,18618.16,25643.42,33189.85,40972.72,49157.51,58890.35,68419.92,77628.16,86369.63,94748.93,104290.65,113641.96,121524.49,128746.69,135071.26,140727.11,145410.6,149361.34,152666.38,155415.48,157683.26,159348.47,160797.0,162068.39,163185.75,164180.81
