Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,3629.93,6205.18,8341.42,10946.54,15946.6,21003.19,24714.52,27477.57,29639.93,31368.92,32982.18,38677.59,57013.23,75137.2,93218.99,110467.49,126854.99,142139.82,156469.18,168837.09,180343.62,191942.01,203963.28,216637.49,229271.01,241598.57,252360.61,249142.15
BARROWINFURNESS,1569.3,2645.39,3512.02,4640.8,6900.01,9111.28,10557.52,11471.76,12096.44,12579.18,12996.82,16290.55,28357.02,40155.76,51834.46,63039.03,73741.11,83930.73,93528.62,102072.56,110054.4,118121.35,126301.96,134581.95,142625.99,150332.74,157135.83,154327.6
BLACKBURN WITH DARWEN,3214.41,5330.61,7240.71,9707.45,14245.07,18665.54,21772.53,23935.38,25593.32,27075.13,28420.17,34650.75,55687.34,76034.31,96003.6,114949.25,132592.9,148837.14,163828.94,176915.42,188979.06,200868.73,212770.16,224653.48,235967.05,246591.66,255581.47,249949.49
BLACKPOOL,5321.03,8284.26,10585.71,13495.58,18249.82,22936.32,26511.61,28965.19,30821.44,32416.78,33938.13,40835.86,64200.45,87170.87,110065.42,132052.63,152751.0,172232.24,190534.5,207252.59,223284.49,239088.7,255338.68,272176.41,288818.49,305107.91,319428.68,315723.02
BOLTON,6679.7,10379.14,13855.32,18646.38,27530.72,36210.73,42509.1,46630.75,49544.36,52090.36,54410.2,65092.41,100875.54,135140.94,168394.25,199362.68,227677.02,253044.07,275953.31,295045.73,312007.34,328593.78,345147.12,361492.28,376674.84,390502.82,401732.49,390568.2
BURNLEY,2265.62,3845.63,5287.37,7184.74,10566.15,13953.85,16417.12,18254.62,19812.74,21224.65,22612.46,27803.77,44612.74,61215.0,77725.05,93664.77,108792.21,122907.07,136228.77,148210.74,159535.95,170879.82,182362.45,193959.0,205214.6,216029.87,225567.6,222340.67
BURY,4362.7,6825.98,9158.2,12289.04,17814.31,23281.45,27415.12,30323.17,32515.73,34418.1,36261.49,43837.81,68804.22,93152.53,117064.27,139796.35,160943.19,180341.39,198348.36,214129.6,228765.62,243263.07,257895.16,272647.83,286849.34,300342.68,312019.06,306327.86
CARLISLE,3704.92,6163.14,8397.82,11162.5,16044.41,20945.35,24678.65,27376.94,29420.1,31118.88,32655.28,38267.69,56513.99,74527.43,92507.48,109694.29,125961.32,141091.43,155329.83,167740.09,179406.74,191152.68,203382.05,216224.6,228999.4,241494.26,252545.92,249461.14
CHESHIRE EAST,3440.59,5631.72,8110.81,11217.5,16259.15,21305.75,25353.89,28530.56,31125.81,33433.01,35633.99,42285.57,62778.65,83208.92,103575.52,123228.01,141691.92,158763.31,175028.28,189674.13,203575.45,217638.2,232055.18,246870.21,261521.86,275850.02,288860.62,286305.01
CHORLEY,2383.86,4258.19,6522.97,9312.12,13698.13,18063.86,21580.41,24475.01,27017.77,29371.1,31604.18,37224.19,53122.71,68978.08,84784.22,99906.06,113994.94,126695.77,138714.99,149382.25,159404.66,169611.54,179973.88,190478.68,200750.14,210677.98,219638.06,217382.38
COPELAND,1797.64,2963.44,3918.58,5165.39,7774.45,10349.82,12096.93,13251.61,14039.67,14618.93,15116.8,18207.08,29335.39,40232.35,51029.66,61345.76,71179.34,80511.64,89275.36,96839.47,103842.99,110991.99,118357.17,125963.24,133451.69,140693.0,147127.22,144742.88
CRAVEN,626.19,1095.05,1512.8,2030.64,3034.39,4047.87,4778.77,5367.77,5859.71,6276.42,6661.02,7800.46,11273.23,14723.23,18159.01,21440.15,24542.99,27427.26,30131.31,32447.98,34599.92,36820.56,39105.18,41493.4,43872.08,46191.45,48224.34,47670.84
DERBYSHIRE DALES,0.48,0.8,1.05,1.35,1.9,2.47,2.89,3.21,3.49,3.72,3.94,4.79,7.57,10.31,13.04,15.66,18.15,20.5,22.71,24.71,26.61,28.48,30.38,32.33,34.26,36.12,37.74,37.24
EDEN,2750.43,4537.01,5968.91,7722.82,11428.41,15319.3,18417.96,20813.23,22485.84,23726.19,24812.45,28211.46,39128.34,49906.4,60658.72,70780.54,80313.77,89263.28,97619.02,104457.77,110627.47,116847.03,123494.73,130925.23,138586.25,146176.86,152839.38,151208.93
FYLDE,2608.24,4322.85,6235.6,8559.77,12002.82,15443.99,18308.79,20621.6,22503.45,24188.44,25790.91,29912.95,41961.93,54011.54,66052.68,77560.29,88170.43,97860.82,107012.74,115294.01,123174.01,131134.05,139352.63,147906.5,156418.89,164783.86,172249.42,170914.07
