Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,493300.86,531008.07,556549.15,593822.99,628938.27,648641.68,673919.47,704178.05,728099.29,755309.91,794568.61,849205.35,925760.47,992816.75,1031341.82,1065718.25,1095861.75,1126766.57,1149302.22,1166768.31,1180964.99,1193687.99,1205006.59,1216415.34,1226533.71,1235891.58,1243219.03,1236933.12
BARROWINFURNESS,378542.31,407477.54,427076.9,455679.58,482625.85,497745.58,517142.89,540362.3,558718.64,579599.15,609724.94,651651.31,710397.11,761853.82,791416.65,817795.96,840927.06,864642.36,881935.45,895338.33,906232.39,915995.59,924681.09,933435.78,941200.27,948381.19,954004.02,949180.43
BLACKBURN WITH DARWEN,588155.72,653286.13,693655.98,737353.69,799039.34,835616.52,865196.14,897344.45,931403.11,963165.1,1006945.91,1039022.2,1098937.27,1146461.64,1189530.21,1230543.74,1265374.2,1296282.41,1323232.09,1346202.03,1366105.89,1384117.13,1400863.92,1416506.04,1430843.99,1443811.5,1454615.8,1449645.15
BLACKPOOL,645442.04,707561.77,777883.12,845990.21,881162.15,924774.42,958100.29,1009086.51,1037379.95,1064560.98,1095277.19,1132712.63,1185237.72,1237332.44,1292989.43,1340624.76,1377861.8,1411696.16,1441390.86,1467071.92,1489697.61,1510766.99,1530715.08,1549392.46,1566958.62,1583333.47,1597314.11,1592908.87
BOLTON,1168348.1,1270940.91,1335500.0,1427894.75,1513590.8,1572166.84,1635888.43,1704398.34,1772995.42,1833154.36,1894609.6,1962376.37,2060254.94,2151592.66,2236356.42,2313705.4,2381039.77,2442114.36,2494687.74,2539489.48,2577557.5,2612373.72,2644463.82,2673820.68,2700297.59,2723694.76,2742838.44,2736960.61
BURNLEY,359621.02,391390.02,415400.98,436383.59,458211.07,481126.39,508446.48,529946.29,551093.67,572246.39,602001.71,627185.5,675022.43,714690.31,749535.72,784031.7,813964.14,835501.94,854181.34,870510.64,884715.09,897980.57,910514.86,922406.66,933466.66,943641.45,952333.48,949004.51
BURY,780126.53,849576.96,893433.87,955375.83,1012467.35,1051540.24,1094078.71,1139672.88,1185267.68,1225269.48,1266412.99,1311502.12,1377029.73,1437956.9,1494375.37,1545923.24,1590732.84,1631374.77,1666351.54,1696167.74,1721499.23,1744665.84,1766012.35,1785535.27,1803132.44,1818670.85,1831368.44,1827429.85
CARLISLE,539347.52,580574.48,608499.66,649252.79,687645.87,709188.48,736825.8,769908.83,796062.98,825813.55,868736.82,928473.56,1012174.64,1085490.22,1127611.38,1165196.64,1198153.85,1231943.45,1256582.66,1275679.11,1291200.97,1305111.59,1317486.7,1329960.39,1341023.26,1351254.63,1359266.05,1352393.38
CHESHIRE EAST,539318.05,571681.28,602831.24,635615.42,660796.51,685852.95,713011.98,739360.02,765791.97,789435.35,847007.37,874047.04,921412.14,1084503.89,1120466.7,1178781.49,1208319.63,1234381.3,1258208.16,1278663.04,1296636.05,1313368.98,1329272.93,1344105.68,1357854.61,1370447.9,1381052.71,1377727.37
CHORLEY,416341.72,456475.34,501225.87,544950.88,567986.65,595934.26,617510.25,650173.31,668647.58,686311.75,706198.05,730343.96,764247.86,797803.05,833510.02,864119.87,888117.69,909924.5,929048.79,945582.11,960132.13,973674.61,986485.85,998472.32,1009732.17,1020213.12,1029150.04,1026332.71
COPELAND,369076.63,397288.32,416397.58,444285.03,470557.5,485299.15,504211.42,526850.21,544747.55,565105.92,594478.4,635356.38,692633.2,742803.21,771626.8,797346.48,819899.17,843021.46,859882.12,872949.86,883571.5,893090.56,901558.88,910094.65,917664.99,924666.34,930148.58,925445.6
CRAVEN,79711.06,85580.29,89559.25,93731.66,97676.44,100604.34,104731.01,108592.62,111851.33,115340.87,121892.22,127892.48,139295.84,148249.98,154061.52,159811.35,164461.25,169054.31,172613.2,175574.8,178037.28,180286.48,182343.37,184337.31,186140.82,187788.28,189123.03,188179.31
DERBYSHIRE DALES,62.06,69.11,76.68,85.75,88.7,91.61,94.54,97.96,102.04,104.71,107.4,110.61,117.23,122.38,126.62,130.56,134.07,137.36,140.06,142.38,144.35,146.16,147.85,149.41,150.71,151.81,152.67,152.24
EDEN,275243.14,296282.33,310533.29,331330.67,350923.66,361917.42,376021.47,392904.6,406251.75,421434.24,443339.11,473824.33,516539.18,553954.03,575449.56,594630.3,611449.23,628692.95,641266.98,651012.4,658933.61,666032.56,672347.9,678713.55,684359.22,689580.56,693669.0,690161.7
FYLDE,326892.6,358512.84,393698.57,427853.5,446215.12,468248.7,485110.26,510670.22,525149.86,539044.28,554895.18,573816.82,600643.92,627030.01,655079.61,679163.07,698039.69,715177.42,730215.41,743214.62,754661.43,765311.2,775388.73,784823.8,793690.86,801949.47,808995.85,806746.26
HIGH PEAK,384529.63,428165.85,475070.4,531336.99,549626.93,567706.55,585877.84,607068.54,632348.68,648861.75,665571.77,685499.1,726474.31,758382.39,784683.23,809060.01,830799.86,851180.2,867891.53,882279.01,894441.72,905672.54,916141.68,925802.87,933864.17,940687.73,945990.25,943359.11
HYNDBURN,370163.09,397779.02,416314.92,429773.65,443675.66,457157.47,476418.16,490880.99,504379.61,517674.88,548616.37,565776.24,614035.33,647953.73,673482.03,700807.26,721645.15,741393.54,757664.95,771973.87,784101.65,795310.14,805757.04,815602.65,824633.83,832811.18,839598.61,835573.83
LANCASTER,569675.17,614407.52,664232.13,695790.39,730152.62,765617.27,815136.4,864613.24,895228.33,921951.65,954712.65,988794.22,1056026.44,1110086.51,1497649.2,1536721.13,1565896.9,1588631.66,1613579.79,1636558.88,1652619.24,1673899.42,1689270.7,1700793.53,1716042.78,1722169.31,1723995.23,1715113.08
MANCHESTER,2092185.73,2305031.3,2488850.84,2692379.89,2811992.65,2913816.77,3025983.38,3131656.97,3240585.89,3339996.19,3477263.78,3592931.9,3794895.94,3970910.93,4101792.12,4217458.72,4317489.82,4406415.18,4484265.22,4549907.58,4605813.42,4656556.22,4703414.62,4744917.81,4781045.54,4812096.66,4835948.11,4823710.75
NORTHUMBERLAND,11.06,11.91,12.48,13.32,14.1,14.55,15.11,15.79,16.33,16.94,17.82,19.04,20.76,22.26,23.13,23.9,24.57,25.27,25.77,26.16,26.48,26.77,27.02,27.28,27.51,27.72,27.88,27.74
OLDHAM,909684.23,1016460.79,1100502.51,1185115.09,1238330.51,1280004.59,1321870.94,1367789.44,1414105.86,1455513.19,1495801.59,1544212.28,1616581.39,1683003.78,1743856.56,1799349.17,1848176.18,1891155.56,1928824.24,1960843.04,1988122.05,2012910.62,2035577.62,2056019.75,2073842.46,2089015.57,2100939.82,2097290.9
