Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,35607.01,38137.65,44079.3,50039.72,55774.66,61163.29,66377.8,69827.34,73337.84,77159.96,80903.61,84914.95,89105.49,92849.86,96853.39,101015.98,105436.7,109705.76,114481.18,119173.03,124215.75,129012.58,133587.01,138209.94,142390.48,146477.42,150353.3,152868.3
BARROWINFURNESS,14338.42,15097.82,19303.66,23510.36,27854.21,32113.0,36235.12,37308.42,38393.97,39556.79,40692.47,41858.87,43067.73,44152.5,45310.06,46503.36,47758.53,48977.42,50318.68,51640.32,53049.09,54390.84,55677.37,56973.4,58153.96,59308.99,60405.78,61132.57
BLACKBURN WITH DARWEN,11224.1,13061.95,15765.88,18491.5,21065.24,23441.03,25730.02,28013.9,30223.38,32638.98,34817.39,37231.8,39725.77,41579.38,43804.57,46061.22,48459.85,50792.43,53454.91,56108.54,59065.86,61764.23,64362.93,67002.03,69260.9,71477.02,73474.86,74769.95
BLACKPOOL,4637.87,5729.72,7535.38,9331.3,10976.24,12477.56,13936.62,15423.41,16931.13,18580.09,20180.42,21918.63,23734.12,25324.74,27044.98,28832.27,30734.87,32570.19,34636.65,36667.91,38863.2,40941.77,42921.94,44927.56,46726.32,48483.47,50143.3,51213.54
BOLTON,24865.71,27632.27,32619.12,37576.96,42690.35,47490.38,51962.01,55803.15,59670.98,63850.51,67883.43,72136.21,76550.22,80397.49,84573.82,88880.31,93433.61,97845.22,102757.42,107598.93,112808.03,117735.11,122447.63,127212.23,131495.57,135679.8,139630.21,142215.76
BURNLEY,6252.22,7400.54,9268.37,11126.62,12944.3,14623.75,16211.43,17780.9,19362.26,21081.24,22737.68,24512.1,26358.58,27957.85,29700.11,31501.46,33412.07,35260.03,37331.29,39371.84,41577.18,43659.36,45649.12,47662.25,49465.66,51229.36,52888.96,53967.98
BURY,8754.04,10196.18,12472.06,14753.69,16943.98,18960.4,20879.84,22786.22,24687.32,26758.06,28722.41,30847.41,33056.1,34903.94,36961.06,39079.43,41328.16,43505.81,45957.5,48379.38,51016.62,53486.65,55851.51,58245.62,60368.3,62446.31,64382.18,65639.64
CARLISLE,18521.1,20414.59,23521.16,26612.57,29594.08,32343.69,34959.58,37541.15,40144.94,42979.63,45713.89,48653.09,51714.36,54368.63,57257.98,60248.8,63423.23,66491.98,69936.69,73329.5,76999.36,80464.51,83775.56,87125.17,90126.04,93063.01,95824.59,97617.64
CHESHIRE EAST,9926.52,11245.86,13311.83,15375.1,17238.59,18942.56,20615.18,22327.09,24026.61,25891.42,27641.14,29574.81,31587.37,33226.77,35081.38,36992.26,39027.83,40996.19,43234.79,45448.29,47880.5,50143.89,52311.29,54508.55,56437.71,58330.35,60076.88,61202.5
CHORLEY,9088.61,10532.32,12912.64,15307.14,17649.27,19825.18,21891.25,23764.02,25609.78,27616.43,29486.76,31512.0,33609.07,35299.13,37226.32,39195.87,41285.61,43314.0,45598.04,47860.73,50334.61,52634.17,54836.91,57071.61,59030.18,60940.52,62711.42,63862.48
