Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,0.0,1.71,4.58,8.25,12.62,17.67,21.65,24.78,27.12,28.85,30.09,31.25,32.51,33.71,35.0,36.19,37.39,38.63,39.88,41.13,42.41,43.62,44.78,45.92,46.96,47.97,48.9,49.62
BARROWINFURNESS,51.74,52.19,52.95,53.92,55.07,56.41,57.47,58.31,58.96,59.44,59.81,60.16,60.54,60.9,61.3,61.67,62.05,62.44,62.84,63.24,63.65,64.03,64.4,64.76,65.09,65.4,65.7,65.93
BLACKBURN WITH DARWEN,0.0,2.12,5.66,10.2,15.6,21.84,26.77,30.63,33.51,35.62,37.11,38.49,39.99,41.4,42.92,44.31,45.7,47.14,48.59,50.04,51.52,52.9,54.26,55.58,56.78,57.95,59.03,59.86
BLACKPOOL,26.18,27.01,28.39,30.16,32.27,34.71,36.66,38.22,39.43,40.37,41.09,41.79,42.56,43.31,44.13,44.9,45.69,46.51,47.34,48.18,49.04,49.85,50.63,51.37,52.06,52.71,53.32,53.81
BOLTON,0.01,2.08,8.74,16.38,24.86,34.17,42.2,46.02,48.91,51.06,52.63,54.11,55.72,57.27,58.94,60.48,62.05,63.67,65.3,66.95,68.62,70.2,71.73,73.21,74.56,75.86,77.07,78.01
BURNLEY,0.0,0.89,2.37,4.27,6.53,9.14,11.21,12.84,14.08,14.99,15.66,16.29,16.97,17.62,18.33,18.98,19.64,20.32,21.0,21.7,22.4,23.06,23.71,24.33,24.9,25.45,25.96,26.35
BURY,20.7,21.95,27.74,34.12,41.01,48.41,55.03,57.34,59.09,60.39,61.34,62.24,63.21,64.15,65.17,66.1,67.05,68.03,69.02,70.01,71.03,71.99,72.91,73.81,74.63,75.42,76.15,76.72
CARLISLE,0.31,1.86,4.49,7.85,11.84,16.45,20.1,22.95,25.08,26.65,27.78,28.84,29.99,31.09,32.28,33.37,34.48,35.62,36.77,37.93,39.11,40.22,41.3,42.35,43.3,44.23,45.1,45.77
CHESHIRE EAST,20.7,21.97,24.09,26.82,30.07,33.82,36.79,39.13,40.9,42.22,43.18,44.09,45.07,46.02,47.04,47.97,48.93,49.91,50.91,51.91,52.93,53.89,54.82,55.72,56.54,57.34,58.08,58.65
CHORLEY,0.0,1.41,3.86,6.98,10.67,14.92,18.3,20.87,22.8,24.21,25.22,26.15,27.16,28.12,29.16,30.1,31.05,32.04,33.02,34.01,35.03,35.98,36.9,37.81,38.62,39.42,40.16,40.73
COPELAND,10.35,11.27,12.81,14.78,17.12,19.84,21.98,23.66,24.92,25.85,26.51,27.13,27.8,28.43,29.12,29.74,30.37,31.03,31.68,32.34,33.01,33.65,34.26,34.86,35.4,35.94,36.43,36.8
CRAVEN,0.0,0.38,1.0,1.81,2.76,3.87,4.74,5.43,5.95,6.33,6.61,6.87,7.15,7.42,7.71,7.98,8.25,8.52,8.8,9.09,9.37,9.64,9.91,10.16,10.39,10.62,10.83,10.99
