Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,315.94,321.07,336.11,374.76,394.1,413.15,429.84,438.49,445.96,452.6,459.59,466.0,472.57,477.68,482.38,485.95,488.18,488.44,487.73,485.66,481.96,470.35,465.98,464.57,466.11,470.59,476.58,480.1
BARROWINFURNESS,347.09,348.19,353.93,363.87,370.11,376.28,382.03,383.59,385.17,386.66,388.17,389.65,391.16,392.36,393.54,394.56,395.41,395.95,396.4,396.63,396.64,395.33,395.25,395.65,396.42,397.6,398.97,399.81
BLACKBURN WITH DARWEN,89.01,91.25,96.46,105.25,110.58,115.71,120.56,123.46,126.28,129.09,131.71,134.49,137.32,139.11,141.13,142.85,144.35,145.36,146.4,147.24,148.2,147.86,148.52,149.78,151.29,153.34,155.5,156.74
BLACKPOOL,29.66,31.23,34.41,41.83,45.32,48.67,51.67,53.97,56.3,58.59,60.89,63.25,65.62,67.4,69.09,70.54,71.73,72.44,73.09,73.48,73.79,73.07,72.75,72.93,73.78,75.38,77.32,78.45
BOLTON,55.78,59.36,67.38,85.38,94.15,102.62,110.22,115.27,120.35,125.39,130.37,135.51,140.68,144.67,148.62,152.1,155.11,157.18,159.16,160.55,161.6,159.32,159.83,161.66,164.43,168.42,172.9,175.6
BURNLEY,52.51,54.05,57.11,64.24,67.6,70.82,73.68,75.84,78.03,80.19,82.36,84.57,86.85,88.66,90.51,92.24,93.85,95.12,96.41,97.45,98.32,97.64,98.38,99.66,101.18,103.07,105.08,106.33
BURY,39.54,41.54,45.86,55.49,60.22,64.78,68.87,71.64,74.4,77.11,79.78,82.53,85.29,87.31,89.34,91.06,92.5,93.42,94.3,94.98,95.77,95.63,96.4,97.77,99.49,101.72,104.11,105.53
CARLISLE,67.75,70.76,77.05,93.67,101.59,109.33,115.9,120.49,125.08,129.09,133.42,137.16,141.37,144.43,147.7,150.51,152.79,154.03,154.89,155.04,154.57,149.93,149.65,150.92,153.07,156.28,159.96,162.12
CHESHIRE EAST,41.54,43.41,47.15,55.42,60.03,64.5,68.39,71.25,74.17,76.73,79.49,81.74,84.55,86.43,88.82,91.11,93.29,95.0,96.61,97.85,98.93,98.43,98.44,98.9,99.9,101.67,103.72,104.95
CHORLEY,12.98,14.8,18.53,26.17,30.17,34.02,37.51,39.96,42.39,44.8,47.14,49.53,52.03,53.83,55.81,57.63,59.33,60.68,62.07,63.27,64.47,64.54,65.4,66.7,68.21,70.13,72.16,73.4
COPELAND,162.13,164.0,168.77,182.01,188.15,194.22,199.32,201.94,204.53,206.75,209.04,211.03,213.16,214.65,216.19,217.37,218.14,218.31,218.13,217.51,216.31,211.96,211.15,211.44,212.37,213.98,215.91,217.07
