Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,40.68,43.57,50.36,57.17,63.72,69.88,75.83,79.78,83.79,88.15,92.43,97.01,101.8,106.08,110.65,115.41,120.46,125.34,130.79,136.15,141.91,147.39,152.62,157.9,162.68,167.35,171.77,174.65
BARROWINFURNESS,16.38,17.25,22.05,26.86,31.82,36.69,41.4,42.62,43.86,45.19,46.49,47.82,49.2,50.44,51.77,53.13,54.56,55.96,57.49,59.0,60.61,62.14,63.61,65.09,66.44,67.76,69.01,69.84
BLACKBURN WITH DARWEN,12.82,14.92,18.01,21.13,24.07,26.78,29.4,32.0,34.53,37.29,39.78,42.54,45.39,47.5,50.05,52.62,55.36,58.03,61.07,64.1,67.48,70.56,73.53,76.55,79.13,81.66,83.94,85.42
BLACKPOOL,5.3,6.55,8.61,10.66,12.54,14.26,15.92,17.62,19.34,21.23,23.06,25.04,27.12,28.93,30.9,32.94,35.11,37.21,39.57,41.89,44.4,46.77,49.04,51.33,53.38,55.39,57.29,58.51
BOLTON,28.41,31.57,37.27,42.93,48.77,54.26,59.36,63.75,68.17,72.95,77.55,82.41,87.46,91.85,96.62,101.54,106.74,111.78,117.4,122.93,128.88,134.51,139.89,145.34,150.23,155.01,159.52,162.48
BURNLEY,7.14,8.45,10.59,12.71,14.79,16.71,18.52,20.31,22.12,24.08,25.98,28.0,30.11,31.94,33.93,35.99,38.17,40.28,42.65,44.98,47.5,49.88,52.15,54.45,56.51,58.53,60.42,61.66
BURY,10.0,11.65,14.25,16.86,19.36,21.66,23.85,26.03,28.2,30.57,32.81,35.24,37.77,39.88,42.23,44.65,47.22,49.7,52.5,55.27,58.28,61.11,63.81,66.54,68.97,71.34,73.55,74.99
CARLISLE,21.16,23.32,26.87,30.4,33.81,36.95,39.94,42.89,45.86,49.1,52.23,55.58,59.08,62.11,65.42,68.83,72.46,75.96,79.9,83.78,87.97,91.93,95.71,99.54,102.97,106.32,109.48,111.52
CHESHIRE EAST,11.34,12.85,15.21,17.57,19.69,21.64,23.55,25.51,27.45,29.58,31.58,33.79,36.09,37.96,40.08,42.26,44.59,46.84,49.39,51.92,54.7,57.29,59.76,62.27,64.48,66.64,68.64,69.92
CHORLEY,10.38,12.03,14.75,17.49,20.16,22.65,25.01,27.15,29.26,31.55,33.69,36.0,38.4,40.33,42.53,44.78,47.17,49.48,52.09,54.68,57.51,60.13,62.65,65.2,67.44,69.62,71.65,72.96
COPELAND,4.48,5.59,8.01,10.44,13.06,15.57,17.91,19.37,20.8,22.34,23.77,25.26,26.79,28.0,29.41,30.82,32.31,33.77,35.39,37.0,38.75,40.38,41.95,43.54,44.93,46.29,47.55,48.38
CRAVEN,0.4,0.9,1.66,2.43,3.31,4.15,4.89,5.57,6.24,6.95,7.62,8.3,9.01,9.58,10.23,10.89,11.58,12.26,13.01,13.75,14.55,15.3,16.03,16.76,17.4,18.04,18.63,19.02
DERBYSHIRE DALES,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
EDEN,20.38,23.4,30.35,37.33,43.66,49.51,55.29,59.43,63.71,68.39,73.07,78.14,83.46,88.38,93.54,98.94,104.7,110.24,116.46,122.53,129.04,135.27,141.19,147.18,152.63,157.96,163.06,166.34
FYLDE,37.32,38.44,40.84,43.24,45.7,48.06,50.28,51.79,53.29,54.92,56.45,58.07,59.75,61.14,62.69,64.29,65.97,67.6,69.43,71.24,73.21,75.06,76.82,78.61,80.2,81.75,83.19,84.13
HIGH PEAK,4.07,4.86,6.03,7.19,8.45,9.63,10.72,11.75,12.74,13.82,14.79,15.83,16.89,17.7,18.65,19.61,20.63,21.62,22.73,23.84,25.07,26.19,27.27,28.37,29.31,30.24,31.08,31.63
HYNDBURN,7.03,8.16,10.09,11.99,13.69,15.24,16.76,18.33,19.94,21.7,23.44,25.33,27.31,29.08,30.97,32.94,35.05,37.07,39.35,41.59,44.0,46.3,48.49,50.7,52.69,54.65,56.5,57.69
LANCASTER,30.53,33.14,42.1,51.07,59.92,68.4,76.66,80.31,84.06,88.13,92.17,96.45,100.92,105.02,109.34,113.83,118.6,123.21,128.34,133.37,138.74,143.88,148.79,153.73,158.25,162.66,166.87,169.61
MANCHESTER,25.65,30.82,38.51,46.2,53.76,60.81,67.49,74.07,80.45,87.39,93.68,100.56,107.66,113.0,119.36,125.8,132.63,139.28,146.83,154.35,162.71,170.34,177.7,185.17,191.58,197.86,203.55,207.25
NORTHUMBERLAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
OLDHAM,12.74,15.22,19.55,23.89,27.88,31.54,35.11,38.44,41.79,45.46,49.0,52.85,56.87,60.34,64.13,68.05,72.23,76.27,80.82,85.3,90.16,94.74,99.11,103.54,107.49,111.36,114.99,117.34
PENDLE,5.25,6.07,7.32,8.57,9.81,10.96,12.04,13.1,14.14,15.27,16.31,17.44,18.61,19.54,20.61,21.69,22.85,23.97,25.23,26.48,27.86,29.13,30.35,31.59,32.67,33.73,34.7,35.34
PRESTON,15.11,16.95,20.73,24.5,28.37,32.03,35.48,37.99,40.49,43.19,45.78,48.51,51.35,53.75,56.41,59.14,62.03,64.83,67.96,71.05,74.4,77.54,80.56,83.61,86.33,89.0,91.49,93.13
RIBBLE VALLEY,17.0,18.21,20.14,22.09,23.82,25.39,26.93,28.51,30.1,31.84,33.51,35.34,37.25,38.87,40.66,42.51,44.48,46.39,48.55,50.67,52.99,55.16,57.24,59.34,61.21,63.04,64.75,65.85
RICHMONDSHIRE,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.05
ROCHDALE,16.13,18.48,23.12,27.73,32.33,36.68,40.84,43.95,47.02,50.34,53.44,56.78,60.24,63.01,66.18,69.42,72.85,76.18,79.94,83.67,87.76,91.56,95.2,98.89,102.12,105.29,108.2,110.1
ROSSENDALE,5.83,6.67,7.88,9.09,10.31,11.44,12.52,13.57,14.58,15.67,16.65,17.72,18.82,19.61,20.58,21.55,22.58,23.59,24.74,25.89,27.18,28.34,29.47,30.61,31.59,32.54,33.39,33.94
SALFORD,8.95,11.31,15.14,18.96,22.65,26.12,29.47,32.47,35.38,38.55,41.41,44.57,47.83,50.25,53.15,56.09,59.21,62.25,65.73,69.19,73.07,76.59,79.99,83.45,86.4,89.31,91.91,93.6
SEFTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOUTH LAKELAND,18.35,20.51,25.57,30.63,35.9,40.96,45.74,48.61,51.43,54.46,57.28,60.26,63.34,65.8,68.61,71.48,74.5,77.44,80.73,83.99,87.56,90.86,94.04,97.26,100.08,102.84,105.39,107.07
SOUTH RIBBLE,10.37,12.11,15.41,18.72,21.82,24.72,27.54,29.81,32.06,34.52,36.83,39.36,41.99,44.14,46.57,49.07,51.73,54.31,57.22,60.1,63.26,66.21,69.02,71.88,74.39,76.85,79.12,80.59
ST HELENS,5.55,6.11,7.25,8.4,9.58,10.7,11.76,12.5,13.23,14.02,14.76,15.54,16.35,17.01,17.75,18.51,19.32,20.1,20.97,21.84,22.79,23.67,24.51,25.37,26.12,26.86,27.55,27.99
STAFFORDSHIRE MOORLANDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
STOCKPORT,24.52,28.57,34.95,41.3,47.36,52.96,58.33,63.69,69.03,74.84,80.32,86.28,92.47,97.56,103.29,109.17,115.43,121.49,128.33,135.1,142.49,149.39,156.0,162.7,168.6,174.38,179.74,183.22
TAMESIDE,14.72,17.44,21.41,25.39,29.45,33.3,36.96,40.21,43.23,46.52,49.28,52.37,55.51,57.41,60.02,62.6,65.32,67.99,71.09,74.24,77.87,81.04,84.15,87.31,89.87,92.4,94.53,95.94
TRAFFORD,12.66,14.43,17.42,20.38,23.34,26.09,28.65,31.16,33.73,36.5,39.23,42.11,45.11,47.82,50.7,53.68,56.85,59.91,63.31,66.65,70.23,73.64,76.88,80.17,83.14,86.04,88.81,90.61
WARRINGTON,1.91,2.33,2.96,3.61,4.19,4.71,5.23,5.76,6.28,6.85,7.38,7.97,8.58,9.06,9.61,10.18,10.79,11.38,12.05,12.71,13.45,14.12,14.78,15.44,16.01,16.58,17.09,17.43
WEST LANCASHIRE,12.1,14.73,19.2,23.69,27.82,31.56,35.17,38.75,42.4,46.4,50.33,54.57,59.01,63.03,67.29,71.73,76.46,81.02,86.13,91.14,96.52,101.65,106.54,111.48,115.96,120.35,124.51,127.21
WIGAN,25.64,29.14,36.59,44.01,51.64,58.96,65.93,70.47,74.86,79.61,83.91,88.55,93.33,96.9,101.17,105.48,110.03,114.47,119.49,124.5,130.06,135.13,140.03,145.0,149.28,153.46,157.25,159.73
WYRE,23.66,25.46,29.26,33.08,36.92,40.55,44.0,46.42,48.84,51.46,53.96,56.62,59.38,61.73,64.32,66.99,69.81,72.54,75.6,78.62,81.89,84.96,87.91,90.88,93.54,96.14,98.58,100.17
