Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,3257.0,4759.0,7091.0,10149.0,13870.0,18039.0,22507.0,27820.0,32945.0,37934.0,42732.0,47295.0,51537.0,55556.0,59246.0,62618.0,65609.0,68250.0,70385.0,72149.0,73600.0,74798.0,75754.0,76449.0,77097.0,77638.0,78104.0,78529.0
BARROWINFURNESS,2013.0,2940.0,4361.0,6203.0,8420.0,10873.0,13484.0,16587.0,19569.0,22469.0,25257.0,27906.0,30352.0,32669.0,34794.0,36736.0,38456.0,39973.0,41197.0,42205.0,43006.0,43639.0,44148.0,44515.0,44864.0,45181.0,45469.0,45701.0
BLACKBURN WITH DARWEN,4799.0,6961.0,10201.0,14211.0,18784.0,23732.0,28984.0,35263.0,41280.0,47115.0,52711.0,58017.0,62794.0,67301.0,71426.0,75186.0,78381.0,81185.0,83416.0,85209.0,86564.0,87601.0,88408.0,88939.0,89413.0,89750.0,90061.0,90379.0
BLACKPOOL,4110.0,6021.0,8919.0,12611.0,16958.0,21727.0,26793.0,32816.0,38592.0,44200.0,49584.0,54695.0,59379.0,63808.0,67868.0,71573.0,74852.0,77694.0,79947.0,81795.0,83289.0,84404.0,85260.0,85841.0,86339.0,86811.0,87272.0,87683.0
BOLTON,9545.0,13823.0,20259.0,28246.0,37382.0,47303.0,57855.0,70469.0,82565.0,94294.0,105538.0,116200.0,125787.0,134827.0,143100.0,150635.0,157085.0,162684.0,167118.0,170571.0,173233.0,175366.0,177093.0,178215.0,179129.0,179912.0,180637.0,181333.0
BURNLEY,2475.0,3611.0,5370.0,7646.0,10372.0,13407.0,16651.0,20497.0,24190.0,27772.0,31208.0,34468.0,37443.0,40251.0,42823.0,45169.0,47242.0,49065.0,50527.0,51725.0,52700.0,53497.0,54100.0,54498.0,54849.0,55173.0,55453.0,55712.0
BURY,6904.0,9999.0,14593.0,20199.0,26485.0,33222.0,40360.0,48921.0,57121.0,65073.0,72697.0,79926.0,86402.0,92511.0,97943.0,102608.0,106718.0,110321.0,113172.0,115484.0,117347.0,118798.0,119891.0,120657.0,121270.0,121825.0,122346.0,122822.0
CARLISLE,3891.0,5673.0,8414.0,11935.0,16131.0,20802.0,25813.0,31794.0,37570.0,43190.0,48594.0,53732.0,58492.0,63000.0,67137.0,70918.0,74270.0,77226.0,79615.0,81584.0,83115.0,84281.0,85202.0,85893.0,86548.0,87131.0,87644.0,88068.0
CHESHIRE EAST,7058.0,10088.0,14641.0,20275.0,26724.0,33673.0,41040.0,49863.0,58320.0,66525.0,74397.0,81864.0,88502.0,94761.0,100486.0,105699.0,110295.0,114322.0,117525.0,120125.0,122217.0,123832.0,124928.0,125510.0,125963.0,126375.0,126844.0,127314.0
CHORLEY,4223.0,6112.0,9014.0,12725.0,17124.0,21986.0,27181.0,33366.0,39314.0,45091.0,50635.0,55899.0,60689.0,65213.0,69358.0,73139.0,76482.0,79421.0,81778.0,83709.0,85279.0,86556.0,87602.0,88369.0,88895.0,89305.0,89683.0,90043.0
COPELAND,2340.0,3405.0,5053.0,7207.0,9819.0,12724.0,15822.0,19495.0,23025.0,26457.0,29753.0,32884.0,35761.0,38483.0,40979.0,43257.0,45274.0,47051.0,48482.0,49658.0,50621.0,51411.0,52056.0,52541.0,52989.0,53368.0,53671.0,53934.0
CRAVEN,853.0,1230.0,1805.0,2542.0,3422.0,4399.0,5448.0,6714.0,7946.0,9151.0,10314.0,11425.0,12471.0,13467.0,14384.0,15224.0,15971.0,16633.0,17172.0,17621.0,17993.0,18302.0,18561.0,18753.0,18908.0,19036.0,19134.0,19234.0
DERBYSHIRE DALES,2.0,3.0,4.0,6.0,8.0,10.0,12.0,15.0,17.0,20.0,22.0,24.0,27.0,29.0,30.0,32.0,34.0,35.0,36.0,37.0,38.0,38.0,39.0,39.0,39.0,39.0,40.0,40.0
EDEN,2247.0,3263.0,4809.0,6772.0,9086.0,11651.0,14409.0,17732.0,20959.0,24110.0,27149.0,30047.0,32767.0,35353.0,37731.0,39908.0,41844.0,43493.0,44770.0,45827.0,46701.0,47428.0,48029.0,48456.0,48861.0,49246.0,49596.0,49883.0
