Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,291.0,566.0,998.0,1506.0,2387.0,3291.0,4007.0,4552.0,4939.0,5236.0,5517.0,6409.0,9334.0,12309.0,15290.0,18187.0,20966.0,23616.0,26215.0,28504.0,30637.0,32963.0,35438.0,38064.0,40763.0,43484.0,46195.0,46264.0
BARROWINFURNESS,153.0,279.0,454.0,674.0,1069.0,1460.0,1741.0,1917.0,2015.0,2080.0,2132.0,2665.0,4735.0,6805.0,8877.0,10906.0,12875.0,14812.0,16709.0,18455.0,20125.0,21911.0,23786.0,25736.0,27715.0,29701.0,31663.0,31646.0
BLACKBURN WITH DARWEN,356.0,629.0,1063.0,1595.0,2449.0,3290.0,3948.0,4426.0,4758.0,5049.0,5307.0,6347.0,9898.0,13411.0,16896.0,20263.0,23417.0,26392.0,29248.0,31817.0,34229.0,36759.0,39381.0,42068.0,44743.0,47379.0,49921.0,49565.0
BLACKPOOL,693.0,1092.0,1615.0,2260.0,3197.0,4147.0,4962.0,5544.0,5909.0,6204.0,6489.0,7728.0,12083.0,16467.0,20867.0,25162.0,29204.0,33110.0,36916.0,40481.0,43931.0,47530.0,51341.0,55374.0,59503.0,63678.0,67748.0,67934.0
BOLTON,975.0,1546.0,2407.0,3517.0,5315.0,7098.0,8515.0,9499.0,10146.0,10698.0,11189.0,13186.0,19922.0,26521.0,32990.0,39110.0,44747.0,49915.0,54767.0,58967.0,62792.0,66746.0,70817.0,74955.0,78994.0,82879.0,86487.0,85154.0
BURNLEY,218.0,414.0,733.0,1140.0,1776.0,2428.0,2961.0,3381.0,3718.0,4023.0,4329.0,5216.0,7990.0,10810.0,13645.0,16436.0,19100.0,21628.0,24111.0,26406.0,28618.0,30967.0,33428.0,35978.0,38559.0,41150.0,43713.0,43846.0
BURY,672.0,1079.0,1666.0,2413.0,3567.0,4727.0,5694.0,6410.0,6913.0,7332.0,7737.0,9207.0,14063.0,18898.0,23674.0,28274.0,32558.0,36555.0,40389.0,43847.0,47103.0,50481.0,53976.0,57578.0,61176.0,64725.0,68114.0,67668.0
CARLISLE,427.0,758.0,1266.0,1870.0,2811.0,3769.0,4560.0,5152.0,5567.0,5907.0,6213.0,7184.0,10351.0,13562.0,16785.0,19914.0,22887.0,25698.0,28454.0,30910.0,33237.0,35739.0,38411.0,41252.0,44170.0,47117.0,50029.0,50098.0
CHESHIRE EAST,589.0,1007.0,1672.0,2474.0,3625.0,4794.0,5819.0,6672.0,7366.0,7986.0,8583.0,10024.0,14214.0,18500.0,22808.0,27027.0,30987.0,34674.0,38306.0,41681.0,44940.0,48368.0,51962.0,55730.0,59579.0,63468.0,67289.0,67620.0
CHORLEY,350.0,694.0,1289.0,1999.0,2990.0,3990.0,4868.0,5628.0,6291.0,6910.0,7500.0,8722.0,11929.0,15213.0,18523.0,21739.0,24741.0,27462.0,30128.0,32577.0,34926.0,37419.0,40008.0,42681.0,45384.0,48093.0,50761.0,50931.0
COPELAND,181.0,317.0,512.0,756.0,1221.0,1685.0,2022.0,2249.0,2384.0,2475.0,2549.0,3079.0,5084.0,7091.0,9099.0,11057.0,12954.0,14810.0,16624.0,18245.0,19779.0,21432.0,23176.0,25004.0,26865.0,28735.0,30588.0,30553.0
CRAVEN,50.0,104.0,190.0,295.0,479.0,667.0,815.0,939.0,1039.0,1125.0,1203.0,1389.0,1928.0,2479.0,3031.0,3568.0,4077.0,4557.0,5026.0,5433.0,5811.0,6235.0,6683.0,7156.0,7641.0,8131.0,8620.0,8649.0
DERBYSHIRE DALES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0
