Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,126.0,211.0,252.0,300.0,375.0,452.0,514.0,575.0,635.0,695.0,753.0,891.0,1237.0,1578.0,1935.0,2280.0,2617.0,2924.0,3207.0,3482.0,3770.0,4024.0,4285.0,4572.0,4863.0,5158.0,5378.0,5367.0
BARROWINFURNESS,59.0,98.0,117.0,140.0,174.0,210.0,239.0,267.0,294.0,322.0,349.0,412.0,572.0,729.0,894.0,1052.0,1207.0,1348.0,1478.0,1604.0,1736.0,1852.0,1971.0,2101.0,2233.0,2367.0,2465.0,2458.0
BLACKBURN WITH DARWEN,108.0,179.0,212.0,250.0,310.0,371.0,418.0,464.0,509.0,552.0,594.0,698.0,962.0,1218.0,1483.0,1736.0,1978.0,2196.0,2392.0,2580.0,2775.0,2942.0,3111.0,3296.0,3482.0,3668.0,3797.0,3763.0
BLACKPOOL,166.0,276.0,328.0,389.0,485.0,583.0,661.0,739.0,815.0,890.0,964.0,1140.0,1581.0,2017.0,2473.0,2914.0,3345.0,3739.0,4101.0,4454.0,4824.0,5153.0,5490.0,5861.0,6237.0,6620.0,6907.0,6898.0
BOLTON,189.0,311.0,365.0,428.0,526.0,624.0,698.0,768.0,834.0,897.0,956.0,1111.0,1516.0,1901.0,2290.0,2650.0,2987.0,3278.0,3529.0,3760.0,3994.0,4180.0,4362.0,4559.0,4749.0,4930.0,5027.0,4905.0
BURNLEY,75.0,126.0,150.0,179.0,224.0,271.0,308.0,345.0,382.0,418.0,455.0,538.0,749.0,957.0,1175.0,1387.0,1595.0,1786.0,1962.0,2135.0,2315.0,2477.0,2643.0,2825.0,3011.0,3200.0,3342.0,3342.0
BURY,119.0,198.0,235.0,278.0,345.0,414.0,468.0,520.0,571.0,621.0,670.0,787.0,1086.0,1378.0,1680.0,1969.0,2247.0,2497.0,2722.0,2939.0,3163.0,3356.0,3553.0,3767.0,3982.0,4198.0,4348.0,4312.0
CARLISLE,121.0,202.0,241.0,288.0,359.0,433.0,492.0,551.0,607.0,664.0,720.0,851.0,1180.0,1505.0,1844.0,2172.0,2491.0,2782.0,3049.0,3309.0,3581.0,3821.0,4067.0,4337.0,4611.0,4888.0,5093.0,5080.0
CHESHIRE EAST,122.0,205.0,246.0,295.0,370.0,448.0,512.0,576.0,639.0,702.0,765.0,908.0,1266.0,1621.0,1995.0,2360.0,2718.0,3049.0,3356.0,3658.0,3975.0,4259.0,4551.0,4873.0,5201.0,5536.0,5792.0,5800.0
CHORLEY,79.0,133.0,158.0,189.0,236.0,284.0,323.0,361.0,399.0,436.0,473.0,559.0,775.0,989.0,1211.0,1427.0,1637.0,1829.0,2005.0,2176.0,2355.0,2514.0,2677.0,2856.0,3037.0,3221.0,3358.0,3351.0
