Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100030,4.14,4.38,4.48,4.5,4.68,4.85,5.02,5.19,5.38,5.56,5.68,5.68,5.71,5.72,5.74,5.75,5.76,5.76,5.76,5.75,5.74,5.73,5.72,5.71,5.69,5.68,5.65,5.61
100101,16.69,18.72,20.03,20.97,21.9,22.84,23.5,23.79,24.12,24.43,24.73,25.12,25.7,26.25,26.75,27.19,27.55,27.84,28.1,28.31,28.49,28.64,28.77,28.87,28.96,29.01,29.02,28.93
100102,11.73,12.36,12.73,13.02,13.44,13.87,14.27,14.64,15.05,15.56,16.05,16.71,17.77,18.76,19.68,20.51,21.22,21.84,22.4,22.87,23.27,23.63,23.97,24.2,24.4,24.54,24.62,24.48
100103,16.34,16.61,16.92,17.24,17.77,18.35,19.16,19.94,20.93,21.96,22.94,24.04,25.48,26.81,28.05,29.16,30.11,30.91,31.6,32.15,32.58,32.97,33.41,33.83,34.18,34.47,34.7,34.73
100104,4.15,4.47,4.88,5.24,5.66,6.08,6.72,7.33,7.93,8.53,8.87,9.04,9.36,9.64,9.91,10.14,10.34,10.5,10.64,10.73,10.8,10.86,10.92,10.97,11.01,11.03,11.03,10.94
100105,14.38,15.16,15.42,15.49,15.64,15.78,15.87,15.93,16.03,16.12,16.2,16.48,17.47,18.43,19.39,20.3,21.14,21.91,22.64,23.3,23.9,24.51,25.12,25.72,26.3,26.84,27.3,27.04
100106,14.27,17.19,18.05,18.31,18.55,18.8,19.02,19.25,19.54,19.82,20.08,20.46,21.46,22.97,24.39,25.68,26.83,27.84,28.71,29.44,30.05,30.57,31.01,31.38,31.68,31.92,32.11,32.12
100107,14.47,14.92,15.22,15.5,15.9,16.33,16.74,17.2,17.76,18.31,18.86,19.65,20.99,22.25,23.42,24.48,25.39,26.17,26.87,27.46,27.97,28.43,28.84,29.21,29.51,29.75,29.93,29.82
100108,13.89,14.6,14.95,15.21,15.53,15.86,16.25,16.84,17.54,18.11,18.63,19.27,20.31,21.27,22.18,23.0,23.72,24.33,24.88,25.36,25.77,26.13,26.45,26.73,26.95,27.12,27.24,27.12
100109,7.07,7.57,7.89,8.17,8.49,8.82,9.13,9.43,9.73,10.02,10.3,10.7,11.39,12.02,12.59,13.08,13.5,13.85,14.14,14.38,14.56,14.72,14.85,14.95,15.02,15.04,15.03,14.86
100110,11.96,12.43,12.72,13.01,13.42,13.85,14.24,14.58,14.93,15.28,15.71,16.33,17.42,18.42,19.34,20.16,20.87,21.48,22.01,22.44,22.79,23.11,23.39,23.64,23.84,23.99,24.07,23.89
100111,12.56,15.54,16.17,16.55,17.13,17.41,17.67,17.93,18.23,18.38,18.53,18.88,19.89,20.88,21.86,22.79,23.65,24.43,25.18,25.84,26.45,27.05,27.64,28.25,28.86,29.47,29.98,29.73
100112,14.81,15.11,15.23,15.33,15.53,15.73,15.88,16.0,16.14,16.24,16.33,16.6,17.58,18.53,19.46,20.33,21.12,21.85,22.54,23.13,23.67,24.21,24.77,25.35,25.96,26.54,27.03,26.75
100113,12.21,13.49,14.1,14.55,15.1,15.66,16.18,16.67,17.14,17.61,18.05,18.62,19.57,20.46,21.27,21.98,22.56,23.05,23.48,23.81,24.07,24.31,24.54,24.76,24.93,25.06,25.13,25.02
100114,15.44,17.46,18.46,19.21,20.07,20.97,21.48,21.98,22.52,23.08,23.6,24.33,25.36,26.28,27.09,27.78,28.32,28.74,29.1,29.39,29.6,29.77,29.9,29.98,30.01,29.98,29.89,29.7
100116,8.44,8.45,8.45,8.44,8.49,8.55,8.58,8.59,8.61,8.63,8.64,8.75,9.21,9.65,10.09,10.52,10.92,11.29,11.64,11.94,12.2,12.47,12.75,13.06,13.36,13.65,13.91,13.8
100117,16.18,17.1,17.35,17.4,17.52,17.64,18.12,18.58,19.1,19.6,20.09,20.81,21.94,23.03,24.13,25.18,26.16,27.08,27.95,28.74,29.48,30.21,30.96,31.72,32.46,33.17,33.81,33.55
100118,13.57,15.13,15.61,15.77,16.02,16.34,16.64,16.96,17.63,18.15,18.54,19.08,20.21,21.32,22.39,23.41,24.33,25.17,25.96,26.66,27.29,27.91,28.52,29.12,29.69,30.23,30.72,30.6
100119,14.47,16.09,16.71,17.11,17.71,18.34,18.93,19.53,20.27,20.92,21.53,22.41,23.92,25.3,26.57,27.7,28.65,29.45,30.13,30.7,31.16,31.57,31.92,32.19,32.4,32.52,32.56,32.27
100120,14.01,14.83,15.17,15.55,15.85,16.14,16.49,16.46,16.51,16.54,16.55,16.56,16.59,16.6,16.6,16.59,16.56,16.53,16.48,16.42,16.35,16.27,16.19,16.1,16.0,15.9,15.78,15.63
100122,17.55,21.87,23.27,23.84,24.53,25.28,25.85,28.11,28.65,29.22,29.8,30.58,33.64,36.21,37.37,38.41,39.27,39.97,40.66,41.26,41.77,42.25,42.69,43.04,43.33,43.56,43.71,43.6
100123,8.98,9.82,10.21,10.57,11.01,11.48,11.96,12.47,13.03,13.63,14.42,15.58,16.95,18.26,19.47,20.57,21.54,22.38,23.15,23.86,24.45,24.96,25.39,25.75,26.04,26.27,26.45,26.5
100124,4.56,4.61,4.65,4.69,5.16,5.67,7.4,7.93,8.5,9.08,9.7,10.41,14.44,20.31,22.98,24.75,25.49,26.17,26.88,27.51,28.11,28.69,29.29,29.58,29.86,30.13,30.37,30.28
100125,14.14,14.87,15.39,15.81,16.33,16.88,17.41,17.95,18.52,19.16,19.85,20.77,22.14,23.43,24.64,25.73,26.68,27.46,28.16,28.74,29.22,29.66,30.05,30.39,30.68,30.91,31.08,31.01
100126,0.46,0.46,0.52,0.59,0.65,0.71,0.77,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9
100127,7.66,7.7,7.75,7.79,7.92,8.05,8.14,8.21,8.28,8.35,8.44,8.65,9.31,9.95,10.57,11.17,11.72,12.25,12.74,13.16,13.54,13.92,14.32,14.73,15.13,15.5,15.85,15.71
100128,10.06,13.93,14.88,15.07,15.35,15.65,15.92,16.17,16.43,16.73,17.03,17.47,18.2,18.86,19.47,20.02,20.48,20.87,21.2,21.46,21.67,21.84,22.0,22.14,22.24,22.3,22.32,22.21
100129,13.46,14.74,15.12,15.25,15.59,15.95,16.32,16.69,17.1,17.49,17.88,18.38,19.25,20.1,20.94,21.75,22.5,23.08,23.59,24.03,24.44,24.89,25.36,25.83,26.28,26.71,27.09,26.96
