Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100030,21678.33,22700.55,23153.96,23244.06,24006.02,24748.23,25467.08,26169.38,26974.39,27759.85,28265.09,28258.3,28307.62,28339.52,28357.52,28352.48,28331.64,28290.69,28230.1,28152.8,28066.19,27963.46,27852.16,27739.26,27618.01,27488.14,27326.69,27081.83
100101,89053.91,97220.29,102869.21,107056.23,111138.41,115288.45,118368.48,120113.05,122055.17,123965.69,125784.59,127946.21,130815.72,133505.36,135962.88,138088.44,139834.98,141214.1,142389.57,143318.19,144021.21,144615.83,145087.33,145441.82,145666.43,145751.98,145679.08,145182.11
100102,51528.9,54244.99,56411.84,58599.13,61364.76,64288.7,67339.72,70662.69,73735.96,76697.99,79523.85,82912.0,87771.25,92341.66,96497.8,100283.16,103575.5,106451.59,109010.07,111212.95,113111.09,114804.84,116328.72,117453.78,118389.49,119105.68,119606.11,119323.67
100103,82505.37,84589.64,87365.09,90502.23,94370.16,98669.26,104466.92,110792.59,117230.2,123828.73,130214.21,137157.6,145184.82,152761.11,159729.05,165988.15,171383.66,176003.85,179950.72,183143.75,185744.05,187940.82,189832.64,191408.54,192662.35,193555.0,194103.47,193650.41
100104,17476.93,18708.23,20307.81,21815.34,23492.52,25206.61,27713.43,30208.19,32627.9,35006.94,36524.72,37414.69,38780.34,40034.92,41164.85,42168.67,43027.18,43761.64,44377.61,44832.36,45189.68,45505.99,45800.83,46053.55,46250.9,46384.28,46448.23,46246.56
100105,63543.81,66758.92,68432.91,69735.36,71345.23,73044.22,74773.0,76715.98,78420.11,79963.09,81387.03,83408.36,87732.62,91951.54,95976.37,99788.17,103254.65,106435.83,109385.06,112024.87,114423.24,116748.86,119013.3,121187.15,123242.79,125151.43,126800.77,126154.99
100106,57162.9,70441.42,74961.81,77204.59,79687.95,82456.34,85508.53,89071.51,93242.94,97825.22,102762.14,108375.73,115487.96,122456.87,129074.06,135158.82,140614.0,145365.48,149500.97,153032.27,156106.6,158750.18,161115.09,163275.8,165202.53,166918.25,168193.74,167919.73
100107,67913.85,70287.41,72550.25,74946.92,77856.64,80989.96,84329.82,88010.64,91520.24,94947.77,98276.91,102443.92,108543.41,114305.29,119606.76,124417.68,128582.38,132155.5,135362.59,138115.11,140461.76,142576.35,144457.49,146080.16,147455.74,148563.4,149397.26,149159.15
100108,64219.1,67515.63,69887.9,72157.84,74787.89,77583.72,80863.11,85252.07,89428.74,93019.28,96314.1,99947.0,105036.18,109765.48,114050.06,117944.55,121318.88,124252.46,126866.17,129145.94,131100.46,132818.68,134320.11,135577.91,136628.12,137439.55,138020.97,137777.67
100109,29779.26,31807.6,33299.04,34775.57,36508.1,38329.2,40189.69,42195.47,43990.95,45708.11,47320.26,49338.33,52400.6,55241.3,57769.74,60010.83,61904.63,63527.87,64914.61,66048.17,66967.75,67754.07,68418.1,68936.36,69315.77,69540.81,69606.2,69126.54
