Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.03,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.06,0.06,0.06
100101,0.02,0.03,0.05,0.06,0.09,0.11,0.14,0.17,0.2,0.23,0.26,0.3,0.33,0.37,0.41,0.44,0.48,0.52,0.56,0.6,0.64,0.68,0.71,0.74,0.77,0.8,0.82,0.83
100102,0.02,0.03,0.04,0.06,0.08,0.1,0.13,0.15,0.18,0.21,0.24,0.27,0.3,0.33,0.37,0.4,0.43,0.47,0.5,0.54,0.58,0.61,0.64,0.67,0.7,0.72,0.74,0.75
100103,0.06,0.08,0.11,0.16,0.21,0.27,0.33,0.39,0.45,0.51,0.57,0.63,0.69,0.74,0.79,0.84,0.89,0.95,1.0,1.05,1.11,1.15,1.2,1.24,1.27,1.3,1.32,1.34
100104,0.02,0.02,0.03,0.05,0.06,0.08,0.09,0.11,0.13,0.15,0.16,0.18,0.2,0.21,0.23,0.24,0.26,0.27,0.29,0.3,0.32,0.34,0.35,0.36,0.37,0.38,0.38,0.39
100105,0.02,0.02,0.03,0.05,0.07,0.09,0.11,0.13,0.16,0.2,0.23,0.27,0.31,0.34,0.39,0.43,0.47,0.52,0.56,0.61,0.66,0.71,0.75,0.79,0.82,0.86,0.88,0.91
100106,0.02,0.03,0.04,0.06,0.08,0.1,0.12,0.14,0.17,0.19,0.22,0.25,0.28,0.31,0.34,0.37,0.4,0.43,0.47,0.5,0.53,0.56,0.59,0.62,0.64,0.66,0.68,0.69
100107,0.1,0.13,0.19,0.27,0.37,0.47,0.57,0.67,0.77,0.88,0.98,1.08,1.18,1.27,1.36,1.45,1.54,1.63,1.72,1.81,1.9,1.98,2.06,2.13,2.18,2.23,2.27,2.29
100108,0.06,0.08,0.11,0.16,0.21,0.27,0.33,0.39,0.45,0.52,0.58,0.64,0.7,0.76,0.82,0.88,0.93,0.99,1.05,1.11,1.18,1.23,1.28,1.33,1.37,1.4,1.43,1.45
100109,0.03,0.04,0.06,0.08,0.11,0.14,0.18,0.21,0.24,0.28,0.31,0.35,0.39,0.42,0.45,0.49,0.52,0.56,0.59,0.63,0.66,0.7,0.73,0.76,0.78,0.8,0.82,0.83
100110,0.08,0.11,0.16,0.23,0.31,0.39,0.48,0.57,0.66,0.76,0.85,0.94,1.03,1.11,1.2,1.29,1.37,1.46,1.54,1.63,1.72,1.8,1.88,1.95,2.0,2.05,2.09,2.12
100111,0.05,0.07,0.11,0.15,0.21,0.26,0.32,0.38,0.44,0.5,0.56,0.62,0.68,0.73,0.79,0.85,0.9,0.96,1.01,1.07,1.13,1.18,1.23,1.28,1.31,1.34,1.37,1.38
100112,0.05,0.07,0.1,0.15,0.2,0.26,0.31,0.37,0.43,0.5,0.56,0.62,0.69,0.75,0.81,0.88,0.94,1.0,1.07,1.13,1.2,1.26,1.32,1.37,1.41,1.45,1.48,1.5
100113,0.05,0.06,0.09,0.13,0.18,0.23,0.27,0.33,0.38,0.43,0.49,0.54,0.59,0.64,0.69,0.74,0.79,0.84,0.89,0.94,0.99,1.04,1.08,1.12,1.15,1.18,1.2,1.22
100114,0.05,0.07,0.1,0.15,0.2,0.26,0.31,0.38,0.44,0.51,0.58,0.64,0.72,0.78,0.85,0.92,0.99,1.06,1.13,1.2,1.28,1.35,1.41,1.47,1.52,1.56,1.59,1.62
100116,0.03,0.03,0.05,0.07,0.1,0.12,0.15,0.17,0.2,0.23,0.26,0.28,0.31,0.34,0.36,0.39,0.41,0.44,0.46,0.49,0.52,0.54,0.56,0.59,0.6,0.62,0.63,0.63
100117,0.03,0.04,0.05,0.07,0.1,0.13,0.16,0.19,0.23,0.26,0.3,0.34,0.38,0.41,0.45,0.5,0.54,0.58,0.62,0.66,0.71,0.75,0.79,0.82,0.85,0.88,0.9,0.92
100118,0.05,0.07,0.1,0.15,0.2,0.25,0.31,0.37,0.43,0.49,0.55,0.62,0.68,0.74,0.8,0.86,0.92,0.99,1.05,1.11,1.18,1.24,1.29,1.35,1.38,1.42,1.45,1.47
100119,0.06,0.08,0.12,0.17,0.24,0.3,0.37,0.44,0.51,0.58,0.66,0.73,0.81,0.87,0.94,1.02,1.08,1.16,1.23,1.3,1.38,1.45,1.51,1.57,1.62,1.66,1.69,1.72
100120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03
100122,0.04,0.06,0.08,0.12,0.16,0.21,0.25,0.3,0.35,0.4,0.45,0.49,0.54,0.59,0.63,0.68,0.72,0.77,0.81,0.86,0.91,0.95,0.99,1.03,1.06,1.08,1.1,1.12
100123,0.03,0.04,0.06,0.09,0.12,0.15,0.18,0.22,0.26,0.3,0.34,0.38,0.42,0.46,0.5,0.54,0.58,0.62,0.67,0.71,0.76,0.8,0.83,0.87,0.9,0.92,0.94,0.96
100124,0.01,0.01,0.02,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.12,0.13,0.14,0.15,0.17,0.18,0.19,0.21,0.22,0.23,0.24,0.26,0.26,0.27,0.28,0.29
100125,0.05,0.07,0.1,0.14,0.2,0.25,0.3,0.36,0.42,0.49,0.55,0.61,0.68,0.74,0.8,0.86,0.92,0.98,1.05,1.11,1.18,1.24,1.3,1.35,1.39,1.43,1.46,1.48
100126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100127,0.02,0.02,0.03,0.04,0.06,0.08,0.09,0.11,0.13,0.15,0.17,0.2,0.22,0.24,0.26,0.28,0.31,0.33,0.35,0.38,0.4,0.42,0.44,0.46,0.48,0.49,0.51,0.52
100128,0.03,0.04,0.05,0.08,0.11,0.13,0.16,0.19,0.22,0.25,0.28,0.31,0.34,0.37,0.4,0.42,0.45,0.48,0.5,0.53,0.56,0.58,0.61,0.63,0.65,0.66,0.67,0.68
