Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100030,0.1,0.11,0.12,0.13,0.14,0.14,0.15,0.16,0.17,0.19,0.2,0.21,0.23,0.24,0.25,0.27,0.28,0.3,0.31,0.33,0.34,0.36,0.38,0.39,0.41,0.42,0.43,0.44
100101,0.55,0.65,0.8,0.97,1.09,1.2,1.32,1.45,1.58,1.72,1.85,2.0,2.15,2.26,2.39,2.52,2.67,2.81,2.96,3.12,3.3,3.46,3.61,3.77,3.9,4.03,4.15,4.22
100102,1.79,1.88,2.03,2.18,2.3,2.41,2.52,2.65,2.77,2.9,3.03,3.17,3.32,3.43,3.56,3.7,3.84,3.98,4.14,4.29,4.46,4.62,4.77,4.93,5.06,5.19,5.31,5.38
100103,4.8,4.95,5.39,5.83,6.25,6.66,7.07,7.25,7.4,7.56,7.67,7.81,7.95,7.98,8.04,8.07,8.07,8.03,7.97,7.83,7.53,6.63,6.09,5.68,5.43,5.36,5.37,5.36
100104,0.34,0.38,0.43,0.49,0.53,0.58,0.63,0.68,0.72,0.77,0.81,0.86,0.9,0.92,0.96,0.99,1.02,1.06,1.1,1.14,1.19,1.24,1.28,1.32,1.36,1.39,1.41,1.43
100105,0.73,0.86,1.09,1.33,1.5,1.65,1.82,2.0,2.19,2.4,2.6,2.84,3.08,3.28,3.5,3.73,3.98,4.22,4.48,4.74,5.01,5.25,5.45,5.66,5.87,6.08,6.29,6.42
100106,1.87,1.92,2.52,3.1,3.68,4.27,4.85,4.95,5.05,5.13,5.2,5.28,5.35,5.35,5.34,5.27,5.15,4.97,4.77,4.56,4.37,4.17,3.98,3.83,3.76,3.76,3.8,3.79
100107,1.13,1.38,1.7,2.03,2.32,2.59,2.87,3.17,3.43,3.71,3.93,4.2,4.47,4.57,4.76,4.95,5.15,5.34,5.58,5.83,6.14,6.38,6.63,6.88,7.07,7.25,7.39,7.47
100108,1.92,2.14,2.48,2.82,3.09,3.33,3.59,3.88,4.15,4.46,4.74,5.07,5.41,5.65,5.94,6.25,6.57,6.88,7.25,7.6,8.01,8.37,8.72,9.08,9.38,9.68,9.95,10.12
100109,0.47,0.56,0.7,0.85,0.96,1.07,1.18,1.29,1.4,1.52,1.63,1.75,1.87,1.94,2.04,2.13,2.24,2.34,2.45,2.57,2.71,2.83,2.95,3.07,3.17,3.26,3.34,3.39
100110,1.0,1.24,1.85,2.47,3.03,3.58,4.13,4.41,4.66,4.93,5.15,5.42,5.69,5.81,6.02,6.22,6.43,6.64,6.89,7.14,7.43,7.66,7.87,8.08,8.25,8.43,8.58,8.68
100111,0.96,1.11,1.32,1.52,1.7,1.87,2.05,2.23,2.39,2.58,2.72,2.9,3.07,3.16,3.29,3.42,3.56,3.69,3.85,4.02,4.21,4.37,4.52,4.67,4.79,4.91,5.01,5.07
100112,1.59,1.76,2.0,2.25,2.46,2.65,2.85,3.06,3.26,3.49,3.68,3.9,4.13,4.27,4.45,4.63,4.83,5.02,5.25,5.47,5.73,5.96,6.18,6.4,6.59,6.77,6.92,7.02
100113,3.15,3.3,3.5,3.71,3.88,4.03,4.19,4.37,4.52,4.7,4.83,4.99,5.15,5.22,5.32,5.39,5.46,5.49,5.53,5.57,5.63,5.66,5.67,5.71,5.75,5.84,5.93,5.97
100114,1.09,1.28,1.55,1.84,2.07,2.28,2.51,2.75,2.98,3.23,3.45,3.71,3.98,4.15,4.36,4.58,4.82,5.04,5.31,5.57,5.87,6.14,6.4,6.67,6.89,7.1,7.29,7.41
100116,0.62,0.7,0.83,0.96,1.07,1.16,1.26,1.37,1.47,1.58,1.68,1.8,1.92,1.99,2.09,2.2,2.31,2.41,2.53,2.66,2.8,2.92,3.04,3.17,3.27,3.37,3.45,3.51
100117,3.39,3.5,3.7,3.9,4.05,4.18,4.33,4.49,4.64,4.82,4.98,5.17,5.36,5.51,5.68,5.86,6.05,6.24,6.44,6.63,6.83,6.98,7.09,7.2,7.32,7.46,7.6,7.69
100118,1.21,1.43,1.78,2.14,2.41,2.65,2.91,3.2,3.48,3.8,4.09,4.42,4.77,5.02,5.33,5.64,5.98,6.3,6.67,7.04,7.45,7.81,8.15,8.49,8.79,9.09,9.37,9.55
100119,0.98,1.19,1.47,1.77,2.01,2.23,2.46,2.71,2.93,3.19,3.4,3.65,3.91,4.05,4.25,4.45,4.67,4.88,5.12,5.37,5.65,5.89,6.11,6.33,6.51,6.7,6.87,6.97
100120,0.21,0.21,0.21,0.21,0.21,0.21,0.22,0.22,0.22,0.23,0.23,0.24,0.24,0.24,0.25,0.25,0.25,0.26,0.26,0.26,0.27,0.27,0.26,0.26,0.25,0.26,0.26,0.26
100122,1.01,1.14,1.33,1.52,1.68,1.83,1.98,2.15,2.3,2.47,2.61,2.77,2.94,3.03,3.16,3.29,3.44,3.57,3.73,3.9,4.09,4.26,4.42,4.58,4.71,4.84,4.95,5.02
100123,2.69,2.79,2.95,3.11,3.24,3.35,3.47,3.61,3.73,3.87,3.99,4.13,4.27,4.36,4.47,4.59,4.71,4.83,4.97,5.11,5.27,5.4,5.52,5.64,5.75,5.86,5.95,6.01
