Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100030,3.0,4.0,6.0,9.0,11.0,14.0,17.0,21.0,24.0,28.0,31.0,34.0,37.0,39.0,42.0,44.0,46.0,48.0,49.0,50.0,51.0,51.0,51.0,51.0,51.0,52.0,52.0,52.0
100101,239.0,352.0,513.0,701.0,899.0,1106.0,1324.0,1590.0,1845.0,2093.0,2331.0,2557.0,2763.0,2958.0,3137.0,3301.0,3446.0,3573.0,3675.0,3726.0,3744.0,3756.0,3767.0,3774.0,3784.0,3798.0,3813.0,3829.0
100102,774.0,1113.0,1626.0,2263.0,2993.0,3781.0,4616.0,5609.0,6555.0,7470.0,8344.0,9171.0,9895.0,10576.0,11196.0,11760.0,12255.0,12687.0,13028.0,13302.0,13520.0,13686.0,13782.0,13836.0,13872.0,13916.0,13955.0,13994.0
100103,713.0,1043.0,1537.0,2153.0,2857.0,3620.0,4429.0,5391.0,6310.0,7200.0,8052.0,8859.0,9585.0,10269.0,10895.0,11465.0,11967.0,12402.0,12743.0,13019.0,13243.0,13413.0,13534.0,13600.0,13627.0,13663.0,13698.0,13739.0
100104,264.0,386.0,557.0,746.0,933.0,1120.0,1314.0,1554.0,1783.0,2005.0,2219.0,2421.0,2602.0,2774.0,2920.0,3023.0,3114.0,3193.0,3255.0,3304.0,3343.0,3367.0,3377.0,3382.0,3384.0,3390.0,3398.0,3408.0
100105,1053.0,1484.0,2114.0,2853.0,3647.0,4467.0,5328.0,6368.0,7357.0,8313.0,9227.0,10090.0,10815.0,11494.0,12111.0,12670.0,13159.0,13582.0,13911.0,14150.0,14329.0,14438.0,14463.0,14433.0,14424.0,14434.0,14460.0,14495.0
100106,251.0,370.0,539.0,737.0,944.0,1159.0,1385.0,1659.0,1921.0,2176.0,2420.0,2652.0,2862.0,3061.0,3240.0,3391.0,3524.0,3642.0,3735.0,3784.0,3812.0,3834.0,3852.0,3864.0,3876.0,3891.0,3906.0,3918.0
100107,730.0,1064.0,1586.0,2272.0,3105.0,4035.0,5027.0,6196.0,7315.0,8399.0,9437.0,10421.0,11312.0,12151.0,12918.0,13614.0,14228.0,14768.0,15199.0,15550.0,15834.0,16065.0,16250.0,16388.0,16516.0,16636.0,16738.0,16818.0
100108,1039.0,1477.0,2139.0,2956.0,3886.0,4885.0,5944.0,7207.0,8414.0,9581.0,10699.0,11756.0,12677.0,13541.0,14326.0,15027.0,15643.0,16180.0,16602.0,16941.0,17210.0,17425.0,17596.0,17705.0,17781.0,17819.0,17864.0,17918.0
100109,427.0,612.0,891.0,1240.0,1642.0,2077.0,2536.0,3082.0,3603.0,4106.0,4588.0,5045.0,5445.0,5822.0,6165.0,6477.0,6752.0,6992.0,7181.0,7334.0,7456.0,7553.0,7631.0,7676.0,7705.0,7726.0,7741.0,7759.0
100110,604.0,881.0,1310.0,1867.0,2537.0,3280.0,4073.0,5010.0,5909.0,6780.0,7616.0,8409.0,9131.0,9812.0,10437.0,11006.0,11509.0,11951.0,12305.0,12596.0,12832.0,13025.0,13183.0,13286.0,13376.0,13463.0,13531.0,13586.0
100111,532.0,777.0,1150.0,1625.0,2186.0,2802.0,3455.0,4229.0,4968.0,5683.0,6368.0,7016.0,7599.0,8147.0,8645.0,9086.0,9476.0,9817.0,10089.0,10309.0,10487.0,10631.0,10744.0,10826.0,10894.0,10945.0,10997.0,11046.0
100112,715.0,1026.0,1499.0,2095.0,2787.0,3539.0,4334.0,5276.0,6172.0,7038.0,7865.0,8648.0,9332.0,9973.0,10558.0,11089.0,11555.0,11962.0,12283.0,12540.0,12745.0,12908.0,13038.0,13129.0,13187.0,13218.0,13238.0,13268.0
