BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,56.12,58.57,59.57,60.05,61.1,62.29,64.46,68.7,73.09,77.44,81.63,85.65,89.21,92.66,96.06,99.22,102.01,104.43,106.53,108.37,109.98,111.39,110.82,110.24,109.62,109.0,108.35,107.63
100003,64.74,67.79,69.26,70.61,72.87,75.06,78.04,83.71,89.48,95.01,100.31,105.56,110.68,115.53,120.18,124.4,128.04,131.0,133.41,135.36,136.96,138.31,137.46,136.6,135.69,134.78,133.85,132.84
100004,83.43,93.5,104.26,114.18,124.54,131.29,136.88,147.73,153.41,157.27,160.94,164.61,168.14,171.4,174.49,177.16,179.29,180.94,182.3,183.33,184.05,184.56,183.89,183.14,182.35,181.55,180.72,179.84
100005,101.26,103.38,104.69,106.14,108.06,110.79,116.02,121.12,126.63,133.1,138.86,143.9,148.87,153.84,158.86,163.08,166.91,170.35,173.33,175.88,178.13,180.22,179.65,179.07,178.42,177.76,177.07,176.29
100006,46.23,47.12,47.94,48.77,50.2,51.84,54.23,58.38,62.63,66.85,70.81,74.68,78.28,81.62,84.79,87.62,90.0,91.99,93.6,94.86,95.86,96.63,96.06,95.42,94.82,94.39,93.91,93.37
100007,97.81,119.11,129.19,135.74,142.87,150.21,157.34,163.61,170.01,176.32,182.42,188.57,194.19,199.63,205.11,210.65,215.85,220.58,224.28,227.6,230.61,233.32,234.71,236.1,236.53,236.36,236.14,235.84
100008,107.16,110.58,113.43,116.12,119.82,124.17,129.15,136.97,144.68,152.23,159.11,165.82,172.52,178.74,184.4,189.33,193.33,196.64,199.29,201.28,202.73,203.86,202.89,201.82,200.63,199.38,198.04,196.59
100009,36.57,36.82,40.08,47.57,55.19,55.33,56.73,58.32,60.42,69.77,72.0,74.17,77.29,79.23,81.05,82.84,84.58,86.16,87.59,88.83,89.96,90.97,91.07,90.87,90.64,90.41,90.16,89.88
100139,14.4,15.83,16.32,16.46,16.61,16.78,17.03,17.73,18.52,19.32,20.1,20.86,21.61,22.35,23.1,23.8,24.45,25.04,25.53,25.97,26.38,26.72,26.6,26.48,26.35,26.22,26.08,25.91
100501,71.93,83.72,105.05,128.53,140.04,142.59,146.58,156.31,166.54,184.03,201.68,219.47,236.96,254.5,271.26,275.4,278.86,281.76,284.21,286.25,287.94,289.42,289.99,290.39,290.68,291.0,291.17,291.27
100503,71.75,81.11,88.92,96.54,98.96,101.52,103.7,107.19,110.71,114.11,117.21,120.24,123.24,126.11,128.93,131.43,133.59,135.42,136.94,138.21,139.27,140.14,139.95,139.77,139.53,139.29,139.0,138.65
100504,116.24,135.68,150.48,163.74,171.72,180.17,191.92,205.13,218.62,226.81,234.07,241.38,247.56,253.74,259.73,264.73,268.8,272.17,275.15,277.74,279.95,281.9,282.47,283.04,283.51,283.96,284.34,284.61
100505,61.88,67.26,76.08,83.65,87.53,91.87,98.44,111.06,126.3,132.05,137.69,142.77,146.68,150.43,154.18,157.65,160.64,163.24,165.34,166.9,168.26,169.34,169.07,168.6,168.06,167.49,166.89,166.2
100506,62.99,64.24,65.68,67.13,68.93,71.25,74.18,79.19,84.28,89.0,93.49,97.68,101.74,105.51,109.04,112.16,114.73,116.81,118.48,119.78,120.76,121.51,121.01,120.46,119.84,119.18,118.48,117.7
100507,56.12,63.97,70.42,75.3,76.26,77.25,77.98,79.07,80.41,81.69,82.89,84.07,85.19,86.27,87.3,88.17,88.91,89.51,90.01,90.44,90.8,91.04,90.99,90.93,90.83,90.72,90.57,90.38
200111,100.87,103.36,105.07,107.86,111.29,114.45,118.89,127.91,137.13,146.25,155.02,163.7,172.19,180.26,188.09,195.25,201.35,206.63,211.11,214.84,217.73,220.18,218.69,217.19,215.6,213.99,212.33,210.53
200206,70.82,73.72,78.27,82.2,84.29,86.8,89.97,95.73,102.42,109.17,115.9,122.22,128.57,134.86,141.11,147.08,152.29,157.0,161.17,164.9,168.3,171.38,170.79,170.18,169.49,168.79,167.91,166.91
200208,29.84,31.35,31.96,32.94,34.16,35.02,36.21,38.48,40.81,43.08,45.23,47.39,49.49,51.44,53.26,54.86,56.19,57.29,58.3,59.12,59.77,60.31,60.18,60.03,59.83,59.62,59.39,59.12
200401,61.59,63.72,65.8,67.46,68.93,70.45,72.37,75.92,79.67,83.46,87.1,90.72,94.15,97.26,100.25,102.92,105.12,106.83,108.08,108.99,109.66,110.02,109.32,108.59,107.81,107.03,106.55,106.01
200413,55.54,59.37,61.57,66.29,71.51,74.05,77.01,82.2,87.74,93.4,98.97,104.49,109.94,114.88,119.03,122.81,126.13,128.97,131.38,133.42,135.14,136.64,136.1,135.52,134.88,134.22,133.51,132.73
200421,53.78,56.98,66.9,76.52,78.01,79.68,82.11,87.18,92.34,97.43,101.99,106.4,110.77,115.08,119.42,123.55,127.37,130.83,133.88,136.54,138.94,141.11,140.39,139.66,138.88,138.1,137.27,136.35
200430,53.17,56.36,58.1,59.21,60.69,62.49,64.51,77.66,80.79,84.06,87.4,90.71,94.17,97.56,100.87,104.04,106.86,109.43,111.69,113.6,115.24,116.77,116.4,115.84,115.2,114.53,113.8,113.0
205308,65.92,67.83,68.79,69.43,71.02,72.84,75.36,80.2,85.53,90.76,95.82,100.76,105.7,110.54,115.33,119.8,123.86,127.42,130.5,133.16,135.49,137.65,137.07,136.46,135.76,135.05,134.29,133.44
205309,14.51,15.92,16.11,16.21,16.43,16.63,16.97,17.7,18.5,19.29,20.08,20.86,21.61,22.36,23.1,23.79,24.43,25.02,25.61,26.12,26.59,26.96,26.84,26.72,26.58,26.45,26.3,26.13
