BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,17.04,17.1,17.42,17.78,18.28,19.05,20.02,20.99,21.81,22.63,23.41,24.2,25.1,25.87,26.55,27.17,27.7,28.17,28.58,28.94,29.24,29.5,29.62,29.71,29.76,29.8,29.8,29.79
100003,21.25,21.22,21.55,21.96,22.82,23.43,24.25,25.3,26.29,27.3,28.3,29.34,30.45,31.54,32.47,33.27,33.96,34.53,35.01,35.41,35.74,36.02,36.09,36.11,36.1,36.08,36.03,35.95
100004,31.71,31.88,32.44,32.93,33.42,33.94,34.55,39.03,41.19,41.73,42.3,42.92,43.59,44.18,44.71,45.14,45.46,45.7,45.93,46.1,46.21,46.28,46.25,46.14,45.98,45.81,45.61,45.39
100005,36.11,36.15,36.56,37.0,37.6,39.08,42.66,43.98,44.84,46.68,48.03,48.83,49.72,50.6,51.38,52.1,52.71,53.24,53.69,54.06,54.36,54.61,54.68,54.69,54.66,54.6,54.51,54.4
100006,13.97,14.04,14.31,14.65,15.14,15.88,16.83,17.93,18.78,19.65,20.5,21.29,22.12,22.92,23.65,24.3,24.85,25.32,25.71,26.05,26.33,26.54,26.64,26.7,26.73,26.74,26.72,26.68
100007,23.5,23.74,24.24,24.78,25.42,26.26,27.31,28.72,30.23,31.78,33.33,34.87,36.41,37.86,39.16,40.3,41.22,41.85,42.39,42.82,43.17,43.44,43.5,43.52,43.51,43.47,43.41,43.31
100008,25.19,25.54,26.23,27.15,28.42,29.79,31.03,32.52,33.82,35.11,36.35,37.63,39.03,40.39,41.61,42.69,43.62,44.32,44.9,45.39,45.79,46.1,46.2,46.25,46.25,46.22,46.15,46.04
100009,19.0,19.07,22.36,22.45,22.67,23.11,24.84,25.69,26.74,35.01,36.01,36.61,38.09,38.43,38.63,38.86,39.13,39.31,39.51,39.65,39.76,39.82,39.77,39.74,39.7,39.65,39.58,39.5
100139,1.23,1.29,1.37,1.45,1.54,1.67,1.83,2.03,2.21,2.38,2.55,2.71,2.9,3.09,3.26,3.42,3.56,3.7,3.81,3.91,4.0,4.08,4.11,4.13,4.15,4.16,4.16,4.17
100501,21.06,21.4,22.08,26.74,35.04,36.14,38.57,45.29,48.27,49.66,51.32,53.08,54.92,56.97,58.51,59.85,60.87,61.69,62.31,62.77,63.07,63.13,62.98,62.8,62.58,62.41,62.12,61.79
100503,22.1,22.21,22.62,23.02,23.47,24.1,24.87,25.7,26.3,26.89,27.45,28.02,28.62,29.21,29.73,30.18,30.55,30.87,31.15,31.38,31.55,31.7,31.79,31.85,31.87,31.88,31.87,31.84
100504,38.0,38.88,40.33,41.91,43.65,45.69,48.09,51.22,54.39,57.61,60.05,61.9,63.79,65.6,67.07,68.35,69.43,70.33,71.1,71.73,72.21,72.65,72.94,73.15,73.29,73.39,73.44,73.45
100505,25.23,25.49,26.87,27.6,28.55,30.14,32.84,40.26,50.07,51.06,52.69,54.05,55.48,56.53,57.51,58.37,59.0,59.49,60.01,60.43,60.77,61.0,61.05,60.89,60.7,60.47,60.21,59.93
100506,15.18,15.17,15.41,15.79,16.21,16.86,17.7,18.75,19.71,20.7,21.69,22.61,23.55,24.46,25.27,25.98,26.54,26.99,27.36,27.67,27.92,28.12,28.19,28.23,28.23,28.22,28.19,28.13
100507,16.34,16.43,16.7,16.92,17.1,17.32,17.56,17.81,18.11,18.38,18.63,18.88,19.12,19.35,19.55,19.72,19.85,19.97,20.06,20.14,20.19,20.24,20.26,20.27,20.26,20.24,20.22,20.18
200111,28.28,28.36,28.89,30.91,32.51,33.8,35.17,36.93,38.63,40.38,42.14,43.93,45.86,47.73,49.43,50.93,52.22,53.34,54.26,54.98,55.56,56.02,56.14,56.21,56.22,56.2,56.13,56.02
200206,16.48,16.52,16.95,17.69,18.92,20.54,22.62,24.56,26.51,28.5,30.51,32.52,34.58,36.61,38.16,39.39,40.47,41.4,42.19,42.85,43.39,43.85,44.08,44.18,44.24,44.27,44.26,44.22
200208,6.8,6.85,7.03,7.7,8.46,8.84,9.26,9.77,10.24,10.72,11.2,11.69,12.23,12.7,13.13,13.51,13.83,14.1,14.33,14.52,14.68,14.81,14.88,14.94,14.98,15.01,15.02,15.03
200401,21.07,21.1,21.47,22.13,22.69,23.57,24.76,26.27,27.88,29.25,30.63,32.02,33.44,34.76,35.92,36.9,37.71,38.37,38.81,39.09,39.28,39.4,39.36,39.27,39.15,39.0,38.83,38.63
200413,17.28,17.34,17.63,17.97,18.48,19.26,20.36,21.84,23.36,24.98,26.66,28.19,29.67,31.09,32.37,33.5,34.38,35.07,35.66,36.14,36.54,36.84,36.93,36.98,36.98,36.96,36.91,36.83
200421,15.13,15.18,15.53,16.2,17.31,18.6,20.6,23.17,24.17,25.2,26.22,27.25,28.34,29.41,30.36,31.2,31.92,32.53,33.05,33.48,33.81,34.08,34.17,34.2,34.19,34.15,34.07,33.98
200430,9.11,9.13,9.28,9.54,9.94,10.48,11.21,22.26,22.98,23.51,24.17,24.89,25.7,26.41,27.13,27.79,28.32,28.78,29.25,29.67,30.04,30.35,30.44,30.39,30.32,30.24,30.14,30.02
205308,23.04,23.11,23.68,24.47,25.65,27.15,29.33,31.38,33.06,34.59,36.16,37.72,39.3,40.76,42.07,43.21,44.19,45.0,45.66,46.19,46.62,46.94,47.01,47.03,46.99,46.93,46.84,46.71
205309,3.15,3.16,3.25,3.38,3.66,3.96,4.34,4.91,5.36,5.65,5.96,6.27,6.59,6.89,7.16,7.4,7.59,7.76,7.89,8.0,8.08,8.14,8.17,8.18,8.19,8.19,8.18,8.16
205317,29.73,29.69,30.12,30.62,31.34,32.38,33.57,35.08,36.51,37.98,39.42,40.88,42.92,44.34,45.63,46.8,47.8,48.65,49.36,49.97,50.47,50.86,50.95,50.98,50.96,50.91,50.82,50.81
