BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,278912.54,289501.4,295573.22,299958.32,306987.54,316264.23,329851.7,349685.65,369441.89,388860.26,407338.93,425280.69,442424.11,459382.58,475212.43,489754.33,502547.12,513753.3,523543.65,532107.83,539562.09,545958.9,546063.4,545724.15,544931.96,543887.1,542507.41,540706.38
100003,344246.27,358429.12,366861.1,374865.1,387791.44,401039.34,418206.69,444046.52,469835.89,494560.91,518392.08,542378.19,566913.63,590683.04,612655.3,632436.05,649538.04,663710.7,675430.31,685149.68,693164.44,700108.29,699571.95,698483.18,696842.61,694932.92,692647.44,689876.01
100004,426943.66,475753.63,534707.55,582628.28,630120.57,662169.72,689122.27,752659.54,783321.63,799360.23,814727.06,830460.84,846151.79,860911.29,874568.6,886282.95,895547.53,902852.24,909114.26,913899.56,917331.27,919792.78,918177.13,915663.35,912704.54,909490.53,905949.8,902078.78
100005,479518.67,489133.67,497362.54,506422.5,517278.8,535889.07,573731.37,597741.89,622198.8,654655.47,682031.52,704303.14,727205.9,750098.87,771904.22,790152.94,806469.28,820998.87,833639.82,844398.55,853709.27,861995.36,861926.2,861258.88,859992.81,858389.94,856357.0,853904.53
100006,232223.33,236773.45,242216.91,248050.97,256562.66,267634.12,282530.2,302926.24,323004.69,342813.65,361513.49,380038.74,398350.67,415971.3,432022.54,446366.82,458635.21,469174.73,478045.17,485362.35,491397.02,496290.57,496810.79,496615.79,495926.81,494905.79,493541.76,491797.81
100007,345296.76,445694.83,489038.07,517699.56,549386.17,583341.27,617601.35,649583.56,682878.22,716396.79,749208.83,782211.81,813506.44,843677.68,872152.94,898074.22,921331.45,942064.22,958803.7,973673.51,986910.33,998694.81,1006003.96,1012821.72,1015591.05,1015729.4,1015478.74,1014730.31
100008,451258.53,464805.24,477713.51,490925.34,508556.52,530322.7,556194.38,592626.05,627599.02,661619.37,692912.43,723860.71,755325.69,785234.58,812264.18,835922.16,855569.85,872111.89,885756.16,896605.65,905082.24,911679.95,910415.69,908321.27,905391.83,901923.68,897870.99,893143.16
100009,230571.19,232929.33,261705.96,291791.71,324551.41,328718.85,344762.5,354540.81,366386.79,441119.09,453648.54,465875.1,486685.48,497296.71,506272.12,514988.35,523515.66,530824.82,537565.59,543216.35,548105.96,552271.93,553338.07,553110.55,552612.09,551960.76,551144.15,550117.91
100139,53870.89,60970.72,63483.2,64646.63,66007.32,67803.76,70075.46,73520.38,77078.13,80546.11,83866.61,87128.0,90622.21,94151.4,97448.1,100505.78,103273.3,105757.54,107862.03,109711.81,111383.93,112749.98,112668.09,112497.21,112232.76,111901.34,111489.54,110971.22
100501,403970.48,460818.78,540106.25,690107.51,776218.7,797187.3,829503.34,904677.21,950749.32,989362.61,1029747.14,1070927.08,1110427.32,1151334.57,1187113.61,1211318.71,1231467.21,1248492.66,1262737.05,1274823.91,1285058.94,1293469.91,1297413.55,1300254.27,1302406.76,1304919.42,1306140.77,1306858.11
