BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,0.07,1.01,2.06,3.25,4.58,6.01,7.53,9.16,10.85,12.53,14.27,15.96,17.75,19.51,21.34,23.19,25.04,26.87,28.63,30.31,31.92,33.44,34.89,36.29,37.63,38.93,40.19,41.12
100003,0.33,0.45,0.64,0.95,1.35,1.78,2.26,2.77,3.29,3.82,4.33,4.84,5.36,5.82,6.3,7.87,9.88,11.88,13.8,15.63,17.42,19.05,20.63,22.15,23.56,24.93,26.22,27.17
100004,0.16,1.35,5.97,10.77,13.53,17.48,19.19,18.82,18.51,20.36,22.29,24.15,26.11,28.03,30.03,32.04,34.05,36.04,37.96,39.79,41.56,43.22,44.82,46.37,47.84,49.26,50.63,51.64
100005,13.21,11.51,10.23,9.18,3.64,4.21,4.82,5.22,5.63,11.79,19.67,21.96,24.37,26.73,29.18,31.65,34.12,36.56,38.92,41.17,43.35,45.38,47.34,49.23,51.02,52.77,54.44,55.67
100006,0.11,0.85,1.68,2.64,3.71,4.86,13.08,21.39,29.73,38.07,46.45,47.79,49.21,50.59,52.03,53.48,54.94,56.37,57.75,59.07,60.34,61.52,62.66,63.76,64.8,65.81,66.78,67.5
100007,0.16,0.21,4.39,8.65,12.97,17.33,21.74,22.1,22.48,22.86,23.25,23.64,24.05,24.43,24.82,26.37,28.39,30.39,32.32,34.15,35.92,37.56,39.13,40.65,42.09,43.49,44.83,45.82
100008,11.09,9.49,8.6,7.98,3.04,4.08,5.19,5.86,6.55,12.85,20.82,23.33,25.98,28.54,31.21,33.9,36.57,39.22,41.76,44.18,46.52,48.67,50.71,52.7,54.54,56.33,58.02,59.28
100009,0.05,0.56,1.13,1.78,2.5,3.27,4.07,4.93,5.82,6.7,7.61,8.48,9.41,10.32,11.27,12.23,13.19,14.13,15.04,15.92,16.76,17.56,18.33,19.07,19.78,20.47,21.14,21.63
100139,1.99,1.69,1.42,1.18,0.15,0.2,0.26,0.32,0.39,1.47,2.87,3.26,3.68,4.09,4.51,4.94,5.37,5.79,6.2,6.59,6.97,7.33,7.67,8.01,8.32,8.63,8.92,9.14
100501,0.11,1.42,2.88,4.54,6.37,8.34,10.42,12.63,14.92,17.19,19.55,21.82,24.22,26.59,29.05,31.54,34.03,36.49,38.86,41.13,43.32,45.38,47.36,49.28,51.12,52.91,54.63,55.91
100503,0.13,0.17,0.25,0.39,0.59,0.82,1.1,1.41,1.74,4.11,8.96,10.69,12.52,14.32,16.19,18.08,19.96,21.82,23.62,25.33,26.97,28.5,29.97,31.39,32.74,34.05,35.31,36.24
100504,0.2,0.26,0.38,0.59,0.89,1.26,1.68,2.17,2.68,5.82,10.06,12.62,15.32,17.97,20.73,23.51,26.3,29.04,31.69,34.21,36.62,38.88,41.03,43.11,45.09,47.0,48.84,50.21
100505,7.22,6.08,5.03,4.11,0.26,0.38,0.54,0.73,0.92,4.87,9.94,11.37,12.89,14.38,15.94,17.51,19.09,20.64,22.14,23.57,24.94,26.23,27.46,28.66,29.81,30.93,32.01,32.81
100506,0.16,0.22,0.32,0.48,0.71,0.97,7.27,13.61,19.95,27.85,36.38,37.92,39.55,41.14,42.79,44.46,46.12,47.76,49.34,50.84,52.29,53.63,54.92,56.16,57.33,58.47,59.55,60.35
100507,9.11,7.66,26.33,25.14,20.23,20.34,24.48,28.64,32.81,41.71,52.03,53.75,55.57,57.37,59.25,61.14,63.03,64.9,66.71,68.45,70.12,71.7,73.23,74.71,76.13,77.52,78.86,79.86
200111,0.26,0.35,1.71,3.19,4.79,6.48,8.24,8.89,9.57,12.18,15.61,17.8,20.11,22.37,24.71,27.07,29.42,31.74,33.97,36.07,38.07,39.89,41.61,43.27,44.82,46.32,47.74,48.8
200206,20.14,20.19,22.38,24.63,26.95,29.32,31.73,32.08,32.45,34.0,36.02,37.31,38.66,39.99,41.36,42.75,44.13,45.49,46.81,48.04,49.22,50.3,51.32,52.31,53.23,54.12,54.97,55.6
200208,0.07,0.09,2.33,4.6,6.89,9.21,11.53,11.68,11.83,12.72,13.91,14.64,15.4,16.15,16.92,17.7,18.48,19.25,20.0,20.7,21.38,22.01,22.62,23.2,23.76,24.29,24.81,25.19
200401,50.1,50.62,51.23,51.96,54.94,57.98,69.58,81.24,92.94,102.49,112.07,110.14,108.25,106.33,104.45,102.57,103.67,104.77,105.82,106.81,107.77,108.63,109.46,110.26,110.98,111.69,112.35,112.84
200413,0.13,0.17,3.24,6.36,15.53,24.73,33.96,40.22,46.49,48.4,51.01,52.55,54.18,55.78,57.45,59.13,60.8,62.46,64.06,65.58,67.05,68.43,69.75,71.03,72.24,73.42,74.55,75.39
200421,0.18,1.06,2.07,3.25,8.51,13.87,42.98,72.2,101.47,126.79,152.17,148.31,144.54,140.73,136.99,133.26,135.04,136.79,138.48,140.09,141.64,143.08,144.45,145.78,147.03,148.24,149.39,150.25
200430,0.19,1.08,2.09,3.27,12.5,21.82,62.84,103.96,145.12,178.33,211.59,207.66,203.81,199.91,196.08,192.26,193.94,195.6,197.2,198.73,200.22,201.6,202.94,204.24,205.45,206.63,207.76,208.59
205308,0.2,0.27,1.38,2.57,3.83,5.12,6.44,7.27,8.6,9.91,11.26,12.57,13.95,15.29,16.67,18.07,19.46,20.84,22.16,23.42,24.63,25.75,26.81,27.84,28.79,29.72,30.6,31.25
205309,0.05,0.34,0.67,1.05,1.47,1.92,2.39,2.89,3.41,3.92,4.46,4.97,5.51,6.04,6.59,7.14,7.69,8.24,8.77,9.27,9.76,10.22,10.66,11.09,11.49,11.88,12.26,12.53
205317,0.31,6.42,12.61,18.91,25.32,31.78,32.3,32.87,33.45,35.93,39.18,41.21,43.36,45.44,47.6,49.77,51.93,54.07,56.12,58.08,59.96,61.69,63.33,64.93,66.4,67.84,69.19,70.19
300009,0.09,0.13,1.38,2.68,4.01,5.35,6.72,6.91,7.1,8.16,10.29,11.08,11.91,12.72,13.56,14.41,15.26,16.09,16.9,17.66,18.4,19.08,19.73,20.36,20.95,21.52,22.06,22.46
300024,0.16,0.21,7.5,14.87,22.31,35.21,48.16,53.95,59.77,67.7,72.78,74.66,76.63,78.57,80.59,82.62,84.65,86.65,88.58,90.41,92.17,93.79,95.34,96.83,98.25,99.62,100.94,101.91
300289,0.31,5.41,13.56,21.94,28.57,36.3,38.08,38.07,38.13,40.09,42.11,44.07,46.14,48.13,50.21,52.3,54.38,56.43,58.41,60.27,62.08,63.72,65.28,66.79,68.18,69.53,70.81,71.76
301101,20.27,20.37,20.53,20.79,21.15,21.55,22.0,22.49,23.0,25.17,29.36,31.0,32.73,34.4,36.13,37.88,39.61,41.33,42.98,44.54,46.05,47.42,48.73,50.0,51.16,52.3,53.36,54.15
301290,0.17,1.26,5.45,9.82,12.35,15.96,17.55,17.25,17.01,18.73,20.52,22.24,24.06,25.84,27.69,29.55,31.41,33.25,35.02,36.71,38.35,39.88,41.34,42.77,44.11,45.41,46.66,47.58
301672,0.06,0.08,0.12,11.88,23.68,35.49,47.32,59.18,59.33,59.49,59.66,59.82,60.0,60.16,60.33,61.12,62.17,63.2,64.21,65.16,66.08,66.94,67.77,68.57,69.33,70.07,70.78,71.31
303021,0.26,8.75,17.31,25.95,34.68,43.45,43.85,44.29,44.75,45.21,45.65,46.11,46.57,46.99,47.42,48.44,49.7,50.94,52.13,53.26,54.35,55.34,56.27,57.17,57.99,58.78,59.52,60.07
303188,0.24,1.29,6.83,12.56,16.54,21.58,24.68,24.5,24.37,26.12,27.92,29.66,31.49,33.27,35.12,36.98,38.84,40.67,42.44,44.13,45.76,47.27,48.72,50.12,51.43,52.71,53.91,54.81
303846,30.05,34.07,38.09,42.15,46.22,50.31,58.42,66.54,74.67,82.8,90.94,91.08,91.22,91.35,91.49,92.55,93.99,95.41,96.78,98.1,99.38,100.58,101.75,102.88,103.97,105.02,106.05,106.8
304200,0.4,0.54,1.69,3.0,4.43,5.91,7.46,8.16,8.86,9.58,10.29,11.0,11.73,12.39,13.07,15.02,17.49,19.93,22.28,24.51,26.66,28.63,30.51,32.33,34.01,35.64,37.17,38.3
304881,18.17,25.92,33.78,39.49,46.71,53.97,54.26,54.58,54.92,55.26,55.6,55.94,56.29,56.61,56.95,57.28,57.6,57.92,58.23,58.49,58.74,58.93,59.1,59.25,59.36,59.47,59.55,59.99
304882,0.11,0.68,1.32,0.31,0.47,0.64,6.85,13.08,19.32,25.56,31.81,32.06,32.32,32.56,32.8,33.05,33.29,33.53,33.76,33.96,34.14,34.28,34.4,34.51,34.59,34.67,34.73,35.07
304899,0.11,0.76,1.5,6.33,18.08,29.84,41.63,53.45,59.26,59.49,59.7,59.93,60.15,60.36,60.58,60.79,61.0,61.21,61.4,61.58,61.74,61.86,61.97,62.07,62.14,62.21,62.26,62.63
400001,7.87,10.73,13.51,15.57,20.84,30.98,36.16,41.38,46.61,54.73,58.51,59.94,61.45,62.91,63.49,64.09,64.69,65.26,65.78,67.15,68.48,69.7,70.86,71.98,73.02,74.04,75.0,75.71
400016,8.47,6.24,3.95,0.94,1.35,1.79,2.28,2.82,3.36,6.98,11.11,12.74,14.46,16.1,16.83,17.56,18.28,18.98,19.62,21.16,22.65,24.01,25.31,26.56,27.71,28.82,29.86,30.63
400071,0.17,0.35,1.12,2.1,3.13,4.21,14.33,34.47,51.84,69.2,86.63,85.12,83.71,82.26,80.88,79.52,81.44,83.34,85.18,86.93,88.61,90.17,91.67,93.12,94.49,95.81,97.09,98.03
400094,8.2,8.38,8.38,8.58,8.85,9.16,9.51,19.9,27.74,35.55,43.43,42.1,40.86,39.58,38.37,37.17,39.02,40.84,42.6,44.27,45.88,47.37,48.79,50.16,51.45,52.7,53.89,54.78
400102,25.51,25.58,27.22,28.96,30.77,32.64,35.91,37.95,38.53,41.8,43.6,43.67,43.83,43.94,43.1,43.79,44.47,45.13,45.73,47.24,48.7,50.03,51.28,52.5,53.63,54.73,55.76,56.54
400107,0.13,8.17,16.24,24.37,38.54,52.74,59.98,67.44,73.77,76.15,77.41,77.35,77.36,77.33,76.58,77.0,77.4,77.8,78.15,79.22,80.25,81.2,82.11,82.99,83.82,84.63,85.39,85.96
400113,0.11,0.14,0.21,0.35,0.59,0.9,2.94,5.34,5.97,9.88,12.02,12.07,12.22,12.34,11.31,12.14,12.98,13.78,14.51,16.35,18.08,19.68,21.18,22.63,24.01,25.34,26.61,27.58
400119,0.07,4.1,8.52,12.97,17.45,21.96,22.85,23.45,23.66,24.6,25.14,25.21,25.3,25.38,25.2,25.44,25.68,25.91,26.12,26.57,27.0,27.4,27.76,28.12,28.44,28.76,29.06,29.28
400128,0.15,0.2,1.29,2.44,3.65,4.9,6.86,7.98,8.37,10.1,11.11,11.24,11.43,11.59,11.27,11.72,12.16,12.59,12.99,13.83,14.63,15.35,16.03,16.69,17.29,17.87,18.42,18.83
400217,0.36,0.48,4.69,9.05,13.52,18.05,24.01,26.27,27.07,30.56,32.57,32.85,33.22,33.52,32.87,33.75,34.62,35.47,36.24,37.92,39.54,40.99,42.37,43.69,44.9,46.06,47.15,47.97
400400,63.08,61.54,59.93,57.83,58.04,58.3,58.59,58.94,59.29,61.74,64.55,65.67,66.84,67.99,68.51,69.04,69.56,70.06,70.53,71.59,72.61,73.53,74.41,75.25,76.04,76.79,77.51,78.05
400421,18.95,13.74,8.32,1.15,1.68,2.29,2.99,3.77,4.58,12.38,21.39,24.7,28.2,31.6,32.9,34.22,35.52,36.78,37.92,41.14,44.24,47.1,49.84,52.48,54.96,57.37,59.66,61.36
401010,0.18,0.31,0.36,0.55,0.83,1.17,1.57,7.64,12.29,16.93,21.62,21.12,20.69,20.23,19.81,19.39,20.69,21.97,23.2,24.35,25.44,26.42,27.33,28.21,29.02,29.8,30.53,31.09
401044,0.21,0.35,0.4,0.61,0.91,1.27,1.68,8.49,13.68,18.88,24.11,23.5,22.96,22.37,21.84,21.31,22.72,24.1,25.44,26.69,27.88,28.95,29.96,30.93,31.83,32.69,33.51,34.12
