BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,7.09,7.63,8.34,9.16,9.82,10.4,11.03,11.74,12.43,13.19,13.94,14.78,15.67,16.46,17.31,18.19,19.18,20.33,21.59,22.79,24.02,24.93,26.08,27.35,28.51,29.65,30.76,31.5
100003,4.8,9.78,15.2,20.7,26.22,31.34,32.37,32.98,33.13,32.7,30.39,21.57,20.18,20.84,21.81,22.75,23.75,24.73,25.87,27.03,28.35,29.34,30.46,31.67,32.63,33.58,34.37,34.9
100004,3.94,4.56,5.28,6.09,6.82,7.5,8.21,8.97,9.67,10.45,11.13,11.91,12.72,13.28,13.99,14.69,15.48,16.35,17.34,18.31,19.37,20.17,21.12,22.14,23.02,23.89,24.68,25.21
100005,11.74,12.66,14.16,15.78,17.52,19.11,20.66,21.93,23.11,24.18,25.01,24.85,25.96,27.03,28.42,29.81,31.27,32.63,34.08,35.34,36.42,35.93,36.92,38.47,39.79,41.09,42.28,43.05
100006,8.51,8.99,9.6,10.29,10.85,11.35,11.86,12.42,12.93,13.46,13.86,14.0,14.54,15.05,15.65,16.24,16.85,17.42,18.04,18.57,18.99,18.51,18.9,19.64,20.27,20.88,21.44,21.79
100007,9.76,10.48,11.33,12.31,13.44,14.47,15.52,16.64,17.69,18.78,19.69,20.31,21.43,22.47,23.64,24.8,26.04,27.26,28.61,29.88,31.11,31.6,32.76,34.18,35.46,36.71,37.9,38.69
100008,13.13,14.48,16.05,17.82,19.89,21.81,23.77,25.84,27.76,29.8,31.54,33.17,35.23,36.86,38.81,40.73,43.11,46.56,50.26,53.91,57.67,60.61,64.19,68.06,71.63,75.19,78.59,81.01
100009,41.8,41.99,42.23,42.48,42.71,42.92,43.15,40.61,38.96,36.06,29.93,11.07,6.36,6.56,6.8,7.05,7.32,7.58,7.88,8.17,8.51,8.81,9.1,9.4,9.65,9.9,10.12,10.26
100139,12.21,12.36,12.56,12.77,13.0,13.22,13.44,13.68,13.91,14.16,14.4,14.66,14.92,15.13,15.36,15.43,15.45,15.37,15.14,14.56,13.13,8.17,7.1,7.39,7.64,7.89,8.12,8.27
100501,34.03,34.56,35.24,35.98,36.6,37.14,37.72,38.35,38.94,39.54,40.01,40.16,40.8,41.43,42.13,42.61,43.06,43.33,43.46,43.06,41.45,34.59,33.44,34.32,35.08,35.83,36.52,36.96
100503,6.8,7.44,8.2,9.08,9.83,10.51,11.23,12.01,12.76,13.57,14.33,15.19,16.09,16.8,17.62,18.45,19.38,20.4,21.53,22.62,23.75,24.52,25.56,26.73,27.77,28.79,29.75,30.38
100504,8.2,9.18,10.37,11.73,12.81,13.75,14.76,15.87,16.89,17.97,18.86,19.44,20.61,21.65,22.86,24.06,25.33,26.51,27.85,29.05,30.14,29.93,30.95,32.43,33.72,34.98,36.14,36.87
100505,28.7,29.04,29.5,30.02,30.53,30.99,31.46,30.45,29.91,28.68,25.62,15.3,13.11,13.71,14.34,14.93,15.54,16.08,16.64,17.05,17.15,15.82,16.01,16.76,17.43,18.1,18.73,19.14
100506,3.56,7.27,11.13,15.1,18.89,22.6,23.34,23.05,23.06,22.64,20.88,14.17,13.1,13.75,14.56,15.38,16.27,17.12,18.11,19.09,20.2,21.2,22.17,23.15,23.98,24.8,25.53,25.99
