BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,3710.0,4517.0,5753.0,7335.0,9319.0,12124.0,15224.0,18434.0,21492.0,24435.0,27210.0,29972.0,32755.0,35598.0,38245.0,40699.0,42895.0,44869.0,46576.0,47955.0,49100.0,50028.0,50688.0,51155.0,51469.0,51706.0,51895.0,52051.0
100003,3044.0,3803.0,4953.0,6465.0,8413.0,11179.0,14261.0,17470.0,20543.0,23509.0,26314.0,29107.0,32025.0,35009.0,37760.0,40215.0,42424.0,44422.0,46165.0,47655.0,48925.0,50017.0,50920.0,51631.0,52209.0,52681.0,53040.0,53294.0
100004,1714.0,2146.0,2801.0,3659.0,4758.0,6320.0,8060.0,9865.0,11588.0,13248.0,14813.0,16369.0,17983.0,19630.0,21168.0,22596.0,23876.0,25031.0,26036.0,26854.0,27535.0,28085.0,28496.0,28806.0,29054.0,29248.0,29398.0,29513.0
100005,4958.0,6097.0,7777.0,9874.0,12446.0,16074.0,20081.0,24248.0,28236.0,32085.0,35724.0,39355.0,43093.0,46924.0,50455.0,53599.0,56422.0,58942.0,61103.0,62955.0,64541.0,65874.0,66807.0,67428.0,67822.0,68172.0,68469.0,68714.0
100006,2529.0,3129.0,4056.0,5281.0,6864.0,9112.0,11613.0,14206.0,16680.0,19061.0,21308.0,23541.0,25832.0,28170.0,30352.0,32377.0,34195.0,35829.0,37242.0,38452.0,39484.0,40344.0,41002.0,41503.0,41838.0,42091.0,42266.0,42396.0
100007,1628.0,2047.0,2644.0,3381.0,4273.0,5531.0,6919.0,8362.0,9743.0,11074.0,12333.0,13589.0,14907.0,16258.0,17519.0,18675.0,19678.0,20580.0,21367.0,21985.0,22433.0,22766.0,23035.0,23250.0,23426.0,23574.0,23691.0,23779.0
100008,4205.0,5209.0,6754.0,8799.0,11447.0,15199.0,19370.0,23693.0,27816.0,31787.0,35534.0,39259.0,43092.0,47005.0,50648.0,54006.0,57021.0,59740.0,62102.0,64123.0,65820.0,67247.0,68407.0,69243.0,69863.0,70329.0,70629.0,70841.0
100009,832.0,1042.0,1370.0,1813.0,2400.0,3237.0,4176.0,5156.0,6096.0,7004.0,7863.0,8718.0,9614.0,10530.0,11387.0,12185.0,12904.0,13555.0,14124.0,14614.0,15036.0,15398.0,15693.0,15902.0,16058.0,16174.0,16272.0,16352.0
100139,860.0,1060.0,1341.0,1674.0,2060.0,2600.0,3190.0,3802.0,4388.0,4953.0,5488.0,6023.0,6573.0,7139.0,7645.0,8052.0,8416.0,8732.0,8991.0,9213.0,9403.0,9567.0,9703.0,9806.0,9889.0,9960.0,10016.0,10053.0
100501,1849.0,2298.0,3011.0,3986.0,5284.0,7137.0,9214.0,11378.0,13449.0,15447.0,17336.0,19212.0,21162.0,23152.0,25011.0,26741.0,28297.0,29702.0,30927.0,31980.0,32883.0,33642.0,34277.0,34789.0,35196.0,35485.0,35701.0,35865.0
