BSP,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100001,327.0,534.0,865.0,1320.0,1927.0,2532.0,3433.0,5442.0,7408.0,9329.0,11205.0,13037.0,14827.0,16607.0,18349.0,20011.0,21504.0,22852.0,24067.0,25155.0,26142.0,27125.0,26891.0,26653.0,26416.0,26185.0,25954.0,25720.0
100003,353.0,592.0,990.0,1581.0,2383.0,3171.0,4322.0,6862.0,9302.0,11634.0,13856.0,15970.0,17982.0,19920.0,21771.0,23474.0,24949.0,26223.0,27262.0,28079.0,28732.0,29352.0,28617.0,27878.0,27135.0,26394.0,25649.0,24899.0
100004,489.0,696.0,1060.0,1530.0,2144.0,2738.0,3509.0,5078.0,6546.0,7911.0,9168.0,10321.0,11376.0,12358.0,13245.0,13998.0,14561.0,14960.0,15208.0,15296.0,15260.0,15184.0,14453.0,13717.0,12979.0,12240.0,11497.0,10749.0
100005,473.0,767.0,1262.0,1982.0,2976.0,3994.0,5372.0,8149.0,10928.0,13704.0,16471.0,19234.0,22001.0,24815.0,27653.0,30434.0,33021.0,35434.0,37656.0,39666.0,41549.0,43482.0,43663.0,43844.0,44032.0,44238.0,44450.0,44667.0
100006,423.0,633.0,927.0,1363.0,1976.0,2580.0,3418.0,5208.0,6908.0,8516.0,10031.0,11455.0,12788.0,14035.0,15199.0,16239.0,17089.0,17812.0,18360.0,18728.0,18971.0,19156.0,18497.0,17835.0,17173.0,16518.0,15862.0,15204.0
100007,733.0,899.0,1232.0,1661.0,2223.0,2771.0,3461.0,4792.0,6055.0,7248.0,8362.0,9403.0,10378.0,11313.0,12186.0,12957.0,13581.0,14064.0,14427.0,14647.0,14767.0,14872.0,14387.0,13899.0,13415.0,12932.0,12447.0,11959.0
100008,984.0,1489.0,2175.0,3113.0,4375.0,5584.0,7208.0,10566.0,13726.0,16686.0,19440.0,21993.0,24352.0,26528.0,28514.0,30221.0,31511.0,32558.0,33262.0,33614.0,33719.0,33708.0,32257.0,30803.0,29354.0,27915.0,26475.0,25034.0
100009,88.0,134.0,211.0,360.0,599.0,844.0,1202.0,1998.0,2793.0,3586.0,4377.0,5166.0,5953.0,6738.0,7530.0,8312.0,9062.0,9790.0,10451.0,11033.0,11578.0,12142.0,12153.0,12164.0,12176.0,12192.0,12209.0,12226.0
100139,63.0,103.0,171.0,271.0,402.0,535.0,734.0,1161.0,1590.0,2018.0,2446.0,2873.0,3302.0,3737.0,4176.0,4606.0,5009.0,5390.0,5740.0,6067.0,6379.0,6693.0,6719.0,6746.0,6773.0,6802.0,6833.0,6864.0
100501,298.0,491.0,797.0,1204.0,1731.0,2244.0,2955.0,4448.0,5848.0,7154.0,8363.0,9480.0,10506.0,11462.0,12334.0,13088.0,13667.0,14098.0,14386.0,14535.0,14573.0,14561.0,13899.0,13233.0,12563.0,11893.0,11219.0,10541.0
100503,735.0,878.0,1163.0,1547.0,2041.0,2529.0,3141.0,4295.0,5409.0,6481.0,7503.0,8480.0,9417.0,10336.0,11215.0,12022.0,12710.0,13293.0,13765.0,14123.0,14408.0,14682.0,14405.0,14128.0,13856.0,13592.0,13328.0,13064.0
