Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,70964.91,73818.01,78588.06,85450.51,97976.94,112977.24,129681.39,149634.06,168422.48,186791.17,203881.15,220170.46,237360.91,254558.38,271108.33,286982.66,302338.96,316986.36,330314.45,342918.58,355156.45,366562.88,373275.35,379872.78,386176.16,392258.79,398094.14,402010.28
BARROWINFURNESS,10438.54,11645.47,14099.17,17208.52,21550.71,27153.56,34046.81,43187.06,51959.07,60504.09,68341.11,75798.91,83644.35,91467.05,98725.03,105517.24,111956.97,118036.85,123463.25,128389.18,132912.17,137047.73,137669.72,138183.37,138552.27,138811.18,138940.48,138687.25
BLACKBURN WITH DARWEN,10523.52,13466.27,17684.42,23144.99,30212.91,39498.68,51068.72,67835.18,83754.93,99346.55,113812.62,128155.34,143137.84,157780.73,171087.6,183286.92,194405.07,204547.34,213485.48,221396.51,228519.43,234764.69,235403.07,235817.84,235889.26,235662.72,235190.56,234326.35
BLACKPOOL,8707.42,11319.16,14844.94,19698.43,25986.16,34199.4,44598.0,60183.74,75228.73,90003.73,104004.67,117699.88,132059.07,146425.3,159719.85,172116.58,183691.8,194422.65,203715.94,212154.52,220033.26,226797.6,227445.33,227926.68,228108.77,228168.41,228035.23,227456.04
BOLTON,21532.63,27478.87,36322.41,47882.81,62922.92,82905.62,107317.56,140392.92,171644.03,202269.67,230265.58,258336.75,287632.1,316239.27,341729.0,364758.15,385468.47,403985.03,420157.6,434092.74,446440.04,457458.66,459670.71,461321.41,462285.55,462829.15,462950.96,462351.65
BURNLEY,22258.2,23858.55,26190.29,29336.76,33669.59,39466.22,46933.07,58379.92,69419.0,80202.93,90251.33,99899.03,109971.22,120017.85,129388.23,138189.22,146483.8,154170.48,161063.02,167285.9,173053.97,178276.82,178780.39,179128.9,179255.95,179254.28,179076.43,178538.56
BURY,13289.14,16896.77,22258.18,29265.31,38315.28,50317.58,65047.16,85563.68,105062.98,124202.61,142118.72,160029.96,178926.4,197638.5,214286.56,229271.81,243065.02,255657.11,266748.86,276601.4,285596.29,293631.06,295115.05,296321.16,297065.62,297573.67,297805.5,297541.58
CARLISLE,40563.57,43156.4,47057.87,52376.19,60567.43,71068.51,83357.75,99371.29,114822.43,129788.77,143786.77,156961.49,171213.37,185375.97,198747.07,211340.16,223305.02,234487.51,244304.8,253245.09,261626.22,269086.34,271827.26,274423.11,276711.3,278796.68,280622.4,281537.43
CHESHIRE EAST,13203.91,16123.28,20829.63,27038.05,35244.79,46216.72,59222.67,76322.76,92653.63,108465.19,123557.4,138031.23,154018.54,170007.34,184531.51,198009.52,210574.74,222158.29,232288.95,241334.22,249660.87,257088.24,258804.6,260019.54,260764.6,261284.56,261621.11,261577.6
CHORLEY,10052.66,12360.32,16056.41,20923.09,27318.64,35886.05,46231.56,59864.87,72874.62,85598.07,97382.33,108853.75,121237.75,133648.78,144918.99,155331.02,164985.8,173780.28,181584.59,188594.86,195067.88,201011.55,202814.17,204368.06,205434.22,206241.64,206836.44,207063.76
COPELAND,16416.64,17870.32,20263.73,23491.91,29331.63,36686.1,45151.71,55863.7,66185.74,76200.67,85468.37,94235.94,103616.99,112971.9,121767.59,130082.1,138042.55,145635.26,152434.87,158706.29,164633.49,170168.75,172636.2,174991.37,177165.1,179193.78,181036.6,182135.49
CRAVEN,1637.53,2149.44,2915.18,3971.89,5476.46,7558.73,10049.38,13260.22,16351.5,19337.41,22013.77,24468.39,27157.81,29844.31,32348.12,34685.51,36888.18,38936.74,40699.25,42299.85,43804.98,45156.79,45611.63,46016.73,46325.71,46574.4,46747.49,46812.1
DERBYSHIRE DALES,4.17,4.86,5.99,7.46,9.3,11.9,14.95,18.6,22.05,25.44,28.67,31.87,35.54,39.26,42.48,45.41,48.15,50.7,52.94,54.96,56.83,58.45,59.24,59.86,60.25,60.57,60.82,60.97
EDEN,8934.42,10872.07,14187.74,18690.64,24421.42,31719.34,40145.84,50143.88,59888.66,69219.53,77766.91,85422.97,93896.97,102213.91,110274.71,117909.45,125193.17,131941.17,137402.53,142411.27,147275.29,151512.79,153387.64,155156.4,156666.5,158054.11,159270.34,159842.89
FYLDE,12816.72,14529.05,17293.12,20886.14,25538.71,31802.86,39364.48,49187.64,58570.08,67733.24,76187.84,84286.58,92990.81,101743.43,109729.38,117117.57,123923.67,130160.97,135663.69,140634.94,145250.0,149373.42,150428.42,151335.33,151939.92,152402.36,152692.47,152726.34
HIGH PEAK,6814.45,8720.52,11610.28,15507.72,20834.3,27962.79,36584.51,48341.1,59554.32,70453.07,80706.35,90717.66,101566.78,112315.08,122045.18,130969.95,139209.05,146736.78,153321.87,159151.72,164442.98,169202.48,170269.58,171067.6,171519.65,171750.84,171767.37,171520.6
HYNDBURN,19731.21,21412.41,23801.2,26931.55,31060.54,36495.43,43443.62,53914.12,63909.62,73703.13,82841.1,91951.21,101439.47,110752.61,119229.8,127034.47,134237.81,140821.54,146680.68,151879.3,156586.12,160814.28,161321.67,161641.04,161721.19,161693.98,161550.01,161101.12
LANCASTER,30399.92,33352.11,38697.07,45506.52,55350.41,67930.75,82849.59,101573.07,119685.69,137435.76,153758.28,169344.79,185851.1,202406.42,217837.97,232354.45,246086.56,258960.46,270507.63,281134.48,291178.37,300319.88,303620.6,306729.87,309414.06,311842.25,314021.16,315172.98
MANCHESTER,31933.91,43894.65,60019.04,80581.71,106483.37,139052.46,177262.63,228606.05,276842.68,324284.65,367864.46,413297.82,459402.39,503564.1,542767.86,577224.56,607385.85,633382.06,655606.28,674469.61,691033.92,704584.97,707016.49,708946.06,710044.53,710781.27,710928.31,710049.66
NORTHUMBERLAND,3.18,3.8,4.89,6.36,8.26,11.05,14.2,17.34,20.27,23.14,25.86,28.57,31.91,35.35,38.14,40.62,42.91,45.05,46.9,48.54,50.02,51.31,52.36,53.25,54.01,54.67,55.11,55.45
OLDHAM,14571.54,19724.11,27081.63,36598.99,48663.59,64231.0,83096.93,108707.53,132891.29,156678.46,178756.43,201525.73,225133.51,248070.02,268521.63,286965.59,303415.04,317857.16,330444.89,341417.05,351183.94,359664.34,361756.36,363497.96,364778.83,365849.2,366643.43,366870.47
PENDLE,4861.2,6035.33,7746.18,10063.07,13280.51,17576.37,23186.74,32095.71,40673.87,49029.37,56878.49,64445.68,72400.35,80318.52,87672.75,94563.6,101048.96,107091.57,112494.21,117381.33,121811.08,125847.3,125972.09,125975.85,125813.09,125527.11,125091.2,124421.0
PRESTON,11110.21,13929.71,18146.11,23610.7,30693.76,40163.02,51805.46,67774.19,83081.64,98051.14,111806.96,125145.68,139226.06,153196.77,165957.51,177646.73,188444.99,198416.35,207105.93,214781.79,221798.87,228075.06,229029.78,229786.65,230268.08,230618.46,230738.27,230429.16
RIBBLE VALLEY,8394.37,9915.59,12321.49,15434.37,19403.5,24679.31,30976.36,39231.07,47111.29,54794.65,61967.82,68911.4,76472.32,84055.49,90961.36,97354.52,103294.02,108707.14,113458.47,117751.39,121700.1,125274.16,126389.18,127305.87,127973.96,128475.47,128825.6,128923.12
RICHMONDSHIRE,6.77,8.66,11.68,15.92,21.51,29.24,38.43,50.02,61.12,71.97,82.26,92.26,103.72,115.27,125.53,134.94,143.77,152.06,159.17,165.57,171.5,176.76,178.92,180.74,182.17,183.2,183.93,184.18
