Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,117.08,190.07,217.11,236.1,251.7,265.55,277.9,289.54,296.62,304.26,309.98,321.87,330.67,336.16,338.87,339.32,337.91,334.93,331.89,328.7,325.2,321.68,318.0,314.15,310.15,305.97,301.61,297.07
BARROWINFURNESS,108.23,175.06,199.1,215.73,229.1,240.62,250.91,260.31,265.65,271.65,275.66,285.33,292.09,295.86,297.32,296.66,294.42,290.87,287.25,283.46,279.34,275.21,270.93,266.49,261.88,257.11,252.15,247.02
BLACKBURN WITH DARWEN,632.6,2176.03,3797.28,5553.9,7438.18,9442.84,11552.97,13777.32,15891.03,18128.83,20317.16,23010.84,25605.42,28013.1,30236.66,32272.37,34109.48,35766.95,37368.9,38909.11,40376.6,41777.97,43105.68,44355.59,45523.33,46604.31,47593.66,48486.21
BLACKPOOL,180.48,292.5,333.69,362.48,386.04,406.83,425.51,443.14,453.75,465.46,474.07,492.22,505.7,514.01,518.2,519.02,516.9,512.51,507.95,503.16,498.03,492.77,487.28,481.54,475.56,469.31,462.8,456.01
BOLTON,1840.86,6657.55,11798.46,17396.43,23418.72,29845.17,36624.35,43785.61,50623.92,57883.41,65013.03,73804.32,82300.55,90250.58,97646.5,104448.92,110666.67,116314.26,121825.19,127165.58,132285.87,137244.2,142000.41,146542.28,150856.97,154930.91,158749.77,162298.36
BURNLEY,125.19,203.68,233.21,254.28,271.71,287.27,300.58,313.16,320.74,328.95,334.97,347.58,356.78,362.34,364.85,364.92,362.89,359.21,355.4,351.34,347.02,342.57,337.91,333.03,327.93,322.6,317.02,311.19
BURY,648.6,2524.91,4569.58,6808.16,9223.11,11807.91,14543.76,17439.97,20218.58,23169.4,26083.7,29673.64,33156.7,36436.14,39496.75,42336.93,44948.44,47338.32,49684.16,51969.26,54181.15,56339.86,58430.14,60447.63,62387.74,64245.64,66016.19,67693.98
CARLISLE,145.67,236.98,271.23,295.63,315.82,333.9,349.43,364.03,372.85,382.5,389.54,404.36,415.19,421.8,424.93,425.19,423.11,419.01,414.85,410.43,405.72,400.92,395.92,390.72,385.3,379.65,373.77,367.65
CHESHIRE EAST,164.74,268.69,308.41,336.99,361.03,382.64,401.83,420.13,431.96,444.78,454.67,473.73,488.37,498.23,504.01,506.57,506.31,503.77,501.22,498.46,495.35,492.13,488.7,485.05,481.19,477.09,472.75,468.16
CHORLEY,243.35,620.59,969.96,1342.79,1743.25,2171.14,2625.33,3107.21,3569.97,4066.27,4557.5,5171.07,5768.14,6333.97,6864.94,7361.17,7823.11,8249.68,8676.51,9095.44,9503.2,9909.85,10309.7,10702.1,11086.33,11461.66,11827.3,12182.42
COPELAND,66.98,108.28,123.11,133.4,141.7,148.98,155.31,161.21,164.7,168.48,171.17,177.13,181.45,184.04,185.11,184.88,183.63,181.6,179.57,177.49,175.2,172.92,170.57,168.15,165.65,163.07,160.41,157.67
CRAVEN,17.98,29.28,33.54,36.59,39.11,41.37,43.4,45.33,46.56,47.88,48.87,50.84,52.33,53.28,53.79,53.94,53.8,53.42,53.02,52.59,52.11,51.62,51.11,50.58,50.01,49.42,48.8,48.14
DERBYSHIRE DALES,0.03,0.05,0.06,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08
EDEN,56.42,91.86,105.24,114.77,122.71,129.79,136.15,142.27,146.12,150.31,153.51,159.74,164.53,167.59,169.29,169.9,169.57,168.45,167.28,166.03,164.68,163.32,161.89,160.4,158.83,157.19,155.48,153.69
FYLDE,72.3,117.96,135.42,148.0,158.58,168.05,176.68,184.94,190.26,196.03,200.51,209.02,215.59,219.99,222.63,223.79,223.68,222.6,221.45,220.19,218.76,217.31,215.76,214.11,212.35,210.49,208.51,206.42
HIGH PEAK,327.94,1015.71,1714.58,2470.53,3282.8,4149.44,5064.82,6031.45,6955.81,7937.35,8901.08,10093.62,11245.81,12323.66,13326.63,14250.96,15096.79,15867.41,16620.69,17349.67,18050.4,18732.58,19389.02,20018.05,20617.95,21186.87,21722.87,22223.9
HYNDBURN,490.73,1564.41,2662.97,3847.63,5113.93,6459.81,7874.37,9362.98,10775.92,12269.79,13731.83,15534.72,17266.08,18872.32,20356.56,21714.55,22938.11,24041.23,25102.67,26123.14,27094.02,28018.91,28892.71,29712.44,30474.94,31176.91,31814.85,32385.02
LANCASTER,226.2,369.13,424.04,463.81,497.34,527.61,553.69,578.52,594.45,611.7,624.66,650.1,669.48,682.08,689.0,691.28,689.72,685.14,680.34,675.15,669.39,663.55,657.37,650.85,643.98,636.75,629.13,621.11
MANCHESTER,5530.13,19254.42,33751.88,49522.38,66464.3,84556.2,102001.19,120419.06,137915.76,156509.94,174732.65,197355.85,219177.67,239541.04,258400.17,275685.09,291385.17,305621.67,319512.18,332953.1,345851.37,358402.91,370471.29,382028.24,393044.02,403487.25,413324.77,422521.49
NORTHUMBERLAND,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OLDHAM,2509.97,7745.62,13070.32,18837.86,25047.82,31694.05,38692.39,46112.99,53221.07,60786.35,68260.17,77509.74,86491.45,94929.68,102818.45,110145.32,116878.21,123063.52,129122.97,135034.01,140749.96,146350.15,151778.4,157022.13,162068.12,166902.43,171510.32,175876.17
PENDLE,90.14,146.95,168.56,184.11,197.05,208.66,218.28,227.31,232.74,238.6,242.83,251.85,258.39,262.24,263.88,263.72,262.03,259.16,256.17,253.02,249.67,246.21,242.58,238.78,234.82,230.67,226.34,221.82
PRESTON,480.17,1135.28,1703.88,2297.73,2924.81,3587.04,4282.16,5014.23,5707.17,6442.33,7160.0,8055.77,8916.26,9715.06,10450.49,11119.92,11721.92,12266.63,12796.17,13307.2,13794.34,14264.71,14713.61,15139.72,15541.63,15917.86,16266.87,16586.98
RIBBLE VALLEY,130.72,290.6,421.3,555.16,695.05,841.58,994.07,1153.58,1302.03,1459.12,1611.13,1801.9,1983.35,2149.32,2300.5,2437.06,2558.65,2666.68,2770.57,2869.93,2963.99,3053.27,3137.19,3215.43,3287.7,3353.67,3412.97,3465.26
