Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,100326.32,96302.68,93679.02,91056.77,89152.41,87457.84,86151.47,85076.09,84015.17,82985.8,82162.28,81370.59,80568.33,79788.46,79354.14,78955.48,78526.21,78055.36,77745.91,77503.63,77213.05,76969.84,76747.14,76563.36,76375.75,76358.5,76369.92,76364.77
BARROWINFURNESS,75405.36,71892.08,69479.72,67149.15,65356.28,63707.48,62450.49,61350.58,60292.01,59322.39,58455.83,57674.38,56871.63,56083.96,55604.45,55138.24,54665.49,54184.27,53821.79,53507.9,53167.09,52856.0,52561.26,52296.4,52025.61,51867.27,51728.04,51575.25
BLACKBURN WITH DARWEN,199819.25,191417.45,186080.69,180721.5,176841.51,173333.56,170752.78,168704.95,166604.79,164724.26,163095.1,161531.71,160000.33,158418.14,157641.37,156956.14,156120.81,155291.24,154767.29,154392.03,153979.53,153599.29,153260.47,153001.81,152708.82,152693.57,152724.59,152709.95
BLACKPOOL,224182.25,214848.48,208809.5,202875.01,198370.79,194472.04,191591.29,189258.48,186941.38,184845.86,183123.91,181521.88,179935.81,178341.3,177628.36,177046.1,176298.64,175474.93,174963.23,174603.09,174169.14,173790.1,173445.71,173174.86,172791.74,172473.51,172158.82,171761.76
BOLTON,432321.66,415415.95,404667.04,394034.24,386337.15,379580.84,374679.96,370863.01,367037.35,363710.62,360925.81,358414.32,355850.89,353320.98,352546.65,351828.62,350898.41,349817.82,349443.49,349363.59,349081.44,348943.71,348880.96,348974.78,348910.8,349215.95,349572.8,349793.11
BURNLEY,144484.34,138691.04,135050.73,131481.92,128876.03,126590.55,124899.26,123598.85,122284.4,121037.35,120067.82,119098.54,118097.39,117126.42,116681.84,116311.45,115848.08,115349.13,115090.1,114901.35,114686.67,114516.4,114375.55,114293.06,114184.43,114283.73,114417.29,114516.42
BURY,289202.25,278305.16,271435.05,264649.0,259688.18,255417.86,252449.67,250151.6,247882.83,245807.83,244219.62,242761.05,241249.6,239803.18,239438.79,239213.16,238797.92,238259.18,238185.67,238280.86,238279.64,238360.33,238488.88,238720.04,238832.89,239160.68,239516.15,239773.92
CARLISLE,192043.54,184409.81,179404.29,174513.2,170853.91,167682.46,165298.14,163316.68,161335.58,159504.57,157942.33,156455.27,154890.01,153353.48,152498.74,151704.33,150830.96,149826.33,149157.02,148570.22,147930.51,147368.25,146842.91,146388.64,145890.44,145598.06,145338.7,145032.19
CHESHIRE EAST,229418.74,221357.65,216505.71,211587.49,208148.11,205174.0,203106.53,201552.41,200024.51,198593.01,197482.84,196429.36,195335.44,194268.81,194031.49,193929.7,193655.08,193259.0,193278.36,193444.77,193532.68,193662.76,193830.39,194079.34,194232.33,194551.07,194891.6,195154.01
CHORLEY,156198.6,151015.48,147954.76,144850.55,142771.15,140918.32,139744.89,138890.63,138021.41,137235.1,136635.49,136130.37,135566.83,134975.09,134996.44,135053.2,135024.42,134923.81,135097.48,135346.63,135539.83,135798.2,136087.0,136438.98,136751.76,137278.55,137840.62,138360.76
COPELAND,73808.13,70428.52,68096.8,65873.23,64158.7,62623.94,61378.36,60319.43,59331.61,58380.61,57564.91,56749.7,55962.02,55215.75,54729.56,54258.47,53764.6,53262.23,52880.81,52551.54,52189.87,51853.38,51532.11,51238.43,50934.86,50721.55,50523.51,50311.18
CRAVEN,28917.81,27922.34,27304.36,26694.08,26270.23,25896.69,25630.39,25435.32,25238.22,25044.97,24886.6,24735.46,24579.39,24415.75,24346.99,24292.33,24222.7,24154.21,24123.18,24109.28,24080.1,24066.64,24058.65,24061.71,24063.56,24118.46,24181.99,24240.25
DERBYSHIRE DALES,23.81,22.85,22.23,21.61,21.16,20.76,20.46,20.22,19.98,19.76,19.57,19.39,19.21,19.02,18.93,18.85,18.76,18.66,18.6,18.55,18.5,18.46,18.42,18.39,18.36,18.36,18.36,18.37
