Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,10853.06,15097.68,20413.19,27222.77,36063.48,48835.05,63681.75,79386.23,95208.73,111372.36,127228.1,142885.09,160718.75,178460.45,193548.95,206915.54,218474.44,228631.15,237216.38,244423.48,250419.97,255347.11,259286.63,262227.91,264495.69,266193.75,267445.5,268355.72
BARROWINFURNESS,5647.62,7661.01,10313.04,13629.63,17877.34,24007.68,30988.6,38162.49,45189.26,52249.39,59060.71,65773.34,73696.53,81681.75,88429.3,94433.83,99657.45,104306.31,108278.0,111652.58,114498.37,116870.51,118793.8,120247.22,121387.07,122259.1,122913.74,123398.44
BLACKBURN WITH DARWEN,14204.59,18494.59,24377.96,32076.01,42200.2,56950.59,74238.61,92779.92,111840.22,131597.12,151169.93,170566.23,192331.21,213817.94,232163.56,248376.59,262379.36,274642.96,285001.9,293696.5,300946.21,306937.14,311775.6,315459.11,318358.91,320608.3,322334.55,323657.98
BLACKPOOL,12946.21,17017.24,22354.78,29153.04,37868.67,50383.03,64544.93,79017.56,93134.26,107258.47,120838.26,134206.49,150021.09,165974.69,179472.59,191513.07,202026.35,211424.96,219493.79,226381.56,232215.65,237097.84,241070.86,244087.43,246459.87,248282.66,249654.84,250673.9
BOLTON,29182.48,38411.39,50564.16,66478.84,87375.71,117682.68,153194.99,191293.37,230448.61,270974.04,311102.61,350837.93,395305.32,439174.75,476672.26,509832.61,538497.78,563615.26,584848.77,602681.5,617550.99,629829.5,639732.44,647258.99,653163.68,657722.19,661201.13,663850.56
BURNLEY,8515.1,11695.65,15652.85,20716.32,27291.68,36753.37,47783.51,59542.44,71540.94,83891.36,96070.85,108113.51,121656.94,135050.24,146489.63,156620.32,165392.3,173099.28,179629.15,185125.3,189716.1,193510.37,196570.0,198890.78,200706.67,202101.78,203159.43,203957.47
BURY,24278.63,28058.78,35403.35,45556.56,59225.71,79682.3,103578.79,128990.09,154959.08,181920.35,208584.52,235082.05,265345.57,295385.89,320905.12,343434.15,362863.0,379903.91,394298.52,406394.86,416515.28,424928.24,431774.22,437025.57,441218.57,444530.76,447121.18,449148.7
CARLISLE,11346.64,15012.28,20516.59,28246.59,39059.58,55357.06,75959.07,100121.51,127051.73,156364.7,186574.23,216748.39,248330.21,278576.69,304707.24,327463.13,346744.19,363034.12,376359.33,387152.36,395827.27,402754.19,408196.96,412290.28,415461.71,417902.79,419801.13,421304.66
CHESHIRE EAST,20993.19,23242.46,28272.17,35448.28,45014.13,59274.17,75274.37,91324.92,106702.48,122013.23,136612.49,151030.52,168710.11,186748.84,201885.46,215390.66,227179.62,237772.54,246886.62,254694.32,261345.01,266953.47,271555.82,275072.03,277876.9,280068.37,281747.18,283018.25
CHORLEY,13883.67,17129.52,22232.21,29291.82,38894.93,53205.68,70433.65,89493.88,109671.62,131003.0,152475.61,173836.73,197230.22,220084.27,239660.0,256854.34,271583.14,284303.14,294910.01,303692.0,310916.35,316814.47,321533.38,325108.22,327909.73,330077.84,331750.4,333047.95
COPELAND,7339.42,10144.26,13625.3,17951.97,23450.33,31309.24,40195.91,49259.13,58055.57,66816.57,75214.65,83469.87,93266.31,103168.4,111541.78,119017.25,125548.17,131392.43,136411.86,140698.36,144328.27,147362.47,149826.47,151689.5,153147.82,154259.17,155087.85,155695.46
CRAVEN,2275.12,2743.72,3490.82,4535.49,5917.87,7954.9,10275.03,12639.85,14913.33,17171.95,19336.64,21467.02,24032.87,26643.17,28831.76,30777.76,32462.17,33955.12,35219.04,36281.46,37164.63,37886.57,38456.62,38868.35,39176.88,39394.75,39543.73,39639.84
DERBYSHIRE DALES,4.5,5.41,7.19,9.83,13.63,19.48,26.97,35.87,45.92,56.96,68.41,79.87,91.81,103.2,113.05,121.59,128.81,134.88,139.81,143.78,146.96,149.49,151.48,152.98,154.15,155.06,155.78,156.36
EDEN,7723.47,10395.14,14603.17,20921.92,30181.36,44412.91,63301.63,86639.68,113761.07,143943.13,175582.71,207280.92,239392.37,269683.72,296033.81,318834.59,337996.05,353908.29,366724.61,376917.61,384947.85,391234.46,396094.96,399731.74,402522.83,404665.1,406349.37,407715.28
FYLDE,9458.41,11236.69,14242.08,18188.05,23305.86,30820.87,39194.12,47508.92,55372.07,63119.07,70436.13,77640.41,86593.12,95774.78,103463.46,110340.84,116362.89,121802.91,126504.46,130551.6,134014.65,136946.23,139358.87,141204.73,142678.99,143831.44,144712.87,145377.88
HIGH PEAK,9509.06,11185.69,14262.87,18501.75,24185.76,32682.73,42565.58,52978.28,63464.67,74247.84,84843.53,95352.14,107507.06,119646.03,129917.16,138993.07,146815.63,153682.45,159473.4,164329.49,168376.94,171720.42,174415.74,176448.42,178045.45,179273.81,180208.21,180914.89
HYNDBURN,7425.08,10075.89,13619.19,18274.54,24486.7,33601.39,44580.38,56765.93,69705.49,83384.3,97161.56,110854.83,125749.4,140263.32,152722.58,163670.12,173056.18,181161.48,187926.26,193530.66,198142.07,201906.33,204917.13,207200.32,208986.97,210368.75,211433.35,212258.27
LANCASTER,13866.81,17906.68,23722.39,31754.93,42698.64,58911.38,78720.93,101118.68,125312.48,151163.91,177431.04,203590.62,231642.88,258808.45,282186.2,302665.73,320153.84,335141.51,347562.54,357768.38,366093.15,372831.29,378182.06,382221.55,385365.49,387784.88,389648.68,391098.61
MANCHESTER,39990.39,51345.29,66818.28,86761.93,112555.82,149800.58,192297.03,236262.95,279830.65,323915.25,366683.23,408889.71,458058.88,507335.82,549161.16,586383.08,618815.57,647682.48,672401.16,693452.2,711258.9,726165.09,738325.9,747626.63,754993.43,760727.85,765113.83,768443.19
NORTHUMBERLAND,0.73,0.87,1.12,1.45,1.88,2.52,3.23,3.92,4.55,5.16,5.73,6.28,7.0,7.75,8.36,8.91,9.39,9.83,10.2,10.51,10.78,11.0,11.18,11.3,11.4,11.47,11.52,11.55
OLDHAM,19995.34,27413.93,36611.87,48384.3,63675.86,85656.31,111319.69,138775.84,166922.32,195973.83,224684.55,253086.22,284874.73,316245.03,343080.03,366840.15,387417.62,405488.97,420804.72,433699.61,444476.71,453393.73,460598.02,466084.4,470392.12,473721.69,476262.78,478197.12
PENDLE,5907.64,7491.53,9912.3,13027.64,17078.76,23033.41,29834.59,36823.65,43663.7,50558.33,57220.11,63799.97,71628.72,79537.42,86196.31,92108.77,97233.35,101780.42,105648.06,108920.97,111672.13,113960.27,115812.29,117206.83,118301.46,119138.63,119768.24,120235.5
PRESTON,15670.15,20138.51,26194.91,34300.86,45046.72,60706.15,79152.31,99067.53,119663.64,141067.21,162334.85,183410.19,206856.94,229931.58,249673.07,267110.74,282161.42,295311.79,306400.9,315688.88,323411.91,329772.1,334889.9,338773.85,341815.04,344158.61,345946.22,347308.33
RIBBLE VALLEY,7970.23,9413.93,11924.27,15391.07,20024.31,26917.22,34884.15,43202.74,51489.94,59939.22,68189.17,76354.86,85877.49,95424.25,103494.49,110642.46,116820.36,122266.9,126877.2,130758.08,134002.49,136686.87,138850.66,140477.99,141751.21,142722.91,143454.14,143998.85
RICHMONDSHIRE,13.12,17.13,23.24,32.32,45.39,65.31,91.18,122.41,158.03,197.26,238.09,278.92,320.81,360.57,395.09,425.05,450.34,471.5,488.67,502.44,513.38,522.02,528.73,533.75,537.61,540.55,542.84,544.67
ROCHDALE,18521.38,23653.72,31275.11,41340.46,54718.06,74434.79,97771.65,123080.08,149391.53,176911.45,204354.6,231612.04,261997.53,291896.0,317425.66,339919.45,359268.52,376117.09,390269.44,402081.14,411881.81,419952.58,426458.98,431413.07,435322.03,438368.16,440724.53,442551.5
ROSSENDALE,7158.15,8563.72,11030.66,14326.88,18692.58,25195.42,32679.45,40443.76,48133.28,55956.88,63571.19,71110.3,79994.17,88930.69,96467.42,103144.98,108919.29,114022.68,118350.58,122003.04,125067.67,127615.6,129681.02,131243.87,132477.67,133430.82,134157.01,134705.79
SALFORD,21772.76,27104.89,35587.76,47085.84,62628.71,85778.43,113590.43,144317.43,176852.9,211287.61,245949.87,280452.75,318326.22,355342.6,387034.15,414867.29,438714.0,459326.19,476530.67,490792.92,502550.74,512181.92,519921.09,525817.89,530473.19,534114.2,536952.52,539180.1
SEFTON,0.55,0.63,0.8,1.04,1.36,1.85,2.42,3.02,3.61,4.22,4.82,5.41,6.1,6.8,7.38,7.9,8.34,8.73,9.05,9.32,9.55,9.73,9.88,9.98,10.07,10.13,10.17,10.2
SOUTH LAKELAND,14353.78,17472.87,22525.96,29570.99,39041.21,53125.15,69656.15,87284.26,105167.09,123593.84,141787.23,159814.28,180365.01,200804.77,218139.73,233437.53,246585.57,258055.29,267665.52,275659.36,282251.33,287623.05,291884.51,295033.04,297445.69,299232.95,300541.76,301487.31
SOUTH RIBBLE,13703.94,16958.75,22194.77,29362.78,39084.92,53595.12,71031.79,90263.4,110565.53,132013.15,153579.08,175037.55,198645.73,221747.32,241503.82,258853.03,273707.27,286538.83,297235.57,306090.48,313375.79,319326.43,324089.35,327695.84,330525.53,332717.9,334411.03,335725.32
ST HELENS,5172.72,6824.65,9197.74,12384.39,16703.49,23115.23,30943.15,39769.38,49281.81,59438.6,69745.62,80011.24,91062.07,101778.38,110991.19,119062.3,125955.8,131870.36,136777.43,140816.94,144120.79,146804.61,148944.92,150568.45,151840.31,152827.85,153594.86,154196.53
STAFFORDSHIRE MOORLANDS,1.07,1.26,1.57,2.02,2.6,3.47,4.47,5.49,6.51,7.53,8.52,9.51,10.66,11.82,12.8,13.67,14.43,15.1,15.67,16.15,16.55,16.88,17.15,17.35,17.51,17.63,17.71,17.78
STOCKPORT,30890.79,39086.07,50579.11,65439.72,84646.11,112404.94,143912.3,176260.41,208045.58,240042.67,270939.28,301409.75,337269.55,373348.28,403909.62,431139.44,454894.78,476099.38,494291.42,509814.39,522969.18,533997.2,543000.31,549878.26,555324.21,559556.11,562783.4,565221.36
TAMESIDE,19302.55,24783.1,32819.61,42943.88,55973.53,74974.23,96516.92,118499.9,139922.04,161436.26,182135.99,202565.29,226987.1,251690.77,272513.48,291048.03,307183.91,321588.95,333927.19,344446.93,353363.55,360847.72,366966.98,371638.23,375352.14,378248.15,380466.29,382149.19
TRAFFORD,27851.37,32038.13,40322.45,52194.19,68557.02,93231.02,122887.63,155641.25,190392.11,227265.67,264418.64,301445.13,342159.19,381951.2,416007.64,445907.23,471522.78,493671.67,512170.4,527521.94,540202.7,550622.2,559029.02,565471.3,570592.91,574639.72,577825.92,580353.73
WARRINGTON,3141.85,3634.94,4611.73,5990.35,7867.08,10689.96,14032.12,17646.87,21395.88,25324.27,29243.13,33142.43,37527.83,41855.56,45538.27,48778.68,51559.29,53976.94,56001.68,57686.62,59081.41,60228.12,61151.25,61851.79,62404.91,62835.7,63169.27,63428.15
WEST LANCASHIRE,12395.43,14903.95,19309.64,25527.37,34071.69,46923.58,62498.22,79852.52,98346.19,118006.51,137875.83,157671.77,179291.86,200380.31,218432.34,234253.72,247763.11,259378.8,269018.33,276957.16,283454.13,288734.05,292941.72,296117.4,298601.48,300520.31,302002.01,303154.42
WIGAN,31908.36,41155.21,54612.36,72054.05,94948.98,128550.23,167689.25,209156.96,251196.97,294485.03,337097.42,379310.61,427546.91,475505.77,516245.4,552268.68,583374.27,610689.49,633776.16,653177.09,669379.01,682788.47,693624.97,701845.95,708320.16,713329.12,717159.41,720076.97
WYRE,12357.81,15236.94,19716.02,25591.02,33250.28,44488.46,57250.76,70279.58,82953.89,95668.47,107902.89,119975.52,134421.37,149046.52,161360.83,172317.08,181841.28,190327.37,197575.31,203734.38,208932.51,213271.6,216795.2,219457.73,221552.88,223160.44,224371.53,225271.56
