Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,3629.93,6205.9,8839.98,13395.76,19428.21,25254.13,33708.1,53300.92,72752.58,91772.18,110473.33,128887.8,146171.79,163370.37,180868.4,197546.84,213279.29,227734.81,239378.74,249978.2,260001.01,268663.72,265746.66,263142.28,260466.95,257752.71,254902.61,251602.19
BARROWINFURNESS,1569.3,2645.65,3681.01,5470.12,8209.55,10841.12,15562.0,28546.69,41312.01,53786.7,65950.37,77892.29,89218.39,100334.66,111482.68,122127.41,132248.66,141770.66,150088.48,157590.16,164446.12,170775.3,168250.78,165819.18,163326.04,160788.04,158172.13,155328.95
BLACKBURN WITH DARWEN,3214.41,5330.78,7513.51,11042.16,16512.15,21798.87,30732.28,53986.42,76606.49,98478.91,119527.45,139848.68,158906.83,177371.17,195705.56,213008.29,228997.08,243443.09,255750.22,266445.95,275983.17,284311.61,278735.82,273398.24,268039.59,262700.21,257318.61,251642.01
BLACKPOOL,5321.03,8284.3,11005.69,15565.59,21875.97,28054.66,38056.79,62486.22,86837.71,110815.2,134403.72,157655.15,179683.27,201450.49,223496.81,244641.62,264459.96,282855.64,298537.66,312922.45,326545.62,338310.0,334818.89,331635.96,328407.93,325251.7,321974.93,318239.57
BOLTON,6679.7,10379.29,14397.65,21289.88,32085.17,42550.19,59056.28,99612.74,138601.52,175834.26,211177.68,244879.48,276140.03,306041.87,335281.63,362265.06,386574.29,407782.27,425027.96,438889.06,450406.5,460194.97,448455.74,437098.04,425831.49,414746.48,403724.5,392466.85
BURNLEY,2265.62,3845.72,5471.42,8090.71,12123.57,16125.85,22955.39,40789.48,58457.6,75774.57,92781.2,109461.51,125345.33,141085.38,156922.74,172167.13,186579.6,199843.6,211623.51,222272.66,232128.23,241106.4,238277.06,235594.03,232829.65,230015.53,227103.8,223858.17
BURY,4362.7,6826.03,9526.46,14095.28,20956.01,27689.62,38646.27,65755.73,92250.89,117921.66,142791.12,166912.12,189687.65,211941.06,234000.71,254887.28,274161.06,291546.89,306380.28,319264.85,330850.14,341169.67,335490.01,330043.7,324589.62,319202.21,313769.54,308038.44
CARLISLE,3704.92,6163.41,8848.51,13386.23,19491.31,25448.68,34041.81,53480.57,72776.13,91728.2,110318.3,128627.36,145904.93,163053.79,180452.39,197066.18,212698.75,227043.07,238823.17,249384.71,259312.06,268060.53,265233.92,262657.16,260023.36,257385.67,254637.25,251507.51
CHESHIRE EAST,3440.59,5631.83,8471.51,13003.43,19271.93,25475.42,34799.66,56241.07,77522.28,98472.14,119087.2,139417.63,159025.28,178625.56,198334.76,217334.95,235092.72,251342.31,265441.59,278229.81,290171.2,301310.0,299067.55,296953.92,294777.44,292613.9,290340.87,287754.64
CHORLEY,2383.86,4258.5,6769.24,10522.56,15666.51,20719.73,28185.71,45123.89,61815.96,78138.06,94061.12,109722.04,124745.42,139773.68,154890.71,169321.67,182683.24,194571.36,204902.71,214161.22,222708.83,230771.08,228729.65,226792.0,224805.44,222802.06,220724.16,218419.47
COPELAND,1797.64,2963.85,4177.32,6435.12,9668.14,12754.43,17547.43,29551.68,41371.41,52890.83,64152.82,75146.59,85576.6,95861.47,106179.68,116003.5,125298.92,134019.63,141261.21,147696.11,153594.6,159016.53,156807.54,154711.7,152573.88,150413.97,148182.77,145748.33
CRAVEN,626.19,1095.17,1604.39,2481.05,3653.02,4781.57,6365.55,10040.45,13697.38,17288.25,20816.95,24301.72,27589.77,30876.49,34208.9,37390.7,40375.71,43111.86,45322.46,47333.78,49233.26,50948.21,50474.16,50052.93,49614.95,49165.33,48685.65,48120.47
DERBYSHIRE DALES,0.48,0.8,1.1,1.61,2.29,2.96,4.1,7.02,9.93,12.79,15.61,18.4,21.02,23.62,26.27,28.8,31.2,33.41,35.3,37.06,38.75,40.19,39.75,39.37,38.96,38.55,38.12,37.61
EDEN,2750.43,4537.23,6556.45,10626.65,15443.92,20121.81,26074.69,37605.81,49113.1,60431.16,71559.31,82536.29,92841.14,103089.97,113540.09,123412.33,132573.28,141074.41,146773.16,152009.66,157059.99,161203.7,159716.95,158438.25,157127.64,155811.38,154421.23,152762.38
FYLDE,2608.24,4322.97,6404.61,9393.79,13391.29,17346.22,23078.19,35743.35,48296.32,60661.67,72827.18,84839.25,96370.08,107945.87,119648.52,130829.66,141071.46,150313.31,158376.46,165756.98,172691.99,178966.29,177771.52,176689.02,175577.63,174494.73,173345.65,171984.88
HIGH PEAK,2062.71,3516.71,5152.89,7803.95,11719.6,15540.7,21572.59,36447.67,51046.46,65241.84,78998.56,92413.73,105096.19,117553.75,129973.78,141731.16,152611.36,162426.84,170826.49,178190.69,184831.42,190905.26,187972.21,185151.42,182288.15,179404.8,176456.42,173301.72
HYNDBURN,1792.27,2948.42,3993.1,5788.74,8737.1,11588.42,16923.46,31774.57,46226.19,60161.35,73581.45,86508.88,98597.7,110285.81,121844.03,132742.33,142804.81,151927.3,159754.14,166594.64,172633.24,177965.6,174133.59,170428.3,166702.65,162977.95,159227.68,155305.09
LANCASTER,4337.11,7098.38,10020.05,14731.65,21293.72,27739.14,37594.54,61038.64,84392.62,107352.79,129870.03,152061.83,173172.7,194172.41,215381.66,235654.21,254643.75,272141.04,287114.47,300759.07,313623.13,325035.66,321998.1,319238.49,316406.27,313564.84,310584.07,307143.58
MANCHESTER,19815.96,28510.15,37776.06,52105.43,73114.56,93408.32,122125.24,185827.49,246409.2,303241.15,356243.48,405811.91,450131.3,491718.95,531833.71,567334.09,597272.74,621155.0,638105.66,649474.94,657500.34,660686.01,637432.07,615299.94,593629.93,572545.19,551755.83,530611.55
NORTHUMBERLAND,0.1,0.17,0.24,0.41,0.6,0.79,1.04,1.51,1.97,2.43,2.88,3.33,3.75,4.16,4.58,4.97,5.34,5.7,5.9,6.1,6.29,6.44,6.37,6.31,6.24,6.17,6.1,6.02
