Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,315715.01,314510.12,316825.98,316870.9,315139.7,313106.07,310767.39,308136.35,307165.24,306006.22,304659.34,303126.81,301429.03,299562.0,297543.99,295381.29,293056.73,290581.03,287964.38,285225.79,282359.45,279352.86,276231.47,272993.63,269643.68,266185.88,262624.35,258963.11
BARROWINFURNESS,246667.53,245767.55,247907.83,248040.22,246656.32,245015.28,243161.65,241094.18,240274.72,239322.29,238210.05,236951.04,235545.13,234011.96,232381.91,230641.87,228786.81,226820.33,224751.08,222571.62,220286.43,217850.75,215331.53,212713.19,210000.21,207196.89,204307.41,201335.84
BLACKBURN WITH DARWEN,347793.52,346036.32,348114.01,347761.71,345531.65,343039.29,340299.67,337316.78,336125.75,334771.62,333263.28,331598.05,329762.49,327776.07,325667.08,323446.97,321089.78,318599.81,315981.44,313227.79,310341.03,307266.84,304083.26,300770.76,297333.51,293775.58,290100.96,286313.55
BLACKPOOL,305387.26,303331.86,304388.66,303612.56,301400.97,299004.33,296437.02,293694.94,292512.81,291209.48,289799.94,288267.09,286609.62,284835.43,282964.03,280992.9,278904.16,276692.96,274370.05,271931.08,269378.59,266728.88,263972.22,261115.37,258161.29,255112.89,251972.99,248744.4
BOLTON,592681.87,589891.55,593250.7,592740.7,589227.93,585236.79,580758.33,575867.78,573999.85,571866.15,569461.55,566775.86,563809.8,560606.8,557211.4,553634.18,549831.36,545806.9,541572.54,537129.74,532466.44,527481.44,522319.83,516942.96,511356.89,505567.55,499580.73,493402.16
BURNLEY,263757.57,263042.11,265246.67,265552.66,264370.58,262936.76,261266.4,259391.91,258892.83,258225.35,257412.76,256469.62,255354.8,254112.75,252758.2,251299.39,249716.69,248013.84,246186.91,244241.73,242175.48,239991.58,237698.08,235296.22,232789.14,230179.9,227471.5,224666.86
BURY,374542.46,373596.73,376692.63,377225.8,375733.06,373947.12,371852.31,369440.12,368941.65,368239.58,367372.08,366313.76,365040.04,363622.03,362050.88,360327.03,358429.69,356355.31,354113.0,351701.18,349116.02,346354.84,343436.95,340360.68,337129.85,333748.21,330219.43,326547.16
CARLISLE,426365.66,424623.34,427779.88,427819.2,425388.15,422539.69,419290.33,415639.12,414197.18,412505.69,410514.96,408252.62,405749.94,403023.88,400110.24,396997.45,393686.13,390190.09,386523.02,382685.21,378675.21,374456.99,370094.42,365575.28,360905.84,356092.18,351140.23,346055.74
CHESHIRE EAST,281628.59,281679.15,284951.31,286156.95,285717.79,284998.7,284026.81,282728.24,282840.41,282763.85,282511.57,282053.95,281379.96,280539.15,279535.66,278406.88,277119.76,275669.27,274072.36,272332.52,270453.58,268423.94,266261.83,263966.73,261542.09,258991.27,256317.57,253524.23
CHORLEY,204669.35,204268.0,205938.5,206281.39,205559.93,204635.26,203523.99,202213.85,201932.03,201525.3,200992.86,200338.94,199563.82,198694.11,197742.64,196687.38,195534.04,194283.19,192944.55,191518.05,190001.57,188406.41,186726.67,184966.51,183127.79,181212.38,179222.09,177158.72
COPELAND,142258.27,141515.64,142347.18,142157.68,141186.33,140102.17,138890.81,137566.36,136942.03,136237.53,135463.41,134606.69,133677.36,132694.13,131659.8,130568.78,129420.12,128220.45,126972.39,125674.6,124324.11,122895.85,121429.94,119916.26,118357.08,116754.61,115110.97,113428.23
CRAVEN,52052.53,51936.21,52379.44,52475.53,52276.97,52036.72,51741.03,51403.84,51332.08,51231.48,51099.0,50932.49,50729.21,50499.77,50240.27,49959.34,49650.77,49314.63,48953.57,48567.12,48155.75,47725.36,47270.9,46794.77,46297.57,45779.93,45242.42,44685.63
DERBYSHIRE DALES,174.55,174.3,176.14,176.64,176.1,175.39,174.5,173.44,173.33,173.1,172.77,172.3,171.7,171.0,170.19,169.3,168.32,167.24,166.07,164.81,163.47,162.04,160.52,158.93,157.26,155.51,153.68,151.79
EDEN,245322.03,244226.12,245828.74,245734.43,244292.9,242635.83,240739.19,238627.97,237819.67,236802.55,235639.99,234355.7,232917.06,231341.43,229671.05,227895.9,226005.21,223994.17,221886.13,219675.32,217371.16,214977.4,212492.46,209921.54,207267.74,204534.07,201723.46,198838.78
FYLDE,219906.49,219938.48,222429.82,223328.84,222965.14,222364.69,221518.94,220431.37,220481.81,220369.82,220091.96,219675.67,219096.16,218372.09,217527.9,216566.26,215462.5,214234.39,212889.54,211431.48,209854.51,208204.09,206438.83,204574.34,202612.94,200556.92,198408.52,196169.97
HIGH PEAK,231103.09,230710.21,232941.0,233510.47,232788.74,231858.47,230696.59,229330.94,229162.02,228844.52,228390.79,227779.67,227009.96,226101.0,225071.23,223935.25,222682.12,221312.34,219830.46,218241.93,216540.33,214729.48,212817.16,210804.05,208692.83,206486.13,204186.52,201796.51
HYNDBURN,199431.12,198456.92,199602.49,199408.12,198190.76,196810.89,195295.13,193638.73,193000.04,192248.07,191418.8,190496.79,189489.84,188405.66,187255.92,186040.25,184742.22,183368.98,181917.66,180387.33,178778.3,177078.94,175310.82,173469.63,171557.5,169576.51,167528.71,165416.11
