Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,493300.86,514333.74,534916.18,587289.24,642567.26,673285.54,700758.08,743313.77,822274.68,859430.19,900560.35,936935.09,975418.55,1010969.77,1044488.55,1075357.2,1102325.92,1125931.6,1144679.52,1159217.62,1171387.1,1181170.67,1178206.92,1174382.14,1169641.94,1164491.46,1158616.64,1151965.24
BARROWINFURNESS,378542.31,394682.23,410476.49,450665.8,493084.27,516656.43,537737.93,570393.72,630985.64,659497.51,691059.4,718972.14,748503.04,775783.84,801505.01,825192.56,845887.44,864001.64,878388.15,889544.2,898882.64,906390.22,904115.94,901180.94,897543.47,893591.16,889083.03,883978.97
BLACKBURN WITH DARWEN,588155.72,627704.62,660027.63,708577.7,778832.95,822901.53,857566.11,912939.23,963216.63,1016192.41,1063948.68,1107337.34,1152494.89,1194131.14,1233059.88,1268568.21,1299625.1,1327338.25,1349834.52,1368984.82,1385331.86,1398958.94,1397394.43,1395000.87,1391515.97,1387417.68,1382564.39,1376752.76
BLACKPOOL,645442.04,682022.29,743184.0,804951.13,836103.7,882639.47,920665.58,976271.13,1047157.76,1110721.12,1155446.87,1199549.06,1247732.54,1291999.15,1333741.42,1372201.72,1406185.73,1436047.0,1461587.17,1483885.03,1503332.09,1520217.13,1520071.42,1518511.54,1515761.76,1512343.67,1508088.92,1502743.16
BOLTON,1168348.1,1228018.02,1276471.72,1364462.55,1445376.49,1500430.57,1572191.8,1670549.26,1771061.62,1862932.29,1951520.42,2038567.59,2127473.7,2211653.5,2288969.26,2358283.15,2417675.26,2469178.89,2513186.27,2550396.95,2581327.45,2607840.76,2609266.87,2608609.73,2605822.81,2601815.3,2596163.22,2589119.43
BURNLEY,359621.02,377222.0,396149.0,415262.09,442778.1,466193.98,494210.74,527960.5,563160.12,608634.06,646376.04,680259.71,718337.62,752272.25,784644.33,814826.2,842504.27,861265.65,877400.82,891410.55,903537.63,914106.52,913092.61,911488.34,909200.57,906561.62,903448.51,899680.08
BURY,780126.53,820695.7,853767.74,912715.33,966853.84,1003582.64,1051408.5,1116894.99,1183794.11,1245354.43,1304408.68,1362326.36,1421606.58,1477604.02,1529037.47,1575148.13,1614663.72,1648919.98,1678187.73,1702937.16,1723507.65,1741130.96,1742049.78,1741586.18,1739705.69,1737014.91,1733230.77,1728513.86
CARLISLE,539347.52,562343.71,584847.39,642109.16,702547.05,736132.69,766169.63,812697.64,899029.07,939652.83,984622.25,1024392.35,1066468.0,1105337.72,1141985.28,1175735.32,1205221.41,1231030.54,1251528.47,1267423.62,1280729.04,1291425.85,1288185.45,1284003.65,1278820.98,1273189.73,1266766.54,1259494.27
CHESHIRE EAST,539318.05,555058.32,578085.36,608923.19,629776.94,654867.42,688162.67,763894.12,815434.99,908781.68,945356.4,980425.94,1041948.9,1077598.31,1110941.81,1141605.21,1168630.17,1192406.18,1212978.28,1231245.65,1246533.69,1259731.98,1259980.01,1259061.36,1257161.67,1254783.08,1251619.31,1247601.02
CHORLEY,416341.72,439993.27,478829.88,518552.5,539024.76,568750.65,593345.07,629213.38,674651.69,715394.83,744320.6,772837.94,803926.2,832509.94,859439.06,884227.81,906107.35,925323.7,941759.73,956097.12,968583.58,979420.47,979344.39,978362.52,976613.97,974434.66,971714.05,968297.0
