Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,35607.01,38137.65,44142.22,50621.72,57512.02,67924.91,80602.95,91451.12,101897.0,112135.31,118403.2,122426.4,126616.01,130348.49,134331.06,138466.0,142863.16,147133.41,151926.68,156645.93,161724.37,166566.26,171195.36,175882.67,180137.65,184309.46,188281.09,190876.07
BARROWINFURNESS,14338.42,15097.82,19334.17,23792.55,28696.6,35391.5,43132.46,47793.13,52241.44,56515.27,58874.88,60047.03,61255.45,62334.45,63481.84,64661.73,65905.48,67124.95,68474.87,69809.79,71235.88,72599.48,73912.51,75239.77,76456.42,77652.6,78795.81,79561.37
BLACKBURN WITH DARWEN,11224.1,13061.95,15797.6,18784.98,21941.33,26850.66,32903.24,38917.98,44624.72,50275.77,53727.06,56147.44,58640.95,60488.57,62703.18,64945.89,67332.64,69665.82,72337.3,75004.75,77980.08,80701.18,83327.43,85999.01,88295.41,90554.33,92600.45,93935.87
BLACKPOOL,4637.87,5729.72,7557.77,9538.36,11594.36,14883.18,18997.6,23116.64,27091.81,31023.5,33521.89,35264.32,37079.48,38665.87,40378.65,42156.11,44050.32,45886.06,47958.88,49999.89,52207.88,54302.48,56302.1,58330.64,60155.87,61943.22,63637.12,64735.81
BOLTON,24865.71,27632.27,32705.52,38376.14,45076.03,56775.17,71495.47,85496.13,98887.36,111877.36,119376.48,123645.54,128058.29,131889.22,136036.77,140305.29,144826.24,149239.48,154176.2,159055.33,164313.48,169302.45,174090.02,178943.04,183328.59,187629.36,191711.25,194406.62
BURNLEY,6252.22,7400.54,9297.9,11399.81,13759.84,17797.75,22888.93,27931.42,32768.35,37499.19,40340.54,42120.53,43966.58,45560.26,47292.68,49081.06,50980.61,52829.13,54908.76,56962.18,59184.28,61287.62,63303.03,65346.4,67184.75,68988.29,70692.83,71809.39
BURY,8754.04,10196.18,12504.89,15057.37,17850.52,22488.52,28302.35,34069.24,39589.13,45007.76,48289.24,50420.42,52628.64,54470.27,56516.44,58620.39,60856.83,63035.1,65496.1,67932.28,70588.15,73081.7,75475.08,77902.79,80064.31,82186.61,84172.44,85471.62
CARLISLE,18521.1,20414.59,23567.5,27041.22,30873.68,37323.76,45436.71,53467.52,61179.38,68739.72,73333.14,76281.08,79341.67,81987.17,84861.08,87831.54,90988.62,94058.24,97516.1,100929.09,104625.27,108123.6,111474.91,114871.95,117927.65,120927.12,123759.22,125611.18
CHESHIRE EAST,9926.52,11245.86,13333.26,15573.39,17830.52,21246.26,25461.72,29694.37,33756.79,37807.61,40417.35,42355.06,44367.31,46002.65,47850.12,49751.58,51779.13,53747.89,55992.57,58215.4,60659.79,62938.54,65124.55,67343.75,69298.27,71219.83,72998.98,74151.85
CHORLEY,9088.61,10532.32,12945.8,15613.88,18564.95,23388.87,29388.59,35160.78,40661.82,46050.1,49250.84,51282.33,53378.91,55062.7,56978.84,58933.82,61011.14,63040.16,65333.61,67610.74,70103.45,72426.76,74658.3,76926.94,78924.74,80879.81,82701.18,83894.39
COPELAND,3921.18,4890.87,7044.57,9445.47,12341.99,17175.62,23134.47,28297.94,33190.59,37902.56,40472.87,41782.67,43121.91,44181.6,45396.6,46622.98,47914.94,49189.38,50614.99,52038.92,53595.14,55042.19,56444.66,57867.32,59125.69,60363.86,61512.61,62284.52
CRAVEN,351.25,789.15,1473.12,2283.86,3374.25,5482.04,8172.2,10787.03,13265.76,15642.28,16915.28,17518.48,18134.56,18635.67,19199.82,19770.11,20369.04,20960.96,21619.0,22276.01,22989.7,23657.55,24306.13,24962.69,25550.11,26129.64,26670.31,27036.62
DERBYSHIRE DALES,5.68,6.0,6.54,7.11,7.55,8.04,8.64,9.27,9.91,10.57,11.12,11.65,12.21,12.72,13.26,13.82,14.43,15.02,15.68,16.33,17.04,17.71,18.34,18.99,19.57,20.15,20.69,21.03
EDEN,17841.81,20486.11,26616.18,33165.64,39684.3,49054.69,60419.64,70294.25,79897.33,89418.83,95648.32,100093.27,104752.06,109051.09,113545.81,118252.04,123273.85,128126.79,133579.5,138923.22,144643.84,150140.5,155368.55,160662.22,165501.32,170233.33,174779.01,177719.72
FYLDE,32662.64,33649.35,35778.79,38111.57,40801.38,45162.14,50526.56,55244.6,59738.52,64101.12,66596.33,68023.22,69492.7,70700.22,72052.66,73433.69,74895.09,76325.92,77935.08,79533.49,81276.28,82908.19,84481.61,86077.13,87497.31,88894.64,90198.49,91062.35
HIGH PEAK,3566.73,4255.26,5298.59,6478.81,7936.34,10542.05,13823.6,17033.73,20070.74,23014.25,24653.87,25566.44,26498.34,27197.61,28027.33,28860.62,29741.07,30608.24,31588.05,32568.68,33652.32,34647.87,35611.53,36592.65,37443.28,38278.07,39043.34,39552.67
HYNDBURN,6153.93,7144.81,8846.84,10669.06,12511.93,15403.36,19017.57,22656.3,26186.58,29693.83,31984.62,33640.63,35371.03,36919.87,38567.69,40286.96,42120.43,43893.04,45895.69,47863.2,49986.56,52010.18,53939.97,55895.6,57666.14,59402.72,61053.19,62121.09
LANCASTER,26718.82,29008.01,36919.71,45310.47,54253.21,66906.18,81892.65,92788.83,103284.83,113521.84,119680.55,123437.71,127351.17,130926.97,134682.75,138591.3,142742.05,146774.11,151281.04,155712.31,160453.37,165001.81,169349.71,173747.92,177776.02,181727.31,185513.04,187995.37
MANCHESTER,22451.27,26977.92,33799.15,41299.92,49636.46,63263.85,80202.03,96945.05,112825.11,128430.96,137681.4,143726.33,149939.42,154591.35,160125.87,165722.74,171667.64,177488.07,184125.56,190752.68,198115.98,204868.53,211385.98,218019.21,223743.09,229366.5,234489.85,237849.46
NORTHUMBERLAND,1.36,1.54,1.82,2.1,2.33,2.57,2.86,3.15,3.45,3.76,4.0,4.26,4.52,4.73,4.98,5.23,5.5,5.75,6.05,6.35,6.68,6.99,7.28,7.57,7.83,8.09,8.32,8.46
OLDHAM,11148.89,13320.27,17159.06,21308.55,25595.41,32257.37,40511.66,48507.81,56211.77,63834.46,68665.61,72044.47,75561.98,78591.92,81892.93,85312.08,88955.34,92489.11,96484.4,100423.83,104699.01,108740.56,112604.27,116523.1,120035.99,123479.7,126727.59,128836.21
PENDLE,4598.22,5313.98,6421.28,7656.04,9050.39,11400.45,14343.89,17248.61,20012.34,22715.6,24304.93,25297.35,26319.82,27128.47,28057.48,29002.68,30006.21,30987.72,32098.05,33202.28,34414.45,35540.33,36623.57,37724.92,38691.16,39637.79,40515.62,41092.1
PRESTON,13228.9,14840.26,18196.13,21892.43,26155.67,33188.08,41894.37,49721.31,57194.09,64449.89,68632.02,71034.87,73515.93,75615.34,77924.41,80293.92,82802.54,85254.46,88006.09,90732.49,93689.98,96477.54,99160.63,101878.78,104318.65,106718.96,108974.09,110466.04
RIBBLE VALLEY,14878.47,15937.09,17649.55,19500.81,21346.14,24155.75,27638.58,31139.04,34512.16,37871.54,40050.96,41656.64,43329.1,44743.25,46302.45,47915.6,49636.62,51305.27,53198.36,55066.79,57103.72,59020.63,60853.79,62713.64,64370.39,65994.91,67518.2,68504.15
RICHMONDSHIRE,0.0,1.1,2.84,4.73,6.51,9.05,12.18,15.34,18.4,21.47,23.53,25.15,26.84,28.26,29.84,31.47,33.21,34.9,36.82,38.71,40.77,42.71,44.57,46.45,48.12,49.75,51.28,52.27
ROCHDALE,14114.65,16175.49,20282.88,24719.78,29632.51,37312.79,46709.35,55129.63,63151.98,71008.35,75659.06,78597.56,81626.72,84039.47,86796.94,89609.31,92594.46,95510.48,98816.05,102101.67,105712.23,109067.63,112298.36,115580.82,118465.75,121300.78,123924.15,125646.31
ROSSENDALE,5101.99,5834.95,6912.26,8097.46,9435.53,11628.53,14348.68,17031.03,19565.4,22054.12,23508.25,24448.32,25411.26,26097.49,26940.35,27786.7,28684.45,29566.0,30575.99,31589.03,32725.68,33756.68,34756.49,35774.1,36641.22,37496.54,38262.92,38767.74
SALFORD,7829.6,9896.52,13293.34,16936.44,20853.45,26865.45,34216.97,41227.33,47878.56,54458.88,58455.26,61230.27,64085.09,66188.55,68716.39,71275.41,73995.78,76654.97,79707.18,82757.02,86168.27,89281.66,92291.81,95353.52,97981.37,100574.68,102912.47,104440.83
