Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,243911.88,245347.54,248352.9,254366.19,278845.54,304419.82,328517.74,351084.6,370955.6,390329.15,409813.93,428547.87,448537.11,468507.67,489514.56,510974.41,532814.89,554765.35,576783.79,598856.97,621101.74,643309.39,665652.71,688099.52,710595.5,733197.31,755923.11,773019.3
BARROWINFURNESS,16141.08,16259.38,16505.56,16742.35,18539.79,20428.8,22168.43,23752.67,25352.15,26852.51,28386.71,29814.23,31407.29,33000.28,34724.84,36506.16,38334.36,40167.38,42002.69,43837.56,45685.71,47520.02,49363.97,51213.8,53062.78,54918.95,56785.2,58187.85
BLACKBURN WITH DARWEN,477.39,477.98,478.85,478.88,659.36,848.94,973.79,1060.1,1165.36,1141.68,1219.61,1096.22,1141.51,1111.38,1216.43,1349.97,1500.94,1630.11,1727.68,1795.5,1860.54,1886.07,1906.05,1916.41,1908.97,1895.97,1882.47,1867.56
BLACKPOOL,98.83,100.53,103.68,105.1,178.93,256.47,310.6,347.28,386.07,380.27,404.74,369.68,390.59,393.45,440.37,498.96,565.59,626.11,678.3,722.23,765.49,796.74,826.45,853.36,874.93,894.92,914.9,928.49
BOLTON,98.83,102.41,108.66,111.2,283.11,464.54,590.29,677.29,771.8,764.3,835.5,762.16,822.68,832.55,945.38,1084.19,1239.68,1380.26,1498.97,1596.77,1692.91,1760.14,1823.62,1880.31,1924.12,1964.11,2004.01,2030.57
BURNLEY,71102.2,71127.53,71179.28,71226.72,71709.23,72217.2,72651.94,73027.32,73413.47,73700.0,74059.04,74278.61,74638.03,74952.86,75375.62,75829.2,76304.05,76767.45,77212.62,77640.16,78068.85,78471.27,78872.43,79269.16,79655.18,80039.44,80425.54,80712.92
BURY,735.22,763.81,823.33,879.51,1368.13,1880.74,2335.2,2735.87,3142.92,3476.98,3847.1,4126.67,4503.45,4863.39,5303.07,5768.43,6253.91,6733.59,7205.32,7668.22,8133.35,8582.04,9031.19,9478.56,9919.8,10360.91,10804.27,11135.91
CARLISLE,126781.99,127182.0,128019.06,129070.46,136350.0,143987.26,150823.67,157010.91,163202.4,168464.33,174380.45,178825.71,184653.71,189999.35,196471.09,203237.72,210212.51,217080.35,223768.12,230284.46,236830.75,243120.34,249412.67,255673.66,261837.11,267995.08,274184.14,278810.45
CHESHIRE EAST,91.6,92.63,93.88,94.66,1474.13,2921.13,3872.88,4539.1,5367.22,5193.62,5809.06,4833.72,5166.93,4899.81,5691.05,6697.51,7834.56,8798.4,9511.58,9989.49,10445.0,10589.56,10689.98,10714.55,10598.74,10438.9,10274.8,10113.98
CHORLEY,5503.3,5534.37,5599.33,5663.53,6333.54,7037.15,7634.18,8154.77,8706.94,9096.18,9605.93,9859.17,10337.17,10725.2,11296.02,11909.39,12551.07,13168.96,13750.7,14298.23,14846.05,15346.06,15842.33,16329.35,16796.2,17258.68,17723.18,18066.97
COPELAND,49968.42,50501.92,51615.97,52703.9,60808.45,69325.33,77209.2,84445.79,91789.86,98769.08,105878.01,112528.9,119846.66,127134.34,134963.44,143014.56,151248.71,159505.54,167768.7,176029.95,184351.94,192620.73,200934.34,209276.74,217619.55,225996.09,234418.18,240749.22
CRAVEN,694.24,716.51,760.55,796.02,1306.44,1844.3,2274.59,2620.3,2975.24,3158.71,3466.27,3544.5,3851.24,4085.65,4494.62,4953.15,5445.49,5916.6,6356.12,6764.79,7172.85,7535.66,7894.22,8243.45,8573.27,8898.39,9224.84,9465.05
DERBYSHIRE DALES,0.0,0.0,0.0,0.0,0.11,0.23,0.31,0.36,0.43,0.41,0.46,0.39,0.42,0.4,0.47,0.56,0.66,0.74,0.81,0.85,0.9,0.92,0.94,0.95,0.96,0.96,0.95,0.95
EDEN,2944.74,3008.82,3140.46,3264.18,5761.52,8383.55,10366.83,11941.42,13699.89,14276.79,15759.06,15404.37,16611.05,17148.79,18944.94,21016.0,23261.11,25315.17,27090.44,28602.31,30096.13,31233.99,32327.5,33339.08,34192.86,35001.07,35809.9,36375.78
