Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,315.94,320.68,329.89,363.94,380.15,405.0,433.56,455.73,476.48,494.04,497.51,474.77,474.8,481.99,489.77,497.37,505.2,512.59,520.05,526.38,530.62,524.44,529.28,538.0,546.2,554.3,562.18,567.65
BARROWINFURNESS,347.09,348.11,353.02,362.39,368.34,375.87,384.11,388.33,392.42,396.0,397.03,393.69,394.07,395.58,397.21,398.84,400.53,402.14,403.83,405.36,406.63,406.39,407.7,409.57,411.31,413.03,414.69,415.83
BLACKBURN WITH DARWEN,89.01,91.18,94.19,101.07,104.72,109.54,115.02,120.07,124.88,129.38,131.43,129.67,131.5,133.77,136.51,139.22,142.08,144.81,147.82,150.64,153.37,153.99,156.51,159.77,162.59,165.38,167.92,169.59
BLACKPOOL,29.66,31.15,33.32,40.11,43.26,47.94,53.39,57.87,62.36,66.28,67.23,62.35,62.95,65.18,67.56,69.91,72.35,74.65,77.08,79.21,80.87,79.72,81.46,84.25,86.8,89.32,91.73,93.34
BOLTON,55.78,59.17,64.84,81.17,88.92,100.3,113.47,124.37,135.06,144.54,147.3,137.76,139.47,144.38,149.69,154.99,160.52,165.82,171.53,176.79,181.56,182.26,186.93,193.11,198.76,204.31,209.62,213.19
BURNLEY,52.51,53.97,56.19,62.76,65.82,70.34,75.59,80.31,84.89,89.02,90.59,87.78,88.88,90.98,93.29,95.62,98.06,100.4,102.94,105.3,107.52,108.24,110.38,113.06,115.5,117.9,120.2,121.73
BURY,39.54,41.45,44.22,52.7,56.63,62.49,69.31,75.2,80.99,86.18,87.9,83.62,84.75,87.3,90.13,92.96,95.93,98.79,101.9,104.82,107.61,108.66,111.34,114.64,117.63,120.59,123.39,125.28
CARLISLE,67.75,70.58,74.88,90.13,97.35,108.38,121.0,131.46,141.72,150.11,151.62,138.47,138.75,142.8,147.56,152.38,157.42,162.21,167.18,171.67,175.6,175.71,179.54,184.71,189.43,194.08,198.54,201.56
CHESHIRE EAST,41.54,43.33,45.92,53.39,57.5,63.23,69.57,75.23,80.75,85.42,87.5,84.17,85.64,87.89,90.82,93.79,96.92,99.84,102.84,105.44,107.63,106.84,108.89,111.98,114.7,117.38,119.88,121.54
CHORLEY,12.98,14.73,17.44,24.33,27.85,32.74,38.32,43.18,47.91,52.23,54.09,51.98,53.43,55.55,58.01,60.47,63.06,65.54,68.24,70.76,73.18,73.96,76.23,79.08,81.61,84.09,86.42,87.97
COPELAND,162.13,163.85,167.02,179.16,184.73,193.57,203.72,211.7,219.36,225.74,226.8,218.11,217.78,219.92,222.42,224.9,227.48,229.96,232.48,234.76,236.65,236.19,238.13,240.9,243.47,246.01,248.45,250.17
CRAVEN,0.57,1.06,1.74,4.02,5.14,6.82,8.72,10.39,12.01,13.42,13.98,13.11,13.45,14.01,14.71,15.42,16.18,16.9,17.66,18.36,19.03,19.22,19.85,20.63,21.32,22.0,22.64,23.08
DERBYSHIRE DALES,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
EDEN,20.3,23.41,30.29,43.28,51.24,61.06,71.84,80.24,88.68,96.33,101.08,100.22,104.45,109.46,115.23,121.3,127.77,133.92,140.57,146.82,153.13,157.55,163.31,169.67,175.44,181.07,186.49,190.01
FYLDE,40.27,41.5,43.91,50.11,53.37,57.94,63.12,67.09,70.97,74.43,75.67,73.09,73.86,75.44,77.24,79.03,80.9,82.67,84.57,86.29,87.81,87.7,89.18,91.26,93.12,94.97,96.7,97.87
HIGH PEAK,2.72,3.77,5.21,11.12,13.93,18.37,23.43,27.08,30.85,33.66,33.26,25.33,24.52,25.73,27.3,28.87,30.51,32.07,33.67,35.11,36.4,36.43,37.65,39.28,40.74,42.18,43.54,44.47
HYNDBURN,49.08,50.47,52.66,59.23,62.23,66.73,71.99,76.3,80.66,84.44,85.31,80.38,80.92,83.12,85.46,87.86,90.38,92.8,95.43,97.92,100.31,101.51,103.81,106.55,109.08,111.57,113.97,115.57
LANCASTER,55.53,58.82,68.5,90.95,103.3,120.05,138.88,151.47,163.71,174.47,177.67,167.19,168.76,174.02,179.59,185.19,191.03,196.61,202.52,207.93,212.67,213.08,217.84,224.21,230.15,236.0,241.68,245.52
MANCHESTER,40.77,46.22,53.64,73.29,83.14,96.88,112.67,127.11,140.84,153.68,159.22,154.05,158.49,164.43,171.38,178.12,185.16,191.85,199.15,205.77,211.57,209.98,215.59,223.9,231.18,238.35,244.96,249.37
