Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,3257.0,4076.0,5372.0,7165.0,9587.0,13054.0,16960.0,21068.0,25033.0,28877.0,32528.0,36165.0,40037.0,44000.0,47719.0,51189.0,54325.0,57173.0,59672.0,61839.0,63716.0,65338.0,66683.0,67754.0,68653.0,69345.0,69863.0,70263.0
BARROWINFURNESS,2013.0,2518.0,3304.0,4379.0,5820.0,7868.0,10161.0,12561.0,14869.0,17105.0,19225.0,21339.0,23579.0,25874.0,28024.0,30030.0,31842.0,33485.0,34926.0,36174.0,37231.0,38120.0,38862.0,39453.0,39950.0,40355.0,40671.0,40890.0
BLACKBURN WITH DARWEN,4799.0,5963.0,7728.0,10032.0,12984.0,17174.0,21841.0,26705.0,31366.0,35866.0,40123.0,44363.0,48782.0,53302.0,57529.0,61463.0,64900.0,68008.0,70719.0,73033.0,74940.0,76522.0,77822.0,78824.0,79620.0,80163.0,80558.0,80866.0
BLACKPOOL,4110.0,5158.0,6757.0,8903.0,11721.0,15723.0,20190.0,24852.0,29323.0,33648.0,37744.0,41824.0,46129.0,50536.0,54663.0,58509.0,61978.0,65084.0,67779.0,70107.0,72104.0,73730.0,75051.0,76078.0,76882.0,77538.0,78063.0,78454.0
BOLTON,9545.0,11841.0,15347.0,19940.0,25839.0,34230.0,43597.0,53366.0,62735.0,71781.0,80336.0,88855.0,97718.0,106783.0,115257.0,123139.0,130068.0,136280.0,141681.0,146197.0,149969.0,153188.0,155889.0,157947.0,159510.0,160694.0,161578.0,162246.0
BURNLEY,2475.0,3094.0,4068.0,5398.0,7169.0,9702.0,12547.0,15522.0,18380.0,21142.0,23756.0,26356.0,29088.0,31879.0,34491.0,36924.0,39117.0,41102.0,42837.0,44334.0,45623.0,46731.0,47623.0,48300.0,48842.0,49279.0,49602.0,49848.0
BURY,6904.0,8565.0,11055.0,14259.0,18306.0,24041.0,30413.0,37048.0,43403.0,49536.0,55337.0,61117.0,67122.0,73269.0,78886.0,83879.0,88363.0,92416.0,95946.0,98982.0,101588.0,103773.0,105536.0,106935.0,107988.0,108812.0,109437.0,109894.0
CARLISLE,3891.0,4860.0,6374.0,8426.0,11150.0,15053.0,19451.0,24078.0,28547.0,32878.0,36990.0,41087.0,45440.0,49896.0,54075.0,57973.0,61496.0,64692.0,67497.0,69926.0,71953.0,73622.0,75001.0,76125.0,77068.0,77823.0,78396.0,78798.0
CHESHIRE EAST,7058.0,8641.0,11092.0,14313.0,18472.0,24367.0,30926.0,37762.0,44313.0,50642.0,56631.0,62599.0,68753.0,75051.0,80935.0,86406.0,91325.0,95767.0,99637.0,102960.0,105805.0,108171.0,109969.0,111235.0,112167.0,112876.0,113460.0,113913.0
CHORLEY,4223.0,5236.0,6829.0,8983.0,11836.0,15910.0,20482.0,25268.0,29872.0,34325.0,38544.0,42744.0,47146.0,51649.0,55863.0,59789.0,63327.0,66531.0,69331.0,71747.0,73827.0,75609.0,77113.0,78318.0,79159.0,79765.0,80221.0,80565.0
COPELAND,2340.0,2917.0,3828.0,5088.0,6787.0,9207.0,11922.0,14764.0,17495.0,20140.0,22648.0,25145.0,27781.0,30479.0,33006.0,35361.0,37487.0,39415.0,41103.0,42563.0,43823.0,44909.0,45823.0,46566.0,47185.0,47667.0,48008.0,48257.0
CRAVEN,853.0,1053.0,1367.0,1794.0,2365.0,3183.0,4106.0,5085.0,6038.0,6966.0,7851.0,8736.0,9688.0,10666.0,11585.0,12445.0,13224.0,13933.0,14559.0,15103.0,15577.0,15988.0,16339.0,16620.0,16837.0,17002.0,17115.0,17210.0
DERBYSHIRE DALES,2.0,2.0,3.0,4.0,5.0,7.0,9.0,11.0,13.0,15.0,17.0,19.0,21.0,23.0,24.0,26.0,28.0,29.0,31.0,32.0,33.0,33.0,34.0,35.0,35.0,35.0,35.0,36.0
EDEN,2247.0,2795.0,3643.0,4781.0,6280.0,8431.0,10858.0,13429.0,15926.0,18354.0,20666.0,22976.0,25455.0,27999.0,30390.0,32624.0,34647.0,36434.0,37956.0,39279.0,40430.0,41430.0,42278.0,42945.0,43510.0,43986.0,44363.0,44632.0
FYLDE,3098.0,3831.0,4982.0,6533.0,8576.0,11485.0,14738.0,18127.0,21375.0,24510.0,27474.0,30424.0,33484.0,36611.0,39533.0,42250.0,44695.0,46904.0,48828.0,50479.0,51895.0,53102.0,54096.0,54889.0,55455.0,55876.0,56172.0,56392.0
HIGH PEAK,3801.0,4688.0,6080.0,7968.0,10475.0,14044.0,18042.0,22235.0,26274.0,30190.0,33906.0,37612.0,41511.0,45505.0,49248.0,52737.0,55885.0,58740.0,61240.0,63401.0,65265.0,66872.0,68229.0,69288.0,70092.0,70705.0,71159.0,71498.0
HYNDBURN,2436.0,3052.0,4003.0,5284.0,6972.0,9384.0,12092.0,14931.0,17665.0,20312.0,22822.0,25322.0,27970.0,30681.0,33221.0,35589.0,37727.0,39666.0,41365.0,42801.0,44020.0,45070.0,45922.0,46556.0,47035.0,47432.0,47762.0,48019.0
LANCASTER,4367.0,5445.0,7125.0,9419.0,12483.0,16838.0,21710.0,26804.0,31698.0,36437.0,40930.0,45407.0,50132.0,54969.0,59501.0,63725.0,67538.0,70995.0,74022.0,76637.0,78862.0,80779.0,82379.0,83656.0,84640.0,85385.0,85961.0,86393.0
MANCHESTER,13547.0,16898.0,21870.0,28244.0,36248.0,47569.0,60121.0,73147.0,85585.0,97573.0,108894.0,120166.0,131858.0,143818.0,154923.0,165038.0,174014.0,182062.0,189028.0,194889.0,199705.0,203615.0,206700.0,209003.0,210741.0,212111.0,213119.0,213872.0
NORTHUMBERLAND,2.0,3.0,3.0,4.0,6.0,8.0,10.0,13.0,15.0,18.0,20.0,22.0,25.0,27.0,29.0,32.0,34.0,35.0,37.0,38.0,40.0,41.0,41.0,42.0,43.0,43.0,44.0,44.0
OLDHAM,7111.0,8861.0,11502.0,14943.0,19339.0,25581.0,32537.0,39785.0,46728.0,53430.0,59767.0,66078.0,72659.0,79390.0,85684.0,91541.0,96718.0,101354.0,105374.0,108798.0,111673.0,113953.0,115742.0,117105.0,118156.0,119018.0,119698.0,120213.0
PENDLE,2123.0,2645.0,3452.0,4530.0,5944.0,7960.0,10221.0,12589.0,14869.0,17075.0,19165.0,21248.0,23442.0,25688.0,27792.0,29753.0,31521.0,33124.0,34526.0,35738.0,36742.0,37582.0,38262.0,38791.0,39221.0,39556.0,39789.0,39966.0
PRESTON,4725.0,5875.0,7615.0,9875.0,12754.0,16852.0,21427.0,26206.0,30795.0,35228.0,39423.0,43602.0,47969.0,52438.0,56619.0,60430.0,63817.0,66882.0,69480.0,71667.0,73492.0,75042.0,76290.0,77255.0,78040.0,78694.0,79190.0,79566.0
RIBBLE VALLEY,2877.0,3538.0,4572.0,5953.0,7762.0,10342.0,13231.0,16261.0,19181.0,22008.0,24690.0,27364.0,30163.0,33029.0,35713.0,38213.0,40461.0,42496.0,44277.0,45811.0,47096.0,48200.0,49134.0,49835.0,50371.0,50763.0,51054.0,51289.0
RICHMONDSHIRE,5.0,6.0,7.0,10.0,13.0,18.0,23.0,29.0,34.0,39.0,45.0,50.0,55.0,61.0,67.0,72.0,76.0,81.0,84.0,88.0,90.0,93.0,95.0,97.0,98.0,99.0,100.0,101.0
ROCHDALE,6759.0,8397.0,10928.0,14299.0,18697.0,24955.0,31948.0,39242.0,46235.0,52989.0,59378.0,65738.0,72372.0,79155.0,85497.0,91400.0,96714.0,101520.0,105700.0,109221.0,112246.0,114806.0,116788.0,118259.0,119422.0,120361.0,121082.0,121599.0
ROSSENDALE,2481.0,3077.0,4003.0,5249.0,6890.0,9228.0,11846.0,14588.0,17226.0,19780.0,22200.0,24612.0,27147.0,29742.0,32171.0,34435.0,36477.0,38327.0,39945.0,41337.0,42537.0,43562.0,44370.0,44986.0,45466.0,45857.0,46149.0,46362.0
