Local authority,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
ALLERDALE,291.0,566.0,1081.0,1913.0,2957.0,3983.0,5373.0,8352.0,11318.0,14258.0,17198.0,20124.0,23046.0,26019.0,28999.0,31909.0,34675.0,37324.0,39601.0,41713.0,43705.0,45867.0,45931.0,45995.0,46061.0,46128.0,46195.0,46264.0
BARROWINFURNESS,153.0,279.0,481.0,808.0,1281.0,1743.0,2536.0,4642.0,6736.0,8820.0,10890.0,12957.0,15013.0,17072.0,19138.0,21164.0,23123.0,25053.0,26844.0,28518.0,30094.0,31769.0,31746.0,31723.0,31701.0,31682.0,31664.0,31646.0
BLACKBURN WITH DARWEN,356.0,629.0,1105.0,1802.0,2807.0,3795.0,5339.0,9076.0,12737.0,16344.0,19870.0,23325.0,26731.0,30101.0,33441.0,36671.0,39679.0,42512.0,45085.0,47401.0,49518.0,51721.0,51359.0,50995.0,50633.0,50277.0,49921.0,49566.0
BLACKPOOL,693.0,1092.0,1681.0,2588.0,3785.0,4994.0,6878.0,11212.0,15539.0,19870.0,24201.0,28528.0,32861.0,37225.0,41604.0,45898.0,49916.0,53807.0,57344.0,60658.0,63815.0,67013.0,67137.0,67262.0,67399.0,67569.0,67748.0,67934.0
BOLTON,975.0,1547.0,2495.0,3951.0,6077.0,8177.0,11318.0,18581.0,25634.0,32504.0,39144.0,45586.0,51831.0,57939.0,63918.0,69564.0,74708.0,79391.0,83495.0,86992.0,90043.0,93148.0,91818.0,90478.0,89138.0,87816.0,86488.0,85155.0
BURNLEY,218.0,414.0,760.0,1276.0,2015.0,2769.0,3938.0,6727.0,9513.0,12290.0,15072.0,17839.0,20606.0,23419.0,26247.0,29037.0,31693.0,34217.0,36592.0,38800.0,40888.0,43091.0,43211.0,43331.0,43454.0,43583.0,43714.0,43846.0
BURY,672.0,1079.0,1727.0,2713.0,4097.0,5483.0,7647.0,12706.0,17684.0,22576.0,27386.0,32110.0,36751.0,41372.0,45934.0,50333.0,54401.0,58187.0,61612.0,64689.0,67515.0,70390.0,69930.0,69466.0,69004.0,68560.0,68114.0,67668.0
CARLISLE,427.0,758.0,1341.0,2243.0,3390.0,4529.0,6081.0,9324.0,12549.0,15762.0,18956.0,22138.0,25303.0,28512.0,31734.0,34875.0,37839.0,40651.0,43115.0,45368.0,47496.0,49753.0,49800.0,49848.0,49900.0,49963.0,50029.0,50098.0
CHESHIRE EAST,589.0,1007.0,1734.0,2785.0,4153.0,5533.0,7505.0,11703.0,15905.0,20098.0,24280.0,28455.0,32637.0,36915.0,41215.0,45440.0,49388.0,53069.0,56456.0,59628.0,62650.0,65773.0,66059.0,66347.0,66643.0,66963.0,67289.0,67620.0
CHORLEY,350.0,694.0,1330.0,2204.0,3327.0,4449.0,6015.0,9272.0,12515.0,15738.0,18929.0,22113.0,25288.0,28540.0,31819.0,35010.0,37978.0,40668.0,43149.0,45455.0,47638.0,49939.0,50100.0,50260.0,50422.0,50591.0,50761.0,50931.0
