Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100030,4.14,4.31,4.39,4.41,4.59,4.76,4.94,5.13,5.35,5.57,5.72,5.74,5.76,5.78,5.79,5.8,5.81,5.81,5.81,5.8,5.79,5.77,5.74,5.7,5.66,5.62,5.57,5.52
100101,16.69,18.16,19.32,20.23,21.14,22.06,22.76,23.26,23.82,24.34,24.85,25.39,25.89,26.37,26.83,27.23,27.55,27.78,27.96,28.11,28.22,28.29,28.25,28.19,28.13,28.05,27.97,27.87
100102,11.73,11.98,12.23,12.48,12.89,13.34,13.9,14.86,15.82,16.75,17.62,18.5,19.35,20.14,20.87,21.57,22.17,22.67,23.09,23.43,23.7,23.93,23.9,23.8,23.69,23.57,23.43,23.29
100103,16.34,16.21,16.41,16.72,17.24,17.87,18.9,20.41,21.95,23.49,24.91,26.25,27.45,28.6,29.65,30.56,31.32,31.93,32.42,32.76,33.01,33.2,33.11,33.01,32.87,32.72,32.6,32.6
100104,4.15,4.34,4.71,5.07,5.48,5.91,6.61,7.43,8.24,9.04,9.57,9.86,10.12,10.36,10.58,10.77,10.92,11.04,11.12,11.16,11.17,11.17,11.09,11.01,10.92,10.84,10.75,10.66
100105,14.38,14.66,14.76,14.77,14.87,15.01,15.3,16.21,17.18,18.14,19.09,20.0,20.91,21.82,22.72,23.58,24.36,25.07,25.72,26.3,26.82,27.29,27.08,26.85,26.62,26.38,26.13,25.86
100106,14.27,16.33,17.0,17.22,17.45,17.7,18.05,18.74,19.52,20.28,21.02,21.75,22.7,24.04,25.25,26.32,27.25,28.04,28.71,29.25,29.69,30.05,30.22,30.32,30.37,30.39,30.37,30.33
100107,14.47,14.49,14.69,14.96,15.38,15.84,16.48,17.7,18.92,20.1,21.25,22.41,23.55,24.62,25.62,26.5,27.24,27.84,28.33,28.72,29.03,29.28,29.17,29.05,28.91,28.78,28.64,28.48
100108,13.89,14.12,14.33,14.53,14.83,15.18,15.74,16.93,18.12,19.18,20.14,21.03,21.89,22.67,23.4,24.04,24.6,25.05,25.42,25.73,25.98,26.2,26.14,26.06,25.97,25.86,25.75,25.62
100109,7.07,7.32,7.54,7.75,8.03,8.36,8.76,9.45,10.11,10.75,11.34,11.93,12.52,13.06,13.53,13.94,14.26,14.52,14.72,14.87,14.96,15.02,14.89,14.75,14.6,14.44,14.27,14.09
100110,11.96,12.07,12.28,12.55,12.96,13.41,13.99,15.03,16.06,17.05,17.98,18.9,19.79,20.59,21.33,21.97,22.51,22.94,23.26,23.47,23.62,23.72,23.58,23.43,23.27,23.11,22.93,22.74
100111,12.56,14.4,14.79,15.12,15.66,15.96,16.44,17.52,18.65,19.61,20.57,21.48,22.45,23.4,24.35,25.26,26.1,26.86,27.53,28.14,28.68,29.21,28.99,28.77,28.53,28.3,28.06,27.81
100112,14.81,14.71,14.71,14.73,14.87,15.09,15.44,16.33,17.28,18.25,19.2,20.11,21.03,21.94,22.85,23.71,24.48,25.2,25.81,26.34,26.81,27.23,26.99,26.75,26.5,26.25,25.98,25.69
100113,12.21,12.94,13.38,13.73,14.22,14.78,15.4,16.3,17.19,18.06,18.87,19.68,20.5,21.27,21.97,22.57,23.04,23.43,23.74,23.95,24.1,24.22,24.15,24.06,23.96,23.86,23.74,23.61
100114,15.44,16.72,17.52,18.2,19.01,19.89,20.49,21.43,22.35,23.28,24.11,25.01,25.88,26.65,27.32,27.86,28.27,28.56,28.77,28.91,28.98,29.01,28.88,28.74,28.58,28.41,28.23,28.03
100116,8.44,8.27,8.23,8.21,8.26,8.34,8.49,8.89,9.32,9.76,10.2,10.62,11.04,11.46,11.88,12.28,12.66,13.01,13.3,13.54,13.75,13.95,13.85,13.74,13.64,13.53,13.42,13.3
100117,16.18,16.49,16.58,16.59,16.71,16.88,17.65,19.09,20.61,22.13,23.63,25.09,26.15,27.19,28.23,29.23,30.16,31.03,31.78,32.46,33.08,33.65,33.43,33.21,32.98,32.74,32.49,32.23
