Primary,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051
100030,21678.33,22393.01,22775.85,22858.23,23610.53,24340.96,25070.65,25853.11,26758.45,27644.74,28250.98,28320.89,28361.67,28388.0,28407.39,28403.01,28384.04,28340.94,28271.89,28190.39,28102.14,27971.95,27772.62,27571.4,27360.71,27141.71,26912.62,26667.51
100101,89053.91,94809.11,99743.9,103598.05,107414.82,111441.06,114660.8,117171.34,119964.19,122686.24,125228.58,127801.7,130325.08,132716.64,134883.08,136707.69,138159.61,139247.39,140103.11,140739.31,141169.11,141443.23,141211.71,140915.97,140544.6,140127.95,139654.34,139110.38
100102,51528.9,52437.07,53707.93,55145.41,57351.84,60162.82,63584.04,68250.38,72667.4,76940.33,80955.37,85028.66,89295.07,93413.47,97124.08,100446.66,103285.98,105730.41,107820.0,109579.53,111044.49,112276.0,112563.9,112534.57,112398.09,112189.25,111903.5,111535.94
100103,82505.37,82726.95,84638.02,87075.8,90520.06,94967.86,101557.11,109936.77,118469.48,127060.7,135133.61,142946.32,150048.09,156746.49,162775.32,168038.83,172449.19,176123.41,179097.51,181406.69,183195.31,184556.66,184789.23,184802.98,184613.31,184276.36,183808.6,183208.72
100104,17476.93,18169.32,19534.88,20873.34,22420.13,24110.15,26734.36,29704.76,32625.37,35488.3,37446.67,38606.91,39793.67,40906.27,41897.89,42760.09,43479.88,44081.45,44553.31,44871.94,45092.37,45258.73,45159.78,45028.2,44868.8,44690.67,44491.12,44269.16
100105,63543.81,64438.56,65079.42,65554.88,66536.51,68014.63,70207.11,74322.96,78381.49,82340.16,86161.63,89915.42,93903.28,97918.7,101758.72,105365.56,108625.72,111600.35,114285.26,116693.67,118833.28,120768.01,120485.71,120108.52,119625.85,119092.7,118478.75,117751.52
100106,57162.9,67117.01,70866.58,73087.77,75711.14,78962.07,83135.77,89088.37,95743.81,102612.26,109506.36,116292.36,122851.61,129140.36,135028.49,140308.91,144966.66,148909.43,152215.34,155037.15,157495.51,159296.06,159653.38,159852.13,159856.88,159724.68,159460.44,159018.11
100107,67913.85,68327.68,69709.45,71417.84,73819.79,76854.58,80756.43,86497.02,92024.88,97385.67,102462.45,107635.83,112924.21,118026.06,122676.79,126820.58,130333.25,133276.99,135754.45,137818.46,139498.06,140914.61,141018.39,141004.05,140879.54,140707.37,140460.86,140125.87
100108,64219.1,65201.07,66471.86,67823.62,69762.94,72398.39,76048.23,81752.73,87204.32,92049.07,96487.23,100754.78,105188.16,109441.53,113264.74,116675.39,119580.94,122066.08,124180.15,125987.48,127486.34,128713.2,128888.16,128927.93,128843.35,128678.98,128426.62,128078.81
100109,29779.26,30640.82,31544.99,32509.42,33844.42,35547.13,37657.61,40724.82,43587.91,46324.92,48857.2,51415.04,54059.34,56573.19,58784.14,60699.94,62273.53,63590.81,64666.38,65507.35,66135.46,66602.94,66380.08,66078.46,65707.51,65287.62,64815.73,64287.5
100110,53898.7,54472.89,55606.03,57013.66,59097.02,61716.43,64981.66,69731.05,74227.01,78547.93,82586.68,86697.24,90896.22,94880.98,98476.64,101649.78,104333.98,106602.38,108442.57,109876.38,110993.92,111863.3,111656.37,111349.25,110949.66,110503.94,109991.89,109402.28
100111,63612.18,71520.93,73564.78,75246.99,79170.29,81065.18,83828.61,88736.2,93647.68,97868.05,102071.0,106197.25,110548.36,114872.16,119011.17,122880.91,126355.19,129480.96,132233.25,134666.42,136807.61,139021.1,138620.2,138126.02,137526.68,136881.65,136171.94,135354.01
100112,67397.35,66989.94,67343.47,67879.09,69025.67,70771.85,73271.47,77638.97,81918.53,86089.51,90110.89,94057.57,98295.25,102543.85,106598.69,110367.63,113726.81,116818.87,119500.82,121836.8,123898.58,125696.39,125364.02,124930.42,124376.44,123742.22,123020.62,122179.35
100113,54584.22,57088.15,58995.49,60877.39,63151.66,65991.01,69286.14,73595.96,77692.43,81646.67,85328.96,89054.91,92950.77,96707.17,100089.64,103032.92,105441.22,107464.1,109150.46,110467.5,111482.86,112306.89,112403.6,112392.86,112281.85,112116.92,111880.66,111563.99
100114,71009.52,76112.12,79632.37,82762.4,86525.4,90823.19,94131.0,98646.93,102843.5,106912.5,110628.49,114648.75,118574.47,122158.18,125292.33,127889.07,129889.86,131398.31,132587.16,133460.85,134034.24,134382.25,134095.48,133715.87,133231.3,132680.82,132055.83,131344.57
100116,44764.01,44173.91,44264.96,44391.9,44764.54,45378.91,46308.3,47982.08,49737.98,51462.49,53138.02,54781.52,56530.23,58253.73,59909.79,61454.07,62850.3,64132.48,65214.99,66089.4,66828.55,67480.75,67257.59,66985.27,66662.54,66318.2,65937.75,65510.98
100117,77476.27,78684.74,79508.92,80185.89,81471.86,83459.09,87921.74,94461.02,100941.46,107307.86,113504.94,119631.59,124551.81,129504.27,134205.87,138633.28,142672.08,146417.09,149704.0,152627.31,155255.88,157628.91,157463.7,157159.96,156723.22,156214.52,155606.95,154876.6
100118,57612.69,61096.62,62784.85,64119.73,66050.92,68645.62,72105.76,77362.05,83722.55,89572.82,94888.25,100126.73,105603.98,111030.18,116124.41,120850.33,125082.03,128872.23,132191.71,135120.41,137694.37,140010.04,140326.59,140472.85,140462.72,140351.12,140132.68,139797.79
100119,66612.75,70251.98,72451.56,74369.92,77365.45,81072.97,85787.71,92805.74,99873.73,106433.08,112490.55,118615.96,124739.7,130496.43,135660.5,140147.49,143871.4,146939.23,149444.69,151397.1,152861.21,153992.04,153597.65,153052.55,152368.07,151609.49,150755.29,149790.73
100120,72213.4,74528.09,75846.2,77277.54,78329.41,79348.02,80600.64,80530.42,80860.05,81123.89,81310.2,81437.14,81535.96,81591.99,81576.33,81473.29,81308.66,81083.27,80794.94,80455.06,80067.28,79613.9,79053.76,78460.46,77827.3,77159.64,76455.48,75708.9
100122,104472.31,116999.72,122136.92,124669.58,127471.28,130562.45,133650.8,170957.01,187826.13,190862.31,194221.97,197898.58,201680.46,205291.43,208987.66,212237.44,214620.9,216433.46,218399.48,220042.69,221341.25,222433.4,222438.98,221881.99,221238.19,220570.02,219843.36,219101.05
100123,42976.78,45795.99,47656.08,49575.2,52119.33,55334.75,59300.66,64483.41,69848.09,75275.0,80594.55,85916.09,91192.04,96150.46,100608.37,104522.36,107851.01,110656.68,112958.19,114805.76,116271.94,117396.7,117766.84,117945.0,117954.99,117844.42,117627.84,117314.8
100124,20273.7,20241.52,47549.18,46326.05,46925.55,48026.62,59542.05,62091.9,65797.13,131766.26,135399.92,138761.74,150724.07,152919.0,154124.82,155873.2,158293.3,160312.01,162700.17,164775.7,166647.19,168335.93,169248.3,169074.89,168833.56,168558.06,168243.04,167877.71
100125,76676.68,78910.83,81218.55,83551.18,86167.4,89446.23,93640.55,99739.53,105953.84,112167.14,118164.17,124261.56,130308.23,136051.05,141286.2,145850.13,149661.38,152746.11,155285.66,157328.77,158943.64,160195.33,160279.35,160234.14,160058.44,159818.39,159492.48,159061.67
100126,0.0,0.0,527.04,1054.08,1581.12,2108.16,2635.2,3689.28,3689.28,3689.28,3689.28,3689.28,3689.28,3689.28,3689.28,3689.28,3689.28,3689.28,3689.28,3689.28,3689.28,3689.28,3689.28,3689.28,3689.28,3689.28,3689.28,3689.28
100127,33037.25,32621.65,32801.29,33195.45,33998.19,35154.59,36782.0,39625.02,42421.16,45163.37,47822.96,50439.71,53233.49,56011.82,58658.59,61149.13,63420.57,65550.28,67415.34,69017.18,70433.63,71728.75,71586.55,71371.29,71087.46,70764.62,70390.95,69956.31
100128,55876.47,67369.08,70685.89,71795.74,73256.29,75069.94,77287.3,80507.28,83878.65,87250.43,90496.87,93786.18,96997.36,99969.02,102646.91,104944.22,106840.24,108377.32,109592.86,110487.94,111129.21,111571.02,111409.16,111165.31,110835.1,110450.03,110008.54,109501.22
100129,64544.42,67567.57,68891.58,69625.71,71460.93,73817.43,76817.02,81192.83,85781.03,90357.66,94868.89,99325.1,103975.91,108633.12,113066.92,117210.9,120976.61,123898.35,126215.83,128217.83,129963.01,131437.62,131421.21,131306.33,131085.22,130808.0,130457.14,129999.84
100130,77655.49,78748.3,80687.18,82901.79,85912.36,89627.43,94245.68,101002.98,107354.01,113458.52,119147.06,124933.11,130785.0,136352.74,141376.97,145762.27,149357.14,152335.01,154812.57,156817.39,158381.38,159596.5,159359.07,158991.58,158485.78,157891.03,157197.47,156383.51
100131,62179.46,63549.36,65069.48,66716.72,69050.32,71907.89,75446.17,80709.57,85653.25,90385.61,94777.62,99238.03,103707.13,107887.62,111627.5,114853.56,117473.51,119648.84,121363.8,122647.62,123583.14,124234.37,123690.55,123045.63,122296.89,121483.22,120592.38,119610.19
100132,60761.35,61351.26,61884.16,62370.43,63366.92,64696.93,66432.67,69344.77,72317.93,75226.11,78046.33,80801.08,83643.65,86429.78,89214.63,91813.51,94145.17,96252.66,98038.83,99338.4,100368.11,101299.22,100963.33,100581.77,100138.23,99682.79,99186.02,98622.8
100134,115918.11,123582.42,127724.75,130836.21,134876.86,140006.18,146294.6,154824.87,163266.38,171620.06,179643.86,187837.15,196259.83,204461.75,211981.2,218752.71,224530.55,229335.24,233531.08,237172.84,240270.6,242871.35,243933.61,244790.34,245446.36,245989.57,246396.23,246645.79
100135,89809.26,97718.28,111893.71,113750.21,116132.67,119008.4,122548.68,127667.82,132778.57,137776.63,142489.0,147290.86,152025.24,156475.93,160537.07,164044.59,166931.11,169268.03,171160.97,172621.14,173715.97,174534.66,174333.29,174030.47,173607.87,173114.46,172537.7,171856.87
100136,55062.82,59119.11,61296.51,63006.47,65224.56,68032.41,71429.58,76071.45,80511.89,84820.41,88874.47,93012.28,97289.52,101436.13,105189.22,108534.75,111365.72,113751.98,115798.66,117552.32,119023.59,120181.67,120460.28,120629.63,120687.78,120669.54,120569.15,120373.83
100138,53150.28,65349.12,72580.63,78228.33,83907.14,89736.74,95714.64,102093.76,108609.55,115124.81,121526.87,127941.09,134370.94,140759.5,147049.59,153103.07,158918.83,164555.74,168110.93,171532.69,174789.66,178038.57,181049.3,184027.85,185452.61,185863.68,186242.07,186575.88
